Later...with Jools Holland - Autumn 2017 (BBC Two),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1127,bbc_playlister
1,Holy Mountain,0FbZlKV9DtKX1MGNN4Czmc,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,Holy Mountain,01H9fhbrXvJesUZqH0p9aY,39,https://p.scdn.co/mp3-preview/3e60bf3713a31e001507c73c96eac307f65801b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,New Rules,4LihUZcWy0B6lGLqcJ8u9B,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),4btGe14gIJmTxbcPAQBtqb,66,https://p.scdn.co/mp3-preview/fa38010d4781ba002a495c7da20c5cbd66d83a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Bofou Safou,3HcjB3Pj748tK5a3doXimQ,Amadou & Mariam,3KH7WsR2JZQ94Ik8SyabU6,Bofou Safou,2rtrnkED5IQZmSpoCEg9D6,0,not available
4,Something For Your M.I.N.D.,47wq2z7KMHDRnoSMdZODUA,Superorganism,0Wkm45quqfx3NepJpXDvwE,Something For Your M.I.N.D.,2FlD0ta44kkFbIvwa4uDeP,53,https://p.scdn.co/mp3-preview/14e41464fbc4eed0ab4afca7663aa999612a4f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Goose Snow Cone,76BshcT59ADyckxGhwXhNc,Aimee Mann,3UpIbyXfGzmHG6TMH4dJEk,Mental Illness,1YRaL8DFmYsu52szGJWO9t,36,https://p.scdn.co/mp3-preview/3fdf81bc20e960912ed082bd18dc1bd3b5f6fdc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Tana,3sEPxH1BQI4fVFgjEfFRZI,Saz'iso,29HIoZBbD3R4PGaRnpqqkS,At Least Wave Your Handkerchief at Me,3ySCEeYLUewVp6T1qW0Ecq,12,https://p.scdn.co/mp3-preview/f99819900aac076d682dc31b1a6c65b65383f946?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Caught By The Wind,5hG3Xy20wHbzGil4eqCIgR,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Caught By The Wind,610L0uAorVsfyjgkMqTPpm,35,https://p.scdn.co/mp3-preview/9033f4118c7d640489e27d681a38e4e118b13134?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Beautifully Unconventional,05I2kbWf5P3xdCVQve7apz,Wolf Alice,3btzEQD6sugImIHPMRgkwV,Visions Of A Life,7Mn6FjNopuROYZLIN91hhe,52,https://p.scdn.co/mp3-preview/3f8a6b359f41b252f6a616f77b9fff72d1376d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I Gotta Praise,7FiuyYoakB7ILSLrxTKwHh,Paul Heaton,1aIozCeQrpKipbEdkGtr0j,I Gotta Praise,4F1t4yLSo5AwV9nhzJqD5t,0,not available
