BBC Music Introducing Success Stories (BBC Music Exclusives),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,293,bbc_playlister
1,Dog Days Are Over,5vGEdM7LvbgMypJkILhQ4p,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Between Two Lungs,3cVNp1AXxdzoKIs9r6keWU,14,not available
2,Kathleen,6nZPh0dzxq7aiUz5MmbOGY,Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,Kathleen,4Q3VnKPfEMfOgwgi6xqCpU,0,not available
3,The Hunter,2yy2rd055NuihXprrSqJpL,Slaves,3xByNj8XW17oW0wsJhgzYL,The Hunter,4Mm06V2NpieIC4IVJdfgNS,0,not available
4,Distant Past,0Y2ZA879AsMkURP283OZ81,Everything Everything,1HOeqtP7tHkKNJNLzQ2tnr,Distant Past,4N1RS9Kfd3W5hcIdcNGhEp,30,https://p.scdn.co/mp3-preview/090b24678c5a4469156e0b8d11f9cbcecd13dad2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Hold Back The River,1WqjYWH4BbGRLoVxQU3XS1,James Bay,4EzkuveR9pLvDVFNx6foYD,Hold Back The River,05EJMq1Nm9rsfCA2KnNp58,14,not available
6,Budapest,7GJClzimvMSghjcrKxuf1M,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Wanted on Voyage,5tF2lAa2rh2kU2xIiBzWia,78,https://p.scdn.co/mp3-preview/9dfa0b98773c257fb4234228f24773c6bef2607f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Charlemagne,5K2lr3Y4fkQSv6Fy1bC1CG,Blossoms,22RISwgVJyZu9lpqAcv1F5,Charlemagne,4IzjVLcgZarRRU3v11l5Kr,1,not available
8,Someone That Loves You,4eQ8RVou7nLwXpSQcya6bl,HONNE,0Vw76uk7P8yVtTClWyOhac,Someone That Loves You,5SRPSfMCkskZC2uKIedznT,42,https://p.scdn.co/mp3-preview/97d2c004bb3fdfac9818bf6c3c4c20db51e7f3a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Let It Out,7LloZ3FmqbPQxLXow0TWCz,Frances,4m6VmvHDXWmVdIw6EJGQ86,Let It Out,3IWO2BE9iVPoeivGUQaoGx,1,not available
10,Two Fingers,4BD4jIwUWV1pfs27lbEd0M,Jake Bugg,4hf3caW9H8uFwwbv5pFjcg,Jake Bugg,4asvshPH5nL0mjjMCE9mzi,5,not available
11,Gooey,1rvwsCXRTiERpyTwzDBawG,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,Gooey,0QXZFZL8nzvfy9JxnukrdP,0,not available
12,T-Shirt Weather,2EPwH1bWUcre7x8I00EAky,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,T-Shirt Weather,1inNompGZlO3udKQ2n0fW9,6,not available
13,Hurt Me (2015),2f3GPCYUaoOLoQHRXrlMaL,Låpsley,27ze6hCgfr3HcDZAHY60pg,Hurt Me,1bhVRP9XPOSdpSz7nvsE1r,47,https://p.scdn.co/mp3-preview/70387f78839e25ddf7cf7eb474d7daff293ba36c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,B a noBody,1hCPeTiNvuB4aHJsFqXr01,SOAK,4PLsMEk2DCRVlVL2a9aZAv,B a noBody,5QnvYKAsSUxouVzCReEDxQ,0,not available
15,Worry,5MMHFFOpRRvdcXBrrSsnth,Jack Garratt,1Zp054Jc86WVKCxKEqZGOA,Remnants,65WvR35R3zQrgFf27Ux9UU,6,not available
16,Firefly,79nopNMm3rJSUfQfMkG0Ur,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,Someday Somewhere,6g86ETFJBa1KiFhum0lxA1,6,not available
17,The Sound,1oEaUN7PYQRwcUF52U2M9S,The 1975,3mIj9lX2MWuHmhNCA7LSCW,The Sound,7fEarFLyJY8KYUyHsbG6wj,45,not available
18,The Mother We Share,1Tlk5UV5vbff34BPJHCaZy,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,The Bones Of What You Believe (Special Edition),3Vid4I2pEkZT6AGUZjAIiY,4,not available
19,Wings,67ChP2tyLa1NABp3fifvBc,Little Simz,6eXZu6O7nAUA5z6vLV8NKI,A Curious Tale of Trials + Persons,5SvOOtR6GVcDawzPj5SwsM,39,https://p.scdn.co/mp3-preview/06fca2b10fe4a6b717fea6a81d9fd8abb07d8ab1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,White Tiger - Single Version,64I0PKLFEKlcvc7fEVUGq0,Izzy Bizu,6b5YOgXIliAozdo49vUCJQ,White Tiger,3vFbnDJXtwP5SaLrFgn0GC,64,https://p.scdn.co/mp3-preview/066907b0de8c7370d916d7e34bf344be0e80a7c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Brazil,6fvFiDhnrNuIHyjMt41NSX,Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,Brazil,0dfAYGIV9O0gudCe361PoN,0,not available
22,What You Know,1qfYG2JrchEyJiqKnkE7YQ,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Tourist History,4V1rQRHuuOWs8fXRl16OMY,73,https://p.scdn.co/mp3-preview/7529703829d2c3a94d9df9fa5d2b80ad0c3627fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Ain't Nothing Changed,1AgHGlBuqfdtgqXh3k9j1b,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,Ain't Nothing Changed,4kCmQvZPQQsqaWn0veLvsp,1,not available
24,Cupid,4pPeXj61y3lD0N19GDOFpK,The Big Moon,0KU55rzxAihPhi27MAuz9O,Cupid,1qw6KrxBo3s7pKwHAEJLcH,0,not available
