Eurovision Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,398,bbc_playlister
1,Children of the Universe,7wn3r1q1yLf9FlHO4HpGQi,Molly,1mRst3vZjsHcDdoF9t5C51,Children Of The Universe,0nTfqfMcdlbv0obc9yAmyC,33,https://p.scdn.co/mp3-preview/9cb3658567a009ff74bda26cc910c612a60e3188?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Parlez-vous francais?,673foE9F1zexKf0VPCIB4k,Baccara,4dn4KQgTE4P3jrwa3iIVzQ,Best Of,40coqImDQgGDlN8TxMhJwJ,28,https://p.scdn.co/mp3-preview/e15dcd77b11542c29d6d98770e8009e0138cfbc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Waterloo,10fRfvMo6WCO9Gaawxy2U9,ABBA,0LcJLqbBmaGUft1e9Mm8HV,Waterloo,5JGTMU2ovYCxC6nfJbft8W,7,not available
4,Making Your Mind Up,0Azn2vpP3Sbs8qAG8e1KUc,Bucks Fizz,5ZfzzHE7rxONfoksJsLXrX,Bucks Fizz,5HqRd9aYv1b0x8A6q2ljFb,49,https://p.scdn.co/mp3-preview/e355292802c9789b354d7683d5755b328daa49fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Love Shine A Light,2lfB143fLiiydwTQWUddlt,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Love Shine A Light (15th Anniversary Edition) - EP,0DysWhmznEImETwN9N9P86,0,not available
6,Ooh Aah (Just A Little Bit) - Remastered,3WEdk4BoEaQCSpqEA3JKXM,Gina G,25tu0d8Po5c4IVXsZnXUU8,Amazing Beach Party - Vol. 1,21wdI31diHTOfUcl7xk5vn,50,https://p.scdn.co/mp3-preview/21fef308296957ca632462ee88c514aff6e6d138?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Boom Bang a Bang,67HolMSJIT9IMPhxieOHeu,Lulu,0jYKX08u1XxmHrl5TdM2QZ,This Is... 1969,2zz4gHHDI0UJlbLWgrH21u,0,not available
8,One Step Out Of Time,7lbT1WUnDRFiKKBi97S0yj,Michael Ball,2MISUlPFrBMRlIcazbEOUI,Love Changes Everything - The Essential Michael Ball (2CD set),0U80LqMWPrKXVxw6qyZPus,0,not available
9,Non ho l'età (Per amarti),07rZol7bEXJSUHIcwah0eq,Gigliola Cinquetti,6QxfNzuPwvVnH5n1U24Cmh,Non ho l'eta',7xUskUJRAz72bp0FKDGOov,45,https://p.scdn.co/mp3-preview/32acd65f14abf43f2fdfeff3c1f4700107257352?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Only Teardrops,3yRwgprKX3If2zcuGfKFBu,Emmelie de Forest,3wQcURnqzPGHE0gzY5nE6G,Only Teardrops,2oeLglOCLcszlJtjUh4aQp,52,https://p.scdn.co/mp3-preview/f161c008ae3c317f0eab220f3ea2f55a3598de09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Diva (Original English Version),1PMX2SF2x2oyf1Bex4kPHZ,Dana International,03IVYRlAC972SOHPb86Usr,Diva (The Remixes),77yxwGTSVgdCdvoKLV1LTy,0,not available
12,Congratulations - 1998 Remaster,2qs5ZcLByNTctJKbhAZ9JE,Cliff Richard,2nvKpWcP8etYTq4JrRiUiy,The Singles Collection,6YZb35WBIM7ZlJf782E6gO,32,https://p.scdn.co/mp3-preview/90b2f2904e2f58383d58d37b5e1b02aaed00d92a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Cliché Love Song - Eurovision 2014 - Denmark,0h0hZdvLGdQwpR8FUQMVue,Basim,0AQTNnuQ6OZRjzy5MWuqfg,Eurovision Song Contest 2014 Copenhagen,2ChBXM2MXu0Kvmkq9gAbXm,2,not available
14,Save your Kisses for Me,3N2bG5Xz9LL1kge8OJV7cA,Brotherhood of Man,4Cyr5aqgXza16isOrQNOvo,Brit Pop Of Ages,7drSeQu8jDJEnB39VRJqOl,34,https://p.scdn.co/mp3-preview/ee9caa8a6b33bbfc2a93f1a883944a875094fd6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,J'aime la vie - Eurovision 1986,6UKeMVzQeeOsjITXfX1cm4,Sandra Kim,4dhrlsu6mKvOwJWOrwnkuV,"Au top des années 80, vol. 1 (30 titres + 5 maxis)",76YvIXe5aWujtislm12yVk,31,https://p.scdn.co/mp3-preview/9c0632e6dd91e7d1d88c69c6ca586281eb9944ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Beg Steal Or Borrow,4HebPsPBBAniv9y8NViGTa,The New Seekers,4jrTNltJtTMUfXybDdsHDn,Greatest Hits,1yw5JvF3aE10CYnPsTc62F,1,not available
17,Flying the Flag (For You) - Eurovision 2007 UK Version,6UFFiCbEkd5p2XULVLOSVQ,Scooch,6KgTJuysc3qA0LFObFU023,Flying The Flag [For You],2Y56Th3Olm2c3sbYvyvUzT,36,https://p.scdn.co/mp3-preview/9f125e94f95a9e305a1ff7d199e992acc137f614?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,I Can - Radio Edit - Star Sign,0RDqYInNP4SzatSL4f9OQj,Blue,2yEkZBBjhzKzt6LF5XMaFi,I Can,4b82uylpFnGzeGoymBEO1G,0,not available
19,One Step Further - Original 7 Inch Mix,23MbJwSXJRfM8rwQ6RUdD5,Bardo,3BoLl17irT50GvWqAPycir,The Best of Bardo,5ejjXzAzAuOAonomcSK4BB,28,https://p.scdn.co/mp3-preview/cf275a05ab3c5a418a6330f6ff13733eb73a58d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Are You Sure,6TZsGUhaoUW6OkFAD9GFpQ,The Allisons,3Fc3e55Hpm24q5XzsTyyo4,Best Of The Allisons,0tyPIGfoZPN9isZXCvl7zI,0,not available
21,Let Me Be the One,6gZvvkOUTl33NDsbi3lzKr,The Shadows,03hfAxVdAWj7kxDnSG0fLD,Shadows - The Collection,64pi43eHLCnVZHpcIdhoLa,27,https://p.scdn.co/mp3-preview/cc06bd64f6b88f82bbdc61bda2cc666092a83525?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Better the Devil You Know,1nUiswDwKT7QI1yhb82LZH,Sonia,2f5TIh7OVx3UixWpoiH8Yj,Greatest Hits,0v9h1o97Dh7Rzf8lXniWVz,17,https://p.scdn.co/mp3-preview/d534d75a74058188583f012a4541ab8cc7599a31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Teenage Life - Radio Edit,7vT4I43kOcrCSTwKzj9sHl,Daz Sampson,6r0FhfqMjBWyhYtzLrZkhW,"Essential Pop Anthems: Classic 80s, 90s and Current Chart Hits",3VEE2wHbDfaccnZJs7TDre,0,not available
24,Where Are You,2nW7d3hGhkwvoUn0rUe39P,Imaani,0dQzwkQ8ESNa3Uz9NIWEEi,This Is... 1998,6mJ0W6Cdr8C8K3sC2R0QCD,0,not available
25,Love Will Set You Free,3sPei5H0zsPDVa6GIpyZ5E,Engelbert Humperdinck,17XXKfRBMCWvLrqGoNkJXm,Love Will Set You Free,04RjsSL0gZjtRwfy8hNI60,19,https://p.scdn.co/mp3-preview/f0d2495a81d7b62b758886989a19df4607833744?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Rise Like A Phoenix,0fvafkeEoF6Y9gGLK3Wnu3,Conchita Wurst,1TGdxJ3UvFq055SVjwx49v,Rise Like A Phoenix,4aPLSEfXmX1wx6gdWi282p,47,https://p.scdn.co/mp3-preview/faed6559ef44f3d5f89feca928eaab5fb2692ec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
