The A Word Playlist (BBC One),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4117,bbc_playlister
1,Four Flights Up,1KPAUjqBwksSDfgG6vsl0O,Lloyd Cole and the Commotions,6juuiuCv8jRHZOcvP2BqKp,Rattlesnakes,4OfGDQC3Z2CdHMknAQMdig,26,not available
2,Why Can't I Touch It? - 2001 Remastered Version,037DAJ2ClglNQbEvXpGav4,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Singles Going Steady,6TxgQwGrbG3XZLNPOEhg7E,54,https://p.scdn.co/mp3-preview/75f3cd0583d620092fa1b546ce05c92a2f324cbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Crash,7COcoiWy4fuz0nH2v8BkRD,The Primitives,4FPmAi3p4T3p0AsthfqHMA,Best Of,17BSRPsfwXoQwwGoRVHPBw,51,https://p.scdn.co/mp3-preview/12ac0454a59f6a9dce98e9e312accd6f9f584d64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Shout Out to My Ex,6wZ8kvKP9d1MKlNFTMZrBK,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Shout Out to My Ex,4TvPWe1vbrh0hozmCoSFRI,9,not available
5,The Hellcat Spangled Shalalala,4H4mHkI5qfHI2mdZvoF8Mb,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Suck It and See,6ePsSjLdhZ8cFbxcZExAwl,0,not available
6,Moving Away From The Pulsebeat - 1996 Remastered Version,3r8OWUWO5hvzQHdKvYaGp3,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Another Music In A Different Kitchen,09IXN25ZAfR272CVFcdeqh,19,https://p.scdn.co/mp3-preview/369cb5fa594d0c24273d33a20710f9db3429e129?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Shrink Wrapped,3BWJFXJ4PuvyDMLeMfr4h0,Sleeper,0NbfEPYRgMczimdfM3skmH,The It Girl,4sbWSRMEy17PagZ4u6HTx5,15,https://p.scdn.co/mp3-preview/74233b148e79bd30a808a67780189bac611bc9fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Shout Out to My Ex,6wZ8kvKP9d1MKlNFTMZrBK,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Shout Out to My Ex,4TvPWe1vbrh0hozmCoSFRI,9,not available
9,China In Your Hand - Single Version,3U9B0ZcnVPisVh9wGOg6qL,T'Pau,47qTcvYlqJGAEsCI7BcENC,Hits,7qfAtb6H7YD2u5EkYX7wow,52,not available
