Radio 1 in Ibiza 2017 (BBC Radio 1),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3498,bbc_playlister
1,Intro,3EXPdW0NGGkPlyDMcScfgu,Alan Braxe,24JRvbKfTcF2x7c2kCCJrW,Running - Single,6Ps0YLiG5zpgsqx5kBPIul,51,https://p.scdn.co/mp3-preview/bb0c05cecdddfd3e013537bafd0966cc08e17dac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,You Don't Know Me (feat. Duane Harden) - Radio Edit,7mpcmYoOCeI5gh5azJSnWY,Armand Van Helden,3cQA9WH8liZfeja1DxcDYE,Return of the 90s,4lsQp3EEpwSUYNr6NHlKR5,0,not available
3,Sing It Back,49KhCrRQZG2PFikixwpNTi,Moloko,4aaBjq7VqqQvpSF69GglvO,I Am Not a Doctor,1i3E3ENCRZZC726vqMJTLF,47,https://p.scdn.co/mp3-preview/29a28ef64cdc751d01fa014622fcfb2cf2699d01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Professional Widow - Armand's Star Trunk Funkin' Mix - Radio Edit; 2016 Remaster,0MT7RXj7XwkyvA0e05fgo6,Tori Amos,1KsASRNugxU85T0u6zSg32,Boys For Pele (Deluxe),7vuSTl6tuWg0CQdmfphkFQ,41,https://p.scdn.co/mp3-preview/b42432218350441c52d81210751a25abbd3f321f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Good Life,5sJiLlgQKBL81QCTOkoLB5,Inner City,0vUJ3QLN3MlRfjOc2LjGWp,Paradise,2CwxbRPETEraKmAKDNrEcs,54,not available
6,Finder (The Path) - Radio Edit,17EZBBqRygg3BwCWYQSOU1,Ninetoes,5MP4PiGA5PNFrsVjtauFnC,Finder,7xCfk1UzP8QE55I8GutCcu,1,not available
7,The Latin Track,3HpAlQLbyGQGUum5IfJPwj,Melé,6EZO7Baz0SIFskWTO1GHqX,The Latin Track,1l15KucrVaqYKNHRQYB3HB,29,https://p.scdn.co/mp3-preview/f82339cd5df76e26f8b5ca633f5b4f3ebd444b63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Magalenha,0SvbYr6ZHgwDzUcC68SP4S,The Golden Boy,4sbnZxKTcrri3W099W0wuq,Magalenha,2PIOfMiy97VQahc6ZweoFj,0,not available
9,Surrender,5p040956hr0VIiCG8PgZrb,Gerd Janson,4jLpm91Tyk2TRgv43bMfZO,Surrender,2esufbgwhBdnzqg1a9dz1C,1,not available
10,The Basement Is Burning,18sDqYyq86NMzpNPgLUl56,Marquis Hawkes,6BDLwOIauGwERNYxaOciyq,The Basement Is Burning,0wS6BdcboYJOojnwPKyQdg,40,https://p.scdn.co/mp3-preview/ed0e8db0916bae926b4bb11c93f8552acf53e4e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Thinking Of You - Serge Devant’s Floor Cut,3gSxTM9ebWMT8z11HPAvgK,Serge Devant,41ZhnBiaqeoe6asIzVDvqP,Thinking Of You,0Rd0DqSm5UHHuCZgEBUM4u,49,https://p.scdn.co/mp3-preview/e70df257d02793e2b5aba4471729336d7d536f65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Age of Love - Solomun Renaissance Remix,35PQ0JjLRoRWY5gJV7pEND,Age Of Love,03tes5RhEvH2dX2eDeGnRn,The Age Of Love (Solomun Renaissance Remix),1ecfJSFXQ5sLkk2arx6hBL,38,https://p.scdn.co/mp3-preview/e3754ca337aa4b3140bd304ad523776c564b605a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Duo,3ooyAW7UArVBpv92ShuJn7,Teser,52xqMeKcB6P5Mefk8d5IfK,Duo,2HYWV0gxTZoFbji36SsDYP,38,https://p.scdn.co/mp3-preview/d79d0ee856ed6bd8990bdfe52b53d81e0063171f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Like It Or Not (Mix Cut) - Joris Voorn Remix,1NvfO39BxkYAOsUZawwIHu,Bob Moses,5teGcskDKvg00p3ad2NQOD,It's Julian Jordan (Mixed by Julian Jordan),0VFp9jhkOoNIsFD4hpIwZ8,20,https://p.scdn.co/mp3-preview/a2c67ddcd55831228f6895201c99126a49fa747c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Red Sky,1yOY12LfkzG9lHFlac2tub,Tale Of Us,1UL813H5aj3e8ekE5RqWqc,Realm Of Consciousness Pt.II,3UGKng57h05TZEJKQ9WR0l,38,https://p.scdn.co/mp3-preview/c91347ab2e45b422fed0916b3b389cd021ff64c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Tempest - Adam Port Europa Remix,64oUUFNHf6nm5oMpULrUp2,Lessons,5BGkQtLU5cVk7C2YSXyzpe,Tempest Remixes,1hpnmuT00UvIea1Dl1NXZn,9,https://p.scdn.co/mp3-preview/74de76d512ab794ca35dd22a1c9b321ddb830a9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Halcyon,7vDhL6qwjmM6ulg1GvoXj7,Dee Montero,46RoK8NBTMTyu23GiHqbCr,Four to the Floor 09,2TThSTaub8tjV412HPqavI,27,https://p.scdn.co/mp3-preview/9b76bf9d8badfeeb4f739570b77dab7d8208decd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Chameleon - Melé Remix,3nTgHJcPGM5XJxJT37bvyV,PNAU,6n28c9qs9hNGriNa72b26u,Chameleon (The Remixes),3YnsB8fu9TblIlBzrP5CJC,25,not available
19,Cola,1HrMWH5GUdK6Yi94rbANJA,CamelPhat,240wlM8vDrf6S4zCyzGj2W,Cola,4Mz3YFnTKm7JbuOi25mDWH,72,https://p.scdn.co/mp3-preview/53443828ffa0dd26aa97847958ddb83cb9e1b5ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Down With Tha - Original Mix,4f2leBU6HAPSXyqh7nuBGQ,Waze & Odyssey,0D9AnJzAnYyu1kfJFQDY5d,Down With Tha,4kDBfJG7AxWjWLzDBmvcOc,29,https://p.scdn.co/mp3-preview/3105738466d9f5ffd2eaa2d677f04c5210e4f27d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Cold Heart,3xdK8c614eSxKbr39kmGu7,Dusky,5gqoUf9vKKv96b1c0GBKwu,Cold Heart EP,64tqVgRVH30tO977TvaKV3,22,https://p.scdn.co/mp3-preview/9094df39cbef6e0d490f6ce3018d4888637b645b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Burnin' Up - Radio Edit,47djEMHF9dss5dRS4C0TIA,Friend Within,4FJPplt1JOVw8Q7NiwFmLv,Burnin' Up (Radio Edit),7l7d4vL5fyejYxkphxgohJ,0,not available
23,What's Going On?,2nME8xzx1fpOTJ3v40R6qk,Denney,7vm3musYjzfqoMloVCEF7v,What's Going On?,0V0Xp3FOY9G2lOtUa6EVeO,21,https://p.scdn.co/mp3-preview/6dd4fc64dc44f790e1891b84d723ddbc583eff3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Benediction - Radio Edit,0GPFq2mWMC6jKfTGDkAL9F,Hot Natured,4aKZ8rfdsQeR7YSskFu9V3,Benediction (Radio Edit),19ttnqNmMDuCHBZFsi6IxP,55,https://p.scdn.co/mp3-preview/f50395e8c4dff3e8767179eb20f8486fb55e552b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Man With The Red Face - Video Edit,0y0LNqWSA4Pv2KawzSi4MW,Laurent Garnier,3y1SoTOdrmRNTBVph5T0VZ,Unreasonable Behaviour,2IBm4EZ2AUUCSYzFAgCNBL,48,https://p.scdn.co/mp3-preview/3bce6222c617f6f1eff8a08dc99769fcd59ca82e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Hey Hey - Radio Edit,6o4KTcGUoN8Xse2SNHorGU,Dennis Ferrer,0MGTHZpAGf7isSfw8yMIoi,Hey Hey,4WOHS9vWb4Mu1bjNobDHmO,48,https://p.scdn.co/mp3-preview/5022093bc93f522cdbe2d92dccb96c574dc9bdff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Your Love,0IEtL7nw7nfcMrmVBOPoxY,Frankie Knuckles,63yl9nDNrHpiAYGlNJxxjc,Frankie Knuckles Presents: His Greatest Hits from Trax Records,4d5YuKmY2IwltrdzNVCZyD,2,not available
28,Around - Solomun Vox,5qA35ZZWFOqynheP5x8rty,Noir,2rHW9XpYMGsHj7BmAOSmr9,Around,1TaZYikPW0Cjp1f6O685fN,58,https://p.scdn.co/mp3-preview/c42586c30d086a327c446699f9385145a03ef711?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Pasilda - Knee Deep Club Mix,7GQSrFMZ6w9B9UN9g7nB0b,Afro Medusa,6D1DgoF2TYTbPQbRPEriaI,Pacha Ibiza - The House Collection (2000-2009),0IeYFIikG2SL2YLxGNvzVo,0,not available
30,House & Pressure,3W2bm5HR9tnS4ENFNJJ4XF,Route 94,1dgdvbogmctybPrGEcnYf6,House & Pressure,5f36IdWpaugA1uQ5Yr6Zxu,56,https://p.scdn.co/mp3-preview/069f7220200553b282284b485c0b4df2b48f0846?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Tribesmen,5dHbhSXspO11afHTfuVgvp,Solardo,0oO1IaDOBSeI96HbnCa5pZ,Tribesmen,0G4wBn5FKKGqIRSVAyGSn2,30,https://p.scdn.co/mp3-preview/b3ae0a80ef49980e5d221c082dd405f4db67c831?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ya Kidding,3fDgxdcf0jeJgGiZJGUmyK,FISHER,1VJ0briNOlXRtJUAzoUJdt,Ya Kidding,3asXE8koS98nGPVDSPKe5e,69,https://p.scdn.co/mp3-preview/77c41819e6c7d3433180910ac2aefb1792bf6452?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Shake It,0lQnwvVXhAqGKWLoTuwt26,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,Defected Croatia 2017,2M4MWLPJNHeLTlADugBSXx,0,not available
34,The Renegade,718ZqhXFto3G8aIK6ER5iJ,Friend Within,4FJPplt1JOVw8Q7NiwFmLv,The Renegade EP,1EumlKjB7P2vh1cKgWX0xM,0,not available
35,Work It Out,1WLsZqeBPTh1Jq22oAOU06,Karizma,0HPOumWRIYOhcJ8FRraEsb,The Deadpool EP,0wsbClUqEkGGf9crRafWvo,0,not available
36,Tribalist,0cuM5VdHUgIViD8fHIZZVo,iLL BLU,550Zxz0BTZi3yd8gX9QINw,Tribalist,6Ai3q7zWT9Y1Yg17qYTdR0,0,not available
37,Strings Of Life - Danny Krivit Re-Edit,5WVtkYvDJgan1Vd9pSVr89,Soul Central,7AhOEwT7t9lSIypvP1WTGP,Azuli presents Xueno - Formentera 2005,1EzZv7wwieYkYVrxroBqpE,0,not available
38,Get Get Down - Radio Edit,5o9DZHMGopB2DoSSMTNzQR,Paul Johnson,4BqZuFqHJ8CLn3ig0f1m0G,Get Get Down,4FID9Q7vasOmiTmSQu4p1I,57,https://p.scdn.co/mp3-preview/d9bd0b02e8f1f67ad7bc20a0fce21760c0b83639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
