Later...with Jools Holland - Spring 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1431,bbc_playlister
1,Lights Out,3mkmTUcZtQxuKpyM44lGj6,Royal Blood,2S5hlvw4CMtMGswFtfdK15,Lights Out,7G48dtcmfU6QUGbf5Z3JuA,49,https://p.scdn.co/mp3-preview/a05a3d9109181eca8356aa4d8bebb03fab4d35b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,My Church,2Wud6xFXTtFrTtAaViGL0C,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,HERO,3E10GQY1o8ZkHrhlQymzaO,4,not available
3,Want You Back,4SO6Wonm24FAHzttG1lIeJ,HAIM,4Ui2kfOqGujY81UcPrb5KE,Want You Back,5Is81BrMlqoLjeJ0ZPYdqW,41,not available
4,On Hold,4w2iAP3X4FkpPb5kjRdIDx,The xx,3iOvXCl6edW5Um0fXEBRXy,On Hold,0xhcc6Lp1uTV4mokv50GXf,9,not available
5,Alone in the Dark,25VDcDuHAxyQPBXPXhR1fn,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,Be Myself,7shFCy9ndIUNpp52TubkTa,26,https://p.scdn.co/mp3-preview/18fdae13fe947f7644f52ca68e44139cf362acaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Green Light,1WC5UN1U79gJlxGLYDGIO7,Lorde,163tK9Wjr9P9DmM0AVK7lm,Green Light,3Jvd3wjRENrLxPgUxQ5Exz,14,not available
7,Djoukourou,7aj1vn1mytoQja2c1iojSI,Oumou Sangaré,65CKKZilbcSKkAPC9a5Mvh,Mogoya,43euCDOikmefRS29Y55pLX,22,https://p.scdn.co/mp3-preview/00015d6cbde281d58be869f3dc2ef2537670729a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Horizon,7sqxbAwB1tl6MfQXHhA2R5,Aldous Harding,3lmR0qMiGuoIF9UC54egcG,Horizon,3wMaqh7xUYaBWsf4hLGbIC,50,https://p.scdn.co/mp3-preview/d413d58ef52af26900af7f4a87fada9afe095b68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,16 Shots,70t0381RsfUbBCXP9lXovo,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,Real Ting Mixtape,4gn4hY9gy3QgMC01I9brjD,3,not available
10,Dragonfly,2Zt13aw5x5D9fAs8qWpFo7,Pumarosa,2iWb4skzSlf6dMTu1DS18J,The Witch,1bgYGX12OrMNxUkTADE1lc,0,not available
11,Halfway There,15qe3YIRh8hl9XAXODXQHW,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,Halfway There,0LMlwiW8YjOpzDfWicG0jQ,26,https://p.scdn.co/mp3-preview/680acb472f403fb3906632c5961a9cf4b632f79a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Woo Sé Mama,1hnN2Ui2Ui9ZUx0YSe1N7D,Paul Weller,7Lf3LOZp3U3u2f6cWMd3AH,A Kind Revolution (Deluxe),0mbzS8xzbJj3sK2n0g6nPh,30,https://p.scdn.co/mp3-preview/862603b75ce3a0ba751eb0eb9c3aec512d1beaef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,In Cold Blood,0rYnegjbXvYMfuG0q6cQFu,alt-J,3XHO7cRUPCLOr6jwp8vsx5,In Cold Blood,2R4ruaGYbTqqKRTbpcbQOl,40,https://p.scdn.co/mp3-preview/8455e16bf37c090d337e559ba081d25d87f16c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Picture Me,0sagI8v3w4OAmDx965cbJk,Dave,6Ip8FS7vWT1uKkJSweANQK,Picture Me,4iX3CdFCwZ2ipYPYdFr1au,38,https://p.scdn.co/mp3-preview/6b52c4f0ec7d765dc197a12285152d60dcc7695c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Alaska,0cReiQLnbTaFfUajukjDBb,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Now That The Light Is Fading,6emUsSQtDzy6NNXI5kxcIw,6,not available
16,Keep the Customer Satisfied,2oPIBJ8Xy11Eg071hgOC2y,Naturally 7,769D3IwCDrdPospAd3Hlpi,Hidden in Plain Sight,093CmY92n4R8dTAjq7Zxqp,0,not available
17,Sweet,24hmgIOBCtanp5FUmwD6AP,Little Dragon,6Tyzp9KzpiZ04DABQoedps,Sweet,0nrczscyjDpLbnUdGuSUlv,0,not available
18,Long Long Road,436FAnmGNUyI9d8ATKiLvu,Paul Weller,7Lf3LOZp3U3u2f6cWMd3AH,Long Long Road,6GMgicXtn9R277hKBKu8mx,16,https://p.scdn.co/mp3-preview/70dcb6f75561ae735d84b6273ed52174718ee982?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Right On You,4PI8TwRCPIaeRXLCxJ79K3,Benjamin Booker,7mZgBMpvaBziYQfc9TbJH5,Right On You,0zDtsHoJu0xjGjMjqevvOu,0,not available
20,Art For Art's Sake,2q9eCG1ozkbma5NsGew7F8,10cc,6i6WlGzQtXtz7GcC5H5st5,How Dare You (Remastered Version),1Pk9JbvnZVhQBA8jHN7pZU,1,not available
21,Give Me a Reason,66aT9JUFoj8DoT4Fi455cC,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Give Me a Reason,0NsfjDSX1USesT2mJ4zqbb,16,https://p.scdn.co/mp3-preview/69316801badeb84c77bcc09eb787a6578551ae84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Don't Kill My Vibe,3irNpONYOfunwlUdj3WARO,Sigrid,4TrraAsitQKl821DQY42cZ,Don't Kill My Vibe,1pxc7soLSzBrjAm34VGLcW,7,not available
23,Near To The Wild Heart Of Life,4aQSJS43Lwfc6egUwKbXhb,Japandroids,2WcCoPxAWFNSCvsFPrpf30,Near To The Wild Heart Of Life,26hqnB0XF1ZFc31zY6NAgf,42,https://p.scdn.co/mp3-preview/a83f04e7528477a6f82cfda27830cc120a8b260f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Where I’ll Find You,2x9AXmU832hEl1XGQd3UQI,Joan Shelley,4eR9k3I0YKCQUvvP2ojptw,Where I’ll Find You,2aOPsls0JFcY9cQuoQATBJ,15,https://p.scdn.co/mp3-preview/65bba9f0cdc2ee81541068f8805c635a5afe7c43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Witness,2GT6Qu8vpLF3sWLIayctVt,Benjamin Booker,7mZgBMpvaBziYQfc9TbJH5,Witness,3b5MyZrwAXYmPwBa6feCw3,0,not available
