Trevor Nelson's Classic Soul Albums (BBC Radio 2),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,8031,bbc_playlister
1,Get Your Number,2gMkg7hJxWbPlewiZPFipO,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,The Emancipation of Mimi,2ttLsnGoW8PrCu4wYUO226,30,not available
2,We Belong Together,1qR8saLKsf4oIGdpt4QUQc,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,The Emancipation of Mimi (International Jewel),1qmkUjb9IsZgAttODKZPSB,7,not available
3,"Wanted, Dead Or Alive",4dxvwK3AE9rvJziqeIHaNJ,Voices Of East Harlem,1LppeaUlwXl7FvRZ9dmSLi,Good Times 5,3gAu6DxvhBt2eT0yEnqjCY,0,not available
4,Shake It Off,082887UlsfDsWUQWiqJgyi,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,The Emancipation of Mimi,2ttLsnGoW8PrCu4wYUO226,42,not available
5,Go Away Little Boy,1l0bXaDKUhJ5PcFZ4Cl2CM,Marlena Shaw,0hirZ8kPPdM9pzXpoagB4w,The Spice Of Life (LPR),3RUdAHsBOskqStLs3juHm2,0,not available
6,Woman Of The Ghetto,55RMAQEtVbbQt58YXVPv1F,Marlena Shaw,0hirZ8kPPdM9pzXpoagB4w,The Spice Of Life (LPR),3RUdAHsBOskqStLs3juHm2,1,not available
7,California Soul,0lNvrXhFOCbHXmxNLGIC7q,Marlena Shaw,0hirZ8kPPdM9pzXpoagB4w,The Spice Of Life (LPR),3RUdAHsBOskqStLs3juHm2,14,not available
8,Savoir Faire,6wgXmB5F0iE5N44LeFusF7,CHIC,0Xf8oDAJYd2D0k3NLI19OV,C'est Chic,2KSmpFuIe2nOYYVgA7oa9o,0,not available
9,Dance Dance Dance,3ryTv2YkH1NT0cUBnlOZyL,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Good Times,0l4smZHjrd7cei7oqlDijR,0,not available
10,Everybody Dance - 2006 Remaster,6sh2gkdFAxmDEIwtLRrJyR,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Definitive Groove: Chic,4dyIG2Jqkzqeb2VcY8bkTO,36,https://p.scdn.co/mp3-preview/52c0360fb6309579b70f601ef2697f399eb0d5ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
