The Sound of 1989 (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3244,bbc_playlister
1,Fight The Power,26zWdOUpB6P9E9OtQQc0qp,Public Enemy,6Mo9PoU6svvhgEum7wh2Nd,Fear Of A Black Planet,0QNPblZ1LIHTKja8pvHauW,41,not available
2,Hey Ladies,1X3U53BiZuDRTzz3XCQZnR,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Paul's Boutique,4DfmPm17Nz6a60BlEpGGKU,0,not available
3,Ladies First (feat. Monie Love) - Remastered Single/LP Version,3ADvHtuGfkygTJ6V0n8sYQ,Queen Latifah,5m7wCUhYhBh7A3A3YMxrbt,Rhino Hi-Five: Queen Latifah,1MT8II1xXyI3kjZ24jRgHo,0,not available
4,Express Yourself,68YdZEkdaoXQTHRsxzS2Kq,N.W.A.,4EnEZVjo3w1cwcQYePccay,Straight Outta Compton (2002 - Remaster),12UO1VN1TffieQyDyzjivp,4,not available
5,Doowutchyalike,7eE2dhTgfLfBD2sDyaBRwp,Digital Underground,7jocoSCuCtpCxCI6IbP8ye,Sex Packets (US Release),7xOwZi6Ks5f5XjTEWoTAH8,0,not available
6,Bust A Move,2T3pa8WivYPDXohhyQqLML,Young MC,5n30a5V4ftXNMHCHChmK2h,The Replacements (Music From The Motion Picture),0L9f74kFxdc0JEBHacgvci,3,not available
7,"Me, Myself & I",3SdOP61TT2l8YQpSaUtsWR,De La Soul,1Z8ODXyhEBi3WynYw0Rya6,Classic Hip-Hop,4lOTwpdctMu37l0c3HxRCf,1,not available
8,Buffalo Stance,3XWgwgbWDI56mf1Wl3cLzb,Neneh Cherry,3JxCEqL9zjKnDJgUhRuRJD,Raw Like Sushi,2AyJzvREOnlnYhaBzF1Kxp,50,not available
9,Keep On Movin',4NMtuxWfOPR6yNjAX0AWrR,Soul II Soul,2sIx6SmAMw9IBySG3Uj0jf,Club Classics Vol. One,5VxTLm2IZsDQn3r9eX1qfa,43,not available
10,Are You My Baby,29qgBVaOp0nlef1BtgG4ge,Wendy & Lisa,5Fe7lgCHgCB8oZhG3KoTZz,Fruit At The Bottom,6wr7CVzGShxLNrdmxFKIAG,26,not available
11,Big Fun,4PyhlL1vrSvPlhYLdphszr,Inner City,0vUJ3QLN3MlRfjOc2LjGWp,Paradise,2CwxbRPETEraKmAKDNrEcs,50,not available
12,Round & Round - 2015 Remastered Version,6MhvA51DJ1gG5AZztMD9bP,New Order,0yNLKJebCb8Aueb54LYya3,Technique,6HQo3byKYGsHxOqofRmgCh,43,https://p.scdn.co/mp3-preview/c4db69b016c8b360a2ea02dbece76d9def4a6d69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Fools Gold - Remastered,2mv6GY70UsHiTCGQZ4JfgC,The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,0um9FI6BLBldL5POP4D4Cw,61,https://p.scdn.co/mp3-preview/6b77762ab49af9cca50f2da8c4fcbce78247af12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Pacific707,2g7hVenzcAKroZ1iApWR2M,808 State,7hFdUW64G4iU1tz46ITRfN,808:88:98,5AwzUObefPCUklyI7UN9eq,0,not available
15,The Phantom,18dZU2Mu0IydGjWwarZPui,Renegade Soundwave,34wtf7GZVapHNvysEvuFzY,Soundclash,0LYlPHIWzf4WfBw2z2uDIZ,22,https://p.scdn.co/mp3-preview/76774814d56d6a5aa39767142be948a4a4730e7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Can U Dig It?,6KQZGEf6ChMySpzRLfbURs,Pop Will Eat Itself,5rIXueJu7zVE2gDZjUM6g8,The Best Of,3rUFwX7t0BdVrcl8eq9iqf,13,https://p.scdn.co/mp3-preview/677f8a3bad8709a2fe32d94cd886d0d39ecb826d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Sin - Remastered,0NS13CiQ8v3Guqr1qBBiEC,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,Pretty Hate Machine: 2010 Remaster (International Version),0TCJSB9oN9pIHOuAQRpiUg,0,not available
18,Personal Jesus,72a9JWKqJ8SGo0OdyCS12P,Depeche Mode,762310PdDnwsDxAQxzQkfX,"The Best of Depeche Mode, Vol. 1 (Deluxe)",0h1RmJe86n74nWpNWWb2dj,58,https://p.scdn.co/mp3-preview/df030dc16fb311acaa88e319726028906b11ff2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
