Lauren Laverne's Just Added...,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,8886,bbc_playlister
1,Like,4VRXOv9HvSUZpOFBcBGnCG,Róisín Murphy,3qwabfaWewpfli7hMNM3O8,Plaything / Like,4zhnnXeezlwuPXyl0Ozt0z,0,not available
2,I Just Wanna Be Your Prisoner,4MTF750c9eJxTPgpCGSCXd,Skinny Pelembe,1ZxriNuHn6Upjf3U97nnUN,I Just Wanna Be Your Prisoner,1svFRAZgov8p3yQjBSfnwK,0,not available
3,J.Z.O.K.,3Gnf16JvpoSbd7wUn8umCU,Mass Gothic,5CjfZsl2kJgBUJvdJEBRBs,J.Z.O.K.,0QHZyXUpdTyTjRMvUJpDkw,0,not available
4,We're Not Done (End Title),17F08YdvPhnvj8LEq2sMSa,Mogwai,34UhPkLbtFKRq3nmfFgejG,We're Not Done (End Title),2pT5Qo5bQzS0US6Qo9dz1c,21,https://p.scdn.co/mp3-preview/8d2991d6c48d9887c25504e60f5c4f6a9550d8ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Cold to Crack the Stones,3W6HCVjFIxL2tzmOnqyP6E,Haiku Salut,79Pn5ZJIMo3zUwyooez5xo,Cold to Crack the Stones,1RZ5pvkDm9Bviuh1UK2Fno,12,https://p.scdn.co/mp3-preview/1d7c268f000555dc4e025030f76430c4fa2575fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Carcassonne,6FOihKBN1G0dJbcviQW3WY,Angelo De Augustine,0W79ONUwHoehEib1nRXlmi,Carcassonne,18xhnHq8asqLZN2hYjeUss,41,https://p.scdn.co/mp3-preview/d76aad059b335639351187815c994317530ac3b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Crush,1bfl5j92gs0wVMdi2A85NM,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Crush,32mk8ZybP5qf1uueZwji8n,13,not available
8,Like Sugar,6uUyZC6Bhfj6Q29stciUz0,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,Like Sugar - EP,3edkONJA38EZmrzzkG0sKn,52,not available
9,Clairvoyant,6XlNtKt0KfcBhBnRfJmoJK,Nakhane,2nrShcJFP8D5bQT8RgdBhH,You Will Not Die,5jvLv6vSZnDEYr24ZQJPye,28,https://p.scdn.co/mp3-preview/9edae90584a9d7adb646ff73d733e304af3b0cc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Gap Year,2T6Y4dP9lIXW7CyFyJwMyR,Phantastic Ferniture,6uHxXCSJUP50EgddL6eWNC,Gap Year,0X9VW8kNnalRIoIyQc9fIK,13,https://p.scdn.co/mp3-preview/8b63adf5faae0c024d6ab6134a5f77d546ca7295?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,A Trick of the Light,2nBsRu0nPWCmfXvLaf9u8L,Villagers,2m1l9MLSslzup4vvokKgvQ,A Trick of the Light,3qAqTaAeKYyccquZlEqRwV,55,https://p.scdn.co/mp3-preview/921416630b23661dc68d2365d02e90bb6e7856ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Drop the Bomb,5C1mLwEhVHTMwGJWaZvAfr,YOTA : Youth of the Apocalypse,6XTzO8TmUlJH7F9UgqUOY2,Drop the Bomb,2XQV32UkdHrWvJgp98fGFv,40,not available
13,Above Us,60l01NeqDELWo7SqaeDCXI,The KVB,0BzJFLqchxKNQyEwswwQ40,Above Us,1u1CbjKoOW4GTKRjDL19FK,19,https://p.scdn.co/mp3-preview/2b8309023f7187f3874dab5a0a225c5dbc3c62cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Don’t Beat the Girl out of My Boy,0WAefSWgoOXB19hnexiss7,Anna Calvi,50sSN9E5i4DJzYDclAXlSo,Don’t Beat the Girl out of My Boy,2xzOfAAAXBTZTtwqIzbVft,29,https://p.scdn.co/mp3-preview/6943f329f63742c93711da04a8b0289732a6caff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,It's Not Over,7f52YN6xnxbiUrYwCQBeFZ,Curtis Harding,0CUpzKPDfIVzYqMn47jiV3,It's Not Over,2huWZJP9XfSZ5A7zBPWlUI,49,https://p.scdn.co/mp3-preview/f6b8d0b8ec39b3ebccd0076b5a5a5b98220d7669?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,My Wave,2dMSMSpjvDZjHAuVFp9Glo,HALEY,4CnjNY8JoPbS7h7p6DwXez,My Wave,543C3MLjDwGr3tSOYyhh9z,20,https://p.scdn.co/mp3-preview/b9b046fb10926a0d6652ef3820f663fd745703cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,So Much,42HjV1KDYe2F78X7JtMRQc,Joe Goddard,380fnmlGnkyueBMqGWx2k5,So Much / Human Touch,3pZRUw4W9xWccvr4rQjqPI,29,https://p.scdn.co/mp3-preview/7bb6f408912766d6b29f4528ac2aaffa3f817dea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Toys 2,7udpRbgR2XK5eWWd7rNkMb,Oneohtrix Point Never,2wPDbhaGXCqROrVmwDdCrK,Age Of,05A41BF3z2E5F0tnTyWRNh,37,https://p.scdn.co/mp3-preview/a27f5c47dda3a076677ef3e0fb7f41781b37bead?cid=fa83a2fec7c440b7a2795d600d6b2c7e
