Lauren Laverne: People's Playlist (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,23580,bbc_playlister
1,The Lambton Worm,5aw7VUrbBpOeW5278YQOsI,Colin Good,263powUVKoxjDdUjtAqwhS,From Tees to Tyne' - The Northumbria Anthology,20Qr2BJJS0le5glIxa5reU,10,https://p.scdn.co/mp3-preview/7ae0f5c1f815c0cdd1ad557fb899685d75a5da51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Only A Northern Song - Remastered,0htnXrZwJvLllryAQU22JT,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Yellow Submarine (Remastered),47bcKzmKgmMPHXNVOWpLiu,1,not available
3,A Great Northern River,6fk6UfnOajz8zVxX22AnC2,The Unthanks,1luY92PbdGWRyBRY1ZR7o1,"Songs from the Shipyards (Diversions, Vol. 3)",3tzak4x5Ub1899tbfH38IQ,31,https://p.scdn.co/mp3-preview/d305a3baa1d31b3b5ae9fc12cfaad410b02af782?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Coles Corner,5kGdayTmguCAZP87F56DUg,Richard Hawley,1ZsnHGOLYFg8CAHQQBc1ut,Coles Corner,3Gm6V4tzZaYFbnhrvubylJ,45,https://p.scdn.co/mp3-preview/a7555bc51e1801c5119ef956103b0536648dcbf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ships In The Rain,1eO3DQcsJsZtGQbbuSYeUF,Lanterns on the Lake,7sx3r4lMo079vO7lIi0fng,"Gracious Tide, Take Me Home",2NAM14KEneeKrv7LMSMqZf,27,https://p.scdn.co/mp3-preview/160d43a476ce1361005cc4f690e03476fc761511?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Station Approach,1bgHKMJXW2fplDw0DwDfPh,Elbow,0TJB3EE2efClsYIDQ8V2Jk,Leaders Of The Free World,0CAQayblqPcPvwAHZlB77r,3,not available
7,Into My Arms - 2011 Remastered Version,407ltk0BtcZI8kgu0HH4Yj,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,The Boatman's Call (2011 Remastered Version),4Gp9Ls1UqkrQRrTTxhvs6A,65,https://p.scdn.co/mp3-preview/a10512b6abb5ee1cdb9792de2600352ab10ed2c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,When I Fall In Love,6bZf2VcN25Hu7jcLNkc5NC,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,The Ultimate Collection,0X60d06UrpWTMaLwMPd4Od,10,not available
9,Something's Got A Hold On Me,6OCu02giYyUohTNb5iLdf3,Etta James,0iOVhN3tnSvgDbcg25JoJb,The Genuine Article: The Best Of Etta James,3p9TMfX9EXKkRgTliXqBZV,41,not available
