Glastonbury 2017 (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5481,bbc_playlister
1,Karma Police,3SVAN3BRByDmHOhKyIDxfC,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,OK Computer,7dxKtc08dYeRVHt3p9CZJn,74,https://p.scdn.co/mp3-preview/5a09f5390e2862af1687f3671db3d6f84a813a45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Everlong,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,The Colour And The Shape,30ly6F6Xl0TKmyBCU50Khv,78,https://p.scdn.co/mp3-preview/4a2dc307a71393a695d69b16407cd73e1e234941?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,86,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Chained To The Rhythm,5ndfVSDyPq90jaIUhNPeby,Katy Perry,6jJ0s89eD6GaHleKKya26X,Chained To The Rhythm,1VIX8YDyQOaUhWpHhP6Ttu,15,not available
5,In the Now,46QcwwOWsM5MC1pSTlinef,Barry Gibb,7Hd38PVp634oGEb9pIDs5d,In The Now,1eyIZR1FWfDu9GXpIydcpE,27,https://p.scdn.co/mp3-preview/e8054d0335cddb31f68c555570745ba76f76afa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Burn the Witch,3pcCifdPTc2BbqmWpEhtUd,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,A Moon Shaped Pool,6vuykQgDLUCiZ7YggIpLM9,59,https://p.scdn.co/mp3-preview/c5b0b198ee3f045960106e9957550e4610555d7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Congregation,40cLVGkjzcZ5FJ3vHkXB0e,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Sonic Highways,2qwN15acAl3sm3Idce5vK9,57,https://p.scdn.co/mp3-preview/0c4b5bb7c87944c4f0f052762f69720bd9cac730?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sing,6K8qKeWo5MsFED7wCR6Kop,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,71,https://p.scdn.co/mp3-preview/9753d5100c5d00d13dbe9dff60be813f4ec7aed4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dark Horse,4kgsK0fftHtg9gZOzkU5T2,Katy Perry,6jJ0s89eD6GaHleKKya26X,PRISM (Deluxe),4lFDt4sVpCni9DRHRmDjgG,15,not available
10,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,5cP52DlDN9yryuZVQDg3iq,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Saturday Night Fever [The Original Movie Soundtrack],0taUwU7qjtc9lvwmd7FKac,17,not available
11,A Violent Noise,661bbtA19xopO3lH0J4Qvr,The xx,3iOvXCl6edW5Um0fXEBRXy,I See You,2PXy9USZAoTSdtrxfkPBnl,53,https://p.scdn.co/mp3-preview/e678e878f33715fcedf9983f6455c6ca0660aa72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Need My Girl,7rbCL7W893Zonbfnevku5s,The National,2cCUtGK9sDU2EoElnk0GNB,Trouble Will Find Me,2JhR4tjuc3MIKa8v2JaKze,68,https://p.scdn.co/mp3-preview/08125363e5f2ac57bfb904a353cdbe959b6a854b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Many of Horror,1auUyL63z3sWnBhooTnz31,Biffy Clyro,1km0R7wy712AzLkA1WjKET,Only Revolutions,6Ch5ZsoMxpy5Ef2i4mGILh,57,https://p.scdn.co/mp3-preview/75b5a9a8508d6c1ae87dd6d797ede93d567c6dc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Lights Out,3mkmTUcZtQxuKpyM44lGj6,Royal Blood,2S5hlvw4CMtMGswFtfdK15,Lights Out,7G48dtcmfU6QUGbf5Z3JuA,49,https://p.scdn.co/mp3-preview/a05a3d9109181eca8356aa4d8bebb03fab4d35b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Big For Your Boots,3uMB82o0qa7erhiZBW9KQC,Stormzy,2SrSdSvpminqmStGELCSNd,Gang Signs & Prayer,5fkFWJ9LZizXE4yPenNGuy,68,https://p.scdn.co/mp3-preview/32fd1659f50b388b771449348ce8cc3626f7558f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Good Times,0G3fbPbE1vGeABDEZF0jeG,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Risqué,1UFBJkKiBe3Lzjr307UhuU,65,https://p.scdn.co/mp3-preview/6e13f6305e059e7cd762d5cfa8b83787a059d813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),0fg8CqpjdojMyXLNzM2PaJ,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),6H74dJOhawVj8dAv7ZBXKd,9,not available
18,In Cold Blood,0rYnegjbXvYMfuG0q6cQFu,alt-J,3XHO7cRUPCLOr6jwp8vsx5,In Cold Blood,2R4ruaGYbTqqKRTbpcbQOl,40,https://p.scdn.co/mp3-preview/8455e16bf37c090d337e559ba081d25d87f16c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Too Many Man,7M2WQVUNModGJKJcVWfSyg,Boy Better Know,180XcSBai6RDpuElMcKk2v,Race Against Time,2HJWUYQJSKgpZ4XlqW19jW,26,https://p.scdn.co/mp3-preview/273d2fc8c8b71a9d64ab63bf0be981cb7a76b852?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Green Light,1WC5UN1U79gJlxGLYDGIO7,Lorde,163tK9Wjr9P9DmM0AVK7lm,Green Light,3Jvd3wjRENrLxPgUxQ5Exz,14,not available
21,Cranes in the Sky,48EjSdYh8wz2gBxxqzrsLe,Solange,2auiVi8sUZo17dLy1HwrTU,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,65,https://p.scdn.co/mp3-preview/a0d13ea0e7dcd0ccae5f6bf96ce2daede4d2841e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Legend Has It,3t8izcl6BTPg8kWoCEHFdT,Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,Legend Has It,24OukO41ZcjNVzpVzc6bvH,38,https://p.scdn.co/mp3-preview/0c5f7030c517d439c00b9f0ace19d401ad225483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Soothing,2QQGWZLoe4t19wkZ5nKOD9,Laura Marling,7B2edU3Q7btJoNsoHCNohM,Soothing,4nwrreIqpAbyOsLt4Dyztl,35,https://p.scdn.co/mp3-preview/ee5494daf7ce4f92d4469009a77d8aa55a1115d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
