A Song for Guy (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5660,bbc_playlister
1,The Other Woman - Live In New York/1964,0IqIQs9D8uzTfAkNwg4La6,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Four Women: The Complete Nina Simone On Philips,0McgYFVB8rxTi7JrNVcULt,0,not available
2,Small Hours,2OqcBW2mw4OcnkLw8o6CYF,John Martyn,3JulrApLVT81sb2HkfwMks,One World,0fwpH5fM5EvjmOVONRbL5o,0,not available
3,Tell Me Again,7zfRPWJ4RQ8zgFMiP3zbNG,Ron Sexsmith,2wXBWJhbm1gfEVjyEEuhDH,Blue Boy,5YgVTim3B47eMohA7UEa4c,0,not available
4,Ring Them Bells,1Y3VFY4mkLqMIkqxC51p6l,Bob Dylan,74ASZWbe4lXaubB36ztrGX,Oh Mercy,18ue4s9PsV3WBw7kkzD689,37,https://p.scdn.co/mp3-preview/9f1c98735215e0bc4ca4659777587ecc15e001f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Never Let Go,1y8vG2h8ZPAq0SPH1MMyjI,Tom Waits,7x83XhcMbOTl1UdYsPTuZM,"Orphans: Brawlers, Bawlers & Bastards",2G1DEHCF8CO7uKQfQGng7P,0,not available
6,Ragged Wood,0CCnBol2JNuwYxdMvhamcA,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,0Syn17gPB8FVLmRpFiYWyM,0,not available
7,Where To Now St. Peter?,06kMIKWK2uCuFCCbstJpnW,Elton John,3PhoLpVuITZKcymswpck5b,Tumbleweed Connection (Remastered),30yhgdz5SBUyX75OxxwUcl,0,not available
8,Society Is My Friend,4jXVEJ3I98BT5UPkDRytMf,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Smoke Ring For My Halo,32a7BrNNTAu7BVb6DcsMLP,31,https://p.scdn.co/mp3-preview/aa77b1805c04c489684980ebc408f6699d774d04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,'Til I Die - Remastered 2009,2Uup75DRkJ03P91XyITXGC,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Surf's Up,5NJHGcHNdLURknY2LfzjZg,42,not available
10,Riptide,0L6imCZuiJNsgTQgMezsq3,Vance Joy,10exVja0key0uqUkk6LJRT,God Loves You When You’re Dancing,6a8LkNvwVq9nQQHXH3wbVq,2,not available
11,Funkier Than a Mosquito's Tweeter - Remastered,5wBi26umb4oxXLmpJ32BWV,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,It Is Finished,5rzptvCrGaKKR0vT49BHYk,45,https://p.scdn.co/mp3-preview/ec9fe8fb75ee95e47b6177b040d6d08b006ca123?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Can't Escape from You,0W9GxXsUtJnd6QwQxFUGpO,The The,7cKtqv9cYVlOwnuCFH95ce,Hanky Panky,6MryZFi2UEJifVpMQk9ab7,12,https://p.scdn.co/mp3-preview/57244ed78052a1597e40f5298ab85f82c342ae96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
