Britpop at the BBC (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4066,bbc_playlister
1,Drink The Elixir,4fFamWWQEWNE5zjHpXJEiF,Salad,1VtneCNqtX2GoZB9S7Ne0r,Drink Me,2s6DIspkCVQe74laKOZj6N,20,not available
2,Girl From Mars,1JYs5OOgeW1jAOaiiLlJdx,Ash,2evydP72Z45DouM4uMGsIE,The Best Of Ash (Remastered Version),5BFwMp5Uzs15Zasy5YOqib,57,https://p.scdn.co/mp3-preview/b7ee0d04e0bb511f4aef5df9f55f96880cf79d0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Parklife - 2012 Remaster,7FSzJQV6thyoQptFCUTV9c,Blur,7MhMgCo0Bl0Kukl93PZbYS,Parklife [Special Edition],0DBkFC6739trhCoVreZyds,61,https://p.scdn.co/mp3-preview/093413c02db355cef98a3684d6bf112da392a30b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Wake up Boo!,15RgdXlKJQTNMsR4hAzIGh,The Boo Radleys,6UYwzZChuolxsylHcZcBBP,Wake Up!,4Jw9nbFQEGEfB3RCwHqRNU,49,https://p.scdn.co/mp3-preview/5ba6c61e9c7caed8b198dea47a1208f74eff2efb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Fine Time,5z6kCwTvyJb7MlgMPjXFy9,Cast,0vBDEQ1aLZpe4zgn2fPH6Z,All Change,4QpYfKscCgJ7cciYCEysg5,46,not available
6,Road Rage,1A7pz58VR2Lpc19c58QdSo,Catatonia,4Bgfzia8wyaGaTn42egzTv,International Velvet,5oORHAxHQggskA01yI3l6a,53,https://p.scdn.co/mp3-preview/7f84a82cf69d27291fc4cae6bd0c1e645bc53305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Middle Of The Road,0Nhqx4ADARNhHb1eiIp8wM,Denim,7aK3HPZsL7YboqDz7EB2uy,Back In Denim,4u4tc9cHoIxFVdzo1fu57P,13,https://p.scdn.co/mp3-preview/a67a1671f7747679e444d6123f1e463617aca537?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Something for the Weekend,3rydLuqW22lOXbzygKQuS5,The Divine Comedy,7EV6jW6dotBdvsHj6xPixi,Casanova,0txgYRjymfL0U28aTEK6Qk,38,https://p.scdn.co/mp3-preview/e16959a75a63ab960df44b039a0f0b153784d129?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Great Things,1snTgWAiu5d20Rbke7aq9H,Echobelly,6bEiU0j4lC3yh2D1kHzFpb,On,0w3z3xSfH7pB3SNf50pCg3,34,https://p.scdn.co/mp3-preview/43a83d9f8ca3cea7251d79ae4800ad9da1dfe307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Line Up,0eFAUSue1RJ4YlHwH6guKw,Elastica,3l14gV4hIMAjmo7KUvEWTx,Elastica,2Eu3dJJYgcbzrhp0zyRBZz,23,https://p.scdn.co/mp3-preview/464cfad638bd9b9d7b9e8b2a2faa8abe21808190?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,For The Dead,1BoJvUBQhrJV0UdNfo2Qmd,Gene,5Rsu72e1qrjIUtxH6Zmy9K,As Good As It Gets - The Best Of Gene,1uILWu0wpXQJ8VpLjUck00,24,not available
12,She Said,5J7l2wE9wxqod7xIP0jyAB,Longpigs,1o7zIbVAgDDHKijLVuLASg,The Sun Is Often Out,1QQKv2Y9uONbj8Dw6GUMB6,46,not available
