Radio 1 Rocks (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4296,bbc_playlister
1,Hell,65Xt0xISP8g7Uw1JIVUzaj,Deaf Havana,0exhrQcReCdr11oPbOh22M,Hell,1RiG1GHQnFLszT6SoerTT5,22,https://p.scdn.co/mp3-preview/30c3ccf12b12c26c505c94b717cd52718015d5a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Running From My Shadow (feat. grandson),3l3nnniXzq1lBqYeYEJb1H,Mike Shinoda,6xBZgSMsnKVmaAxzWEwMSD,Running From My Shadow (feat. grandson),15UCS2DZ8a8BPcxztvFOoX,39,https://p.scdn.co/mp3-preview/24ba2b9584aa1a95af7abead3105fc6295a34845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Dance Macabre,2hfeoNvx8cYeJKiUbD0m03,Ghost,1Qp56T7n950O3EGMsSl81D,Dance Macabre,6SLD6dLslZEuqk1RmmkRdC,0,not available
4,Ghosts,5Hl2VbKpY9W2imlavj5EbH,Stringer,0sLk4JBQFOXrd8nXUnhkPv,Ghosts,3fXwIp6eHgYgi0pCkfN8T3,4,https://p.scdn.co/mp3-preview/4f5ed749e660538f8df0a7f115f4f00638c9789a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Crushing,0qevCKsS8AtatTISSxhqM9,Tennis System,2ChSBG1Njjt2SQ2Lt5dziF,P A I N,5DElo9CODdd0OGdEimAQp6,31,https://p.scdn.co/mp3-preview/767852049e094a0b6cb1f2bf0141670ada3784a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Green,5FR0YMb1HFGI2gHHPiW9qk,Touché Amoré,16QCJENzcdhwka9bTKYMVB,Green,73bUctmqyXB8lXLGy9NslI,42,https://p.scdn.co/mp3-preview/d74fe18c70f008be37d778eaf3504c2a819015fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,a BRAINDEAD civilisatixn,1MH7Ssegn1gYFL77ZhSS24,Scarlxrd,6rYogEVj60BCIsLukpAnwr,a BRAINDEAD civilisatixn,4QlbStztKkmBvgRPkAOilr,0,not available
8,Over It,7m0OBz7Y2xz3cyhB0uXiFx,Bullet For My Valentine,7iWiAD5LLKyiox2grgfmUT,Over It,45BkR6MJzzgNNhZCdG0xjN,4,not available
9,Rapture,3YJFW63JqYWDkHIm0fAhn5,Underoath,3GzWhE2xadJiW8MqRKIVSK,Rapture,1T3CqW6EYKmimsv2aWtzRa,0,not available
10,Can't Sleep,5rrxDuctPS94e6LE56PhvU,Black Peaks,76Se0uC5hM5u1R410UHAFp,Can't Sleep,0UvMBj2DpssA3u4H7iTPAn,20,https://p.scdn.co/mp3-preview/af45b35347c3aac853965bf5fae0b99ebe873ea8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Party Never Dies,5cw6nBuZE0FLiUU50mODvV,Andrew W.K.,4YJR4xviDKHoelt9WKHlBa,You're Not Alone,0JxUvmY64hj0QKgbChqv6z,27,https://p.scdn.co/mp3-preview/436a60182af25deb3ff2f85561998a96961c5570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,In Between,7g2nBOq4kGnlipxdKaSUDq,Can't Swim,62elZbH5Iop8UPcChp7OrU,In Between,2C60UzwemQXiRtJe7XtwP6,0,not available
13,Change,6KBj27Bko8gh71gpx0PzIG,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,Change,2soV9ZWFpAWupuNDQQM4Kr,42,https://p.scdn.co/mp3-preview/93ef2da6ab56f591fb63614c285e595c24c9c241?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,1979 - Remastered 2012,3Y8Ff1nH44jFywAtpgmleZ,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Remastered),4bPT6Q8ppaSNppk1kbEbLl,17,not available
15,Saints of the Sinners,0vI4E9advbgPGvRt7RImvK,The Faim,6VsU92soWFLtVsSP65rkrN,Saints of the Sinners,6UARS7hsHtwdXPeNg9KGYe,48,https://p.scdn.co/mp3-preview/21642c7131ceb3d9d5904f0210f3229952a8b9a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
