Mary Anne Hobbs' Sunrisers (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,11273,bbc_playlister
1,Silurian Blue,0itHMn2PPEL8chLCQAocmq,Floating Points,2AR42Ur9PcchQDtEdwkv4L,Silurian Blue,0aT4QdGpHvEr7VV7rfOovn,0,not available
2,Call the Days,6MhNAxn3OJCXAY6od1PrSu,Nadia Reid,6ZoRg8NnEtVmtUhgCTSCrn,"Listen to Formation, Look for the Signs",13gDBxK4vwWR6QwWnF2A4r,1,not available
3,I Adore You - Radio Edit,5RvNxfW3dfbz5Y6BFrAfmt,Goldie,2SYqJ3uDLLXZNyZdLKBy4M,I Adore You,0sA8bQWfNsjsK4CtVfjE0L,23,https://p.scdn.co/mp3-preview/e5c6e89fe9d3536c20f4367fb4995a7b6510870b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Lead,4fbVsIdbvl8QnzRaF67DhM,Andrea Belfi,2lktSq1VE3OezchJvi3D8X,Lead,5Te5NQGRaANc8mCHT7ezne,0,not available
5,Spindrift,3VyfaSBGhMIa6Np02DIf9h,Colin Stetson,4G6HhUUQ1LgyYnA2WJppf8,Spindrift,7H0QvAEYsZmhlr90kTZjrW,0,not available
6,Peak Magnetic,6tLHghDEq9XEd0KfVlOt7Z,Clark,6kic5bCjlohhDn9KzXbOta,Peak Magnetic,1hyJZgntb16OqNsKMhTgQp,14,https://p.scdn.co/mp3-preview/78e90ae3086486bf70bae472bfba9c0b989f5332?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,(No One Knows Me) Like the Piano,528cn9VuUcjioySL0258gV,Sampha,2WoVwexZuODvclzULjPQtm,(No One Knows Me) Like the Piano,7Eiys0qZxycRQzRCoZD1Ou,13,not available
8,Reflection,7MMXFqR5OagEJbZLzkxTL6,Brian Eno,7MSUfLeTdDEoZiJPDSBXgi,Reflection,4M33Lu2f5yApwDiPjVKXTl,36,https://p.scdn.co/mp3-preview/7947bd672d2b8889cc97a74b108ab71c9d909684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Final Eclipse,7mCL2LKHdraRa3yqXtymkK,The Comet Is Coming,0Z5FMozvx15nUSUA6a9kkU,Final Eclipse,1eCvOzVneCMN9OZP6UYfuM,1,not available
10,Young Death,1J6Yb0dvSppi5PTONxApeZ,Burial,0uCCBpmg6MrPb1KY2msceF,Young Death / Nightmarket,4mHCOIMEOZwGflitIrgvST,25,https://p.scdn.co/mp3-preview/5a7d864ba90c2a9c0cd1c8db256464bef411ce0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Retour au Champs de Mars,4DHGVaXRctzFjTCnWePCcS,A Winged Victory for the Sullen,13CMfEeq8AC6ryGOPODqE1,Iris (Original Motion Picture Soundtrack) [Bonus Track Version],06yPdRKeZd54C9Ii8I1hz0,0,not available
12,Gallons,1oIC220YXToVF1XMfmdDyr,Kojey Radical,1HMhQzj2QXxR40zGDdaK6y,Gallons,4S4jcNqlRJlRmV3JfDqZsb,28,https://p.scdn.co/mp3-preview/2b62796175f23fcbb14dc7971c00c98c6856d255?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Opus Einn - Tom Adams Remix,5CAzEU4QJHoVgizGxBXsIw,IN-IS,2SVWbk28J41NfYovnwLj2K,Opus Einn (Tom Adams Remix),1a2qOO9AWURhFSPHnDnDZb,0,not available
