🎃 BURGER HALLOWEEN 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,13,burgerrecords4life
1,I'm a Mummy,7ATkUdKKc7LkA5ruCjxQNJ,Haunted Tiger,4aNNLqTZz0gpuDETOkxGsc,Kking Kkong,2UZv3aZ53dQa5R6dp9Yykm,1,https://p.scdn.co/mp3-preview/9f39af54a290e400a84f296ad141f57da9414927?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Abracadaver,6YLAyV21ooRNNHvgad5Ay4,BRANES,1DLO8ypn2riMrK9cimHwT7,Perfection Condition,43Ebeb4NqbQbeJSl4thkDN,2,https://p.scdn.co/mp3-preview/94bda02a347383cd449b1d06022de28597c186a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hippy Witch,3Rcd57h66ZXggbH5a4eLtC,Nobunny,3XZI4PSR0DBWeBiJzquXif,Raw Romance,7C9L4aO6cKGxncrnprsBHA,10,https://p.scdn.co/mp3-preview/fa563aaa7fa4934c8b9912c7c09060abbd3cbb72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,I'm a Witch,0poaot2M0YTiHgOS72b2PW,The Exbats,7gDtEXhShKhmqrdh2lpSsD,I Got the Hots for Charlie Watts,3bkjHkmy9ectzHOmqOGE34,8,https://p.scdn.co/mp3-preview/4df99f12da94f5370b6774c45904e10c881aee4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Halloween Mask,3QwJtZFcSDZdeaulkjxNXU,Peach Kelli Pop,5xrA0STCpXYDPnfiyU8A3t,Halloween Mask,3k5S1i4dxaOYWBqYEoNd4c,24,https://p.scdn.co/mp3-preview/de4e5adc565394a874a5a31944a4ca2b06e4971a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,People Die,3lI37Gzpqq9Kq6t0x2G12k,Apache,6pil7q9v19qZD6K2Hc57Il,Alcatraz,5Z1NWuJrt3kuXUETU75ca9,2,https://p.scdn.co/mp3-preview/c3104774faff30d588d284303f4fa20dc33d33f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Twilight Zone,0yrPWGOwmu9F3X4LApH4Hh,Audacity,3JVDhFfcd5xPsFYJ1am9lM,Power Drowning,2Xti3sMoTMfigEppxpdYZz,4,https://p.scdn.co/mp3-preview/cc1e5490ef9656bf26f709cb2cf85046e589d6c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Scary Dennis,46XKB86xsz3aOG8U1CTVbz,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Gap Dream,6smtf4lBUIwy18Web1cqen,5,https://p.scdn.co/mp3-preview/be5bdee2f36f4500f77ea640dead6102fa4fd0f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Freak When I'm Dead,1UaYfdO6Aq77vZrbuaTcRe,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Was Dead,1z3fvPNY0OJE7ENsZ40nla,19,https://p.scdn.co/mp3-preview/7e96d7d20d8e5e3cc88bb06b772e1630fda690ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ouija,3x07zWNSONkTytJzLCsyfI,Summer Twins,2Tfo5n4B74gg8c3n8hjDf1,Limbo,4zxXTRWvPxv6XHNqi93UQD,13,https://p.scdn.co/mp3-preview/20e75835abc374dc3a9caae5ae32df08869edf1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Demons,2rgLwk9LaYzx0kLK1GGvdr,Summer Twins,2Tfo5n4B74gg8c3n8hjDf1,Limbo,4zxXTRWvPxv6XHNqi93UQD,6,https://p.scdn.co/mp3-preview/8d043897c8cc327007ee8c3c299c5cba45bdd2e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Horror Movie,7pnrT1jHe0AZWRZkloLAp9,Death Valley Girls,0EvAIYxDOmvxkCv35jfmS9,Glow In The Dark,78iy8eZFWUJA7b8eA7uWBM,11,https://p.scdn.co/mp3-preview/85e49860e6a0cc69dc3aadd17d5b1ab158de953f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Trick or Treat Dancefloor,74pCzRNhQ7QBAAPBIywOFw,Cherry Glazerr,3pIGm1omCcHIb1juBNHspg,Papa Cremp,10Onj64mf0nrL8hEJumma1,24,https://p.scdn.co/mp3-preview/dd30774a617eca4a269b17103624bd2e308b85a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Holding A Seance,5RJdRSCWqoRAmzS1ZdDWSh,The Tough Shits,1Xg6nD4z4jMY4o9TEyZAoA,The Tough Shits,5PUqSJQhngeDWVZlN0Xm04,3,https://p.scdn.co/mp3-preview/4f5c186101964a292966859566fa016064ed5263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Haunted House,2EtiKwiKZUblhtWluPVfGM,Dead Ghosts,3p0vuGnsU3JN0ZVBLiJwmp,S/T,1GLKyQZamb9AHNUjBTVHOm,31,https://p.scdn.co/mp3-preview/929847c9b2d60afb90082f2457cb3388282aeb8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Black Hell,6BzOevhT14LYvdJz3plekj,The Abigails,6LVJCmVIjAkNaVWahYlOli,Songs of Love & Despair,5Hs3RNMCwjrxOR6upVmnRQ,31,https://p.scdn.co/mp3-preview/0d1526181a593edd1f1c353609a715e591247111?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Haunted,176eS3CfnhrIgLDmMfZrrN,together PANGEA,29q1axQPERERxUzqufXMqB,Living Dummy,3saoeCU4gzjMKCLKczIhn6,22,https://p.scdn.co/mp3-preview/16f2921c5110f465aea6573ce8402423f7f60b86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,I Walk With My Shadow,2DFesErZUmtrPEJ3lmZBg0,The Sound Reasons,0BxvSlzjm6QM5NUWNaNERM,Til The End Of Time,3l8lbEvTmZQmbgwzidIZBJ,2,https://p.scdn.co/mp3-preview/5f50eab49c96151c287886131dfc1e872720c269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Seis Seis Seis,7vmxq8K2KhLnQvyaD7MLoc,White Night,5Ca01X8PiallVuDYD70Xdg,Weird Night,5svkWw3e0ygn5kw1AQSQQa,2,https://p.scdn.co/mp3-preview/487edc97be9bf169621fd3ebc3c3f66383fa0453?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Be May She Ghost,7BwzvNxDKQfrPJhdLXFbpP,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,Stropharia,0RIRfwhNum40PCL3AYPbgz,6,https://p.scdn.co/mp3-preview/e99f24b1bc98eec21c5ccd63f81019c501ff0509?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Reptilian,5ynLOo1BHMh2QoXZViXg1x,Hammered Satin,5AmFGUxMH6CvMQcLhxtx3z,Reptilian,6vN8vFWLEIxZ1fyHs2SLgu,1,https://p.scdn.co/mp3-preview/1bf592a083e3910a14154dbd390f643eaef69f0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Grave,32KHhcWIv8Vpv4mHfZWsDJ,Tracy Bryant,0nL6RHsmidBNjoWyebETcq,A Place for Nothing and Everything in Its Place,4U2j1JYhcl3hDp83j8MiGV,14,https://p.scdn.co/mp3-preview/ab890fb008f5b0a3a05ddd5f9913a7ab902796e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Watch Out,343NBpX8S2KVErY7pHwplI,The Sufis,252Qg4E3R9CHhd7qeeiMpD,After Hours,7r3Hd8F4aLBYh5AsQ4NAwJ,0,https://p.scdn.co/mp3-preview/e66c1427227a13429476e71905b999a82b136f0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Creature,2ycxyBdBJDl1hXApnSZJs7,Western Plaza,7ChWZWqrhEDNUWumpspMCh,Western Plaza,1uTPB0DGEbmseoZ8NcKAXT,1,https://p.scdn.co/mp3-preview/cc150f702bdb32c41682c4f28b731cba21f81bd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Mask's On,6HLGOZFordK8kXUbbJott9,Nobunny,3XZI4PSR0DBWeBiJzquXif,Raw Romance,7C9L4aO6cKGxncrnprsBHA,11,https://p.scdn.co/mp3-preview/9d977ea4731bc16748849d4e547bbc2f7bb5e390?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,The Man Who Dealt With the Devil,0EjheEfCggm8klXVFPvlmC,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Mysterious Temple,3rldriuYZtCky2qohUhpDH,7,https://p.scdn.co/mp3-preview/4a06a4906f3118e99d40a0591447e53e372bca1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Lizard,2u6L9LgnVJ0qKvx14MmeuN,Mom and the Mailman,6qmpXzNAd1VMIUHqdL5ZBI,Mom and the Mailman,5JKN2KR6kJL6EvUlle3Svj,6,https://p.scdn.co/mp3-preview/9c0509c53a4f1684f0549eb5f0ce52cb4b318ba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Dead Lovers,0ZAj5MQMdgMHrOz8hRwz4H,The Lindas,0NPZLzR7qnumn7nnpBYH63,8 By 9,66Zg3RFLtyetsNuCEpCyRu,5,https://p.scdn.co/mp3-preview/6bf2326c71806054a15d8c257dd1ed73ad0325dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Creature of the Night,5VHziDa0DcLw6kjdUzyV33,Green Sahara,5PEOA46RT2MrhZgc5BKFvu,Creature of the Night,5RVdV50pDfQj8MQbreWHTc,7,https://p.scdn.co/mp3-preview/ccafd84531dc42e551ed3ae95e059db191bbe7fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Sunset Strip R.I.P.,4VftwdSazDebZ7lkDskZoF,The Flytraps,6hw0H4lP8dEnLfceaWX7Fo,Sunset Strip R.I.P.,3QjOtyb1n0bJjPOPwQ4BCz,4,https://p.scdn.co/mp3-preview/1c0ab7cad7fbb1afa4bc5098c7cac122ea84d2a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Devil's Level,380KLAxFiUFu7zXjCV5qiC,Dwarves,4D9H6CaKzDTaN1EbAHypYg,Take Back the Night,53emOUdbhLf6xcREGaVJdf,22,https://p.scdn.co/mp3-preview/a467262725f145815f66025dc7b8b8fe11298e66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Haunted,2Ar7W2xxFJaf0bfuB7uXDN,The Sloths,11Sq2qEpX8wmWnrmt84KUa,Back from the Grave,3zGmiQnUJqyD9nBEUqnh22,3,https://p.scdn.co/mp3-preview/958a3f23d6235bd7ce719b74e7f9866a505f4ff0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Love Makes Me a Monster - Suburban Nightmare EP,4Q89dHSjfH1uUy02swxXV1,Dwarves,4D9H6CaKzDTaN1EbAHypYg,Lick It 1983-1986,3qxes77UA8YswrjpW7q8Nf,2,https://p.scdn.co/mp3-preview/b3e96531f8a400d680e0592a8bf5731bbd23b836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Faces of Death,4i9GllcY1ae0f9E1ADicu0,Natural Child,7epIIT85VR8OEggqKO3RSt,For the Love of the Game,20LrN3d5ULTSazLWZAk1Pr,21,https://p.scdn.co/mp3-preview/059c63fb593bf8b8d65d943fd682111c3183107c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Human,4zCkZ87D2CMfIfu2UBbzVZ,Distractor,5jZvBSJGDWr6qfcSHDC3ZJ,This Time I Got It Figured Out,0s7mcAWE7DABCNPF6NGooB,6,https://p.scdn.co/mp3-preview/74b69bf2d5168e1ad9ffc7a8e3e972eb744be007?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Demon,4XM0bjQlbc6mR87l0ZeLwi,Teenage Burritos,1F17fY26ppVoHBFLSn7FGW,Something to Cry About,38a2unek51GN0Y4v3RzveL,3,https://p.scdn.co/mp3-preview/4680159a05086732c3875635ddf7c50144f97a5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Happy Halloween,2qJiEJpHF8NUjSI6zPoXAX,Free Weed,6Faoj5h2jMC1mqhGlqmyWb,Down Town,2CNmnCukvkTCBx1YjpOvw8,6,https://p.scdn.co/mp3-preview/660476e4eae75e02685ffc5c5b787c10813d6974?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Linda Blair,59afTrQNuhowN5Zz2dEfBN,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,Born Innocent,6MkXkjCX2kPjqFQvO4CfJC,31,https://p.scdn.co/mp3-preview/8138a1362713e909439224b4a5756cf2ecd3cfe9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,A Spell So Evil,6eKAEPxcYQGLIs0uYhSClY,Glitter Wizard,3Cfk2tZnlxqNH8JLBM3iHX,Opera Villains,3veENdBpCbAgPcXilsay6D,9,https://p.scdn.co/mp3-preview/67ce4e72d16741da45ca2685cb06a04fcffe28d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Gremlins Crawl,1TqN3JoFSwhFdObSo9XZlK,Shannon and The Clams,6A5Ns1SpGWTt8SzXPwiqVE,Gremlins Crawl / White Rabbit - Single,6GdBRVOiZ6JBVcXYZdlOfb,19,https://p.scdn.co/mp3-preview/4b58725a9f4dc870c25a6f1e97857b9efbaac243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Dracula Drug,7xKgmmftAaFs2xxoKVHZKl,Frankie and the Witch Fingers,5UdQDFQ3wgUPuL5kiL7KqU,ZAM,5mF6x8IIiW30Ypwi8ybe8m,33,https://p.scdn.co/mp3-preview/f2b2b5888b62ba4c0eef31bc5326492e9bf5e2a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
