🇨🇦 CANADIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Come Around,7uuN6mHRLayBz2E9Sdpb71,Eating Out,2xBaSGT0iXUrtPCa3nPlTK,Eating Out,4q6b8RYBB0pcfQVFxrcIn8,1,not available
2,Under Power,2IzANkAzVDvynuDiuerzpq,Yacht Club,6cpHE7YSuXObn65nUedt5V,Tropicana,746iut7zRwmxEvSem37Bqq,1,https://p.scdn.co/mp3-preview/bc538907e0648c0209cdd7a85fa41c9cda9397ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Another Love,5zOqnaVitLpG50PTWuJ5fC,Dead Ghosts,3p0vuGnsU3JN0ZVBLiJwmp,Love and Death and All The Rest,5YjNWUwFGY6JsMuQmCIcfF,20,https://p.scdn.co/mp3-preview/b237bef7daf2f975ef73fd46de9b269e0fee1afa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Suckcess,52B9ZlRfSe6g3YT8wyov10,Michael Rault,1bcztlEOrJIIfLbUIKQY6O,Living Daylight,31uQYoMhZZHgx2DsszaASs,12,https://p.scdn.co/mp3-preview/abb287d0e0fb646b7b52024ed63122e20dad76fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Talk 2 Her,29M6SFG3QiMDrOqPBN072R,Sam Coffey and The Iron Lungs,5OY3HpZynk9WcesIeMDeqa,Sam Coffey and the Iron Lungs,7CTevdeSE6RsA4QXQiuo16,23,https://p.scdn.co/mp3-preview/52c815972e787c701dffe9f13c0484cbbe60ee23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Backwards Jewelry,0OhCipOD423cQaiy5XpjSI,Tony Price,13FwYBJi5QZBzMviOfy7wg,I Prefer Coca Cola,401uXrbclpBevYJo0eOy11,0,not available
7,Rock 'n' Roll Outlaw,0lvtz55eXPZnQzzQPKWuXh,Blind Matty,6qFWFRGDWWfZ3wPEuJ4ulQ,Gringo!,5HkrrAu9Abn5dCDLqsX07o,1,not available
8,Welcome to the Goodtimes,2pmm4IdWV5BA4wBEQ0jdTt,Tequila Jay,6ZnTfnz3kwTifT2wRLArAM,Goodtimes EP,0n7f3j4g59KFyO9w7Z08vy,0,not available
9,Summer With Phil,5Sz3JblWx6rBf6VTrC4Qr9,Dead Ghosts,3p0vuGnsU3JN0ZVBLiJwmp,Can't Get No,0taZSlsinNfnw9FpNMZBS0,22,not available
10,Heaven's Gate,4sSnPRnTCrmRkFUPyh3WaM,Dream Cars,7Kir2BRlBB3IaAVX1X6AQG,Never Let Her Go,2JgUyGpUxvMCFqYV5i6mty,2,https://p.scdn.co/mp3-preview/4ddd2ead070a20b004771e2c4e54bf573bcb284e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Clang Clang Clang,0XM0Z705NYaHoJhMUaJU7Y,Tequila Jay & Los Diablos,72cg76unvUJ1HdOtaUDfy7,Clang Clang Clang EP,7simm6LWISQKdPN7nDgI3m,1,https://p.scdn.co/mp3-preview/5ec4d5bab7257355a43867f60b97b3ed03743ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lorry Can't Love,0OIkj7rOIPrVW3vbiSPKYz,Goodbye Honolulu,32YbiP7aG6phXVds7z13nf,Lorry Can't Love,19O94dOrvLDYgcbFjpjBpK,3,https://p.scdn.co/mp3-preview/39d1af24ac491b2f25b99f41a6a4a2923a3de28c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Girl Across The Street,78EGfNTV6mmj3aInzu1Jar,Dead Ghosts,3p0vuGnsU3JN0ZVBLiJwmp,S/T,1GLKyQZamb9AHNUjBTVHOm,17,https://p.scdn.co/mp3-preview/21eb810e8a724d2c4b0689f69a791bb761b7db2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Manipulator,4CuflgeSQhlTQWoJr2oza5,Elephant Stone,47bokO26f4LIt4zaAlCQwo,Ship of Fools,0ZNjWY53iMHDv1hBK1lRpx,12,https://p.scdn.co/mp3-preview/20010efe30520094d41af5f7897d29ff3e28cfda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Diamond Drop,1jeUEHX7VhrLNT66LGfIrS,The Haiduks,0lGvJzQMEnqYiRtKU9mrtJ,1968,49zRf8s8Quss2X5jtuYhgb,0,https://p.scdn.co/mp3-preview/839ad7990adbd299e54d7988220ecc001a105266?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Too Much Love,0NAHFAzC3EQO9SZg19IZYJ,Death From Above 1979,18H0sAptzdwid08XGg1Lcj,Heads Up,5G41GaQBdh2MxHUNz9iOHT,25,https://p.scdn.co/mp3-preview/33025a3dede682ac5cb4e2d304bf9642dc1f84af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Coffin Nails,7xXQgvyi23f4O6kNEARiz6,Mark Sultan,1GQkBtj9Z4YrXVu6WKy28X,Let Me Out,0RehxrdbPDQfst0sDxkg9l,11,https://p.scdn.co/mp3-preview/59fa25ec48c759ead41a0c779c72240e398b8085?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,New Day Tonight,7zPrQdBHcbtL05UKXl6Eku,Michael Rault,1bcztlEOrJIIfLbUIKQY6O,It's a New Day Tonight,5HlW6IZl2RXhF3rczWOKVH,33,https://p.scdn.co/mp3-preview/b7a9b6190c9f118a0ec27f409c1e57ce46648856?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Black Habit,5yqoXxgDIQ9fPOcSAQUjUq,MIEN,0fl9voNu6x7TSuYnLb1amp,MIEN,2qbncK3698GGkPZ1saBTI3,17,https://p.scdn.co/mp3-preview/bdc0d9707696cb69846f1818ee01f7047dcb86c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,90210,14hMPAYT3yRC73RREe88UL,The Courtneys,14jWPTviD30k11Jccwmq8E,The Courtneys,0jRtPF0W0UvI8n96S8e7Ru,32,https://p.scdn.co/mp3-preview/a71867658b7d028774a752adb041896d36ae0d7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Narcisse,2TcSYu1XX74YwSL3UGLyPO,Duchess Says,2mEmkjlxWjRINgehiF0eEk,In a Fung Day T!,0zTfW5rM8BESJiXhlJHSFl,12,https://p.scdn.co/mp3-preview/5b51179a58bbdfdbc9c2152c0b715e158af629e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sous la lune,2gv5ytRfai41po0nGy718a,Les Marinellis,1JiqUCFp8vc8i1R1QmERI4,Île de rêve,23ECf1Iw5Dzju9KNkIyFJQ,7,https://p.scdn.co/mp3-preview/72f5c5fc21aa812db64b5506980c356a8612f1a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,What’s Your Sadness,6tI05Pvt5lGDYqtC09NWOQ,Yacht Club,6cpHE7YSuXObn65nUedt5V,Burnt Cream,0vzLRRqgW73ZszvCBAaPKW,7,https://p.scdn.co/mp3-preview/39458f3f98ef4d36984a91f6da68a31dbf1715f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Wind,4kJyuaK2DqYzbgBcAef1kL,Mark Sultan,1GQkBtj9Z4YrXVu6WKy28X,Daddy Rockin' Strong: A Tribute to Nolan Strong and the Diablos,75M5okUKEcVDQJTOFu3VzS,2,https://p.scdn.co/mp3-preview/b61b6078c020d37c5d3e4d9747d000a02bf440b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Try Me One More Time,18WFlvIYf8xKOsGFWvlRhS,Demon's Claws,21GjQkmwhGTkn5VpvmCn7A,Daddy Rockin' Strong: A Tribute to Nolan Strong and the Diablos,75M5okUKEcVDQJTOFu3VzS,1,https://p.scdn.co/mp3-preview/02fdeae5f6aae6582fb3c385be61bc49bfa8a166?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Swim,7DvlJMwZfKrRpyRGOkbfzr,Nü Sensae,2l9s8mHVC3INqbbTZ0M4DR,Sundowning,4kM0IuhyVgHETfe4EsijLG,12,https://p.scdn.co/mp3-preview/b80c923f9cc32dee760bf469ac17b5b40ca3138b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,I Don't Wanna Go To The Party,228qeSOJBye78aGFGSQWx8,Marvelous Darlings,5Cv8SiEXon0W4wxqYJuFsS,Single Life,3xNmusAXh0ckVTqa85OBFh,13,https://p.scdn.co/mp3-preview/5fea582c9532aa390fc2aaa2974b11829081ba84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Throw,4duZ22oPYjuZuI0sHrGFs8,Nü Sensae,2l9s8mHVC3INqbbTZ0M4DR,Suicide Squeeze Records Presents Forever Singles,6RRjOYYVuIvzi82Rq2o6qW,4,https://p.scdn.co/mp3-preview/fa073c6851a812e9d099a2b33d4b3f3ae37588bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
