🇹🇷 TURKISH BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Tatlı Dile Güler Yüze,4ZXNMQ1V2Rogc4uYN4bnHi,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,45,https://p.scdn.co/mp3-preview/1dea05fc7cb76622011096a761f3020c58ce6673?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Kırşehirin Gülleri,5IwCB4SY1XXL37QC0xYxwp,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,38,https://p.scdn.co/mp3-preview/0e902143049cb78e6e836b37aebd6ddce791c5f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Goca Dünya,5QO3UJc1gF1ummP75n2b3R,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,52,https://p.scdn.co/mp3-preview/f7ef4521b03d5052f4783e7a07cb91e0c151096d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Halkalı Şeker,2l0ajjljUkDOyhfRgn3Jqh,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,41,https://p.scdn.co/mp3-preview/aea36019bc87ba6f6863f418e070419eb776cd37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Caney,1F1xjUJ2eGzm3bxC9beHVb,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,37,https://p.scdn.co/mp3-preview/5af69048ddc300f38603f4954eb6c0d26e90ee81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Şad Olup Gülmedim,3RqOpi2YEGwRM6xIsOqThH,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,36,https://p.scdn.co/mp3-preview/6c1bf66c53914b911cc43175f626f75b691df616?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Cemalım,4NYQ1giz24QOgb2MYajhBi,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,43,https://p.scdn.co/mp3-preview/abc14f3b3862bf7bda26f8299fbc8b6dd9004b74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Çiçekler Ekiliyor,2XlFhBjEmyd7lV3b7Ij310,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,36,https://p.scdn.co/mp3-preview/b07f2b5d84b65dc49c4e132cdc262feefd71965f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Kaymakamın Kızları,2QXvWtBSmZnwINDpAD0Ye2,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,39,https://p.scdn.co/mp3-preview/fdf7b1dfc3c3155f5a506db73df6a72738082c27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Şeker Oğlan,3B3E8odencxm7FnRKgZHaD,Altin Gün,37PL04N8kBWWW69jdrMMWT,On,6AmmrlB9qABCgBdr8SCLZt,38,https://p.scdn.co/mp3-preview/c11d08da8804523260a05254328e4d7cc9dfe486?cid=fa83a2fec7c440b7a2795d600d6b2c7e
