🇮🇹 ITALIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,You've Got the Power,2uLWWG5mWJMDWW6wegORti,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,4,not available
2,There's a Ghost,7e79C7OQBBlAtRLaK7a7ND,Miss Chain & the Broken Heels,1BrYRk30V2dJbQdFR4WSPi,The Dawn,0Xx6yZb6ZpktrzG0jufdR6,1,https://p.scdn.co/mp3-preview/3af92b18091147df5b587fa97967f377b909e997?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Overdrive,0srCErNWwJSUbPJsXRHnFQ,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,6,not available
4,Space Walk,7yp78K5BjbW5dRQkWAGdGd,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,7,not available
5,Interplanetary Craft,12ZBb2qax4YuNCoGg400yW,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,4,not available
6,No Place to Hide,3Z5Oz98ea9pvFUdMItkR5b,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,3,not available
7,Space Go,4kPBnNuqUzfUNIEiNenLDS,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,3,not available
8,Cosmic Love,1qcqD2YHfHCoge7yZludcI,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,3,not available
9,I've Had Enough,5BTcXNA7ysE3qyF4GbjeKT,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,3,not available
10,Ravers Rock,0HkhUxFtqy0d9nwO8mWK58,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,2,not available
11,Junk,1feJfPIfWoywwUgPqlAyQL,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,2,not available
12,Beginning of the End,2zJlgLxACxvyIVFXQLAI6V,Miss Chain & the Broken Heels,1BrYRk30V2dJbQdFR4WSPi,On a Bittersweet Ride,5kiSNjNiDdNNwlIggHIj7Y,0,https://p.scdn.co/mp3-preview/8c170246978a3c87b1d3ac8eb7a8d77bd2b7b784?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Roller Coaster,3T9ovRL8qwR4NXwCoPBLXn,Miss Chain & the Broken Heels,1BrYRk30V2dJbQdFR4WSPi,On a Bittersweet Ride,5kiSNjNiDdNNwlIggHIj7Y,1,https://p.scdn.co/mp3-preview/9b4caf1f519b8a5e41c6b3569f8ae292ccd63a01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
