🇯🇵 JAPANESE BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Sayonara Complex,6nwqi9hrcwguMZxyUq1a9s,CHAI,0NZsNnETGPWLKJj2Y0vpBx,Pink,4s7PEiMCh7QLJkFy1BNR77,20,https://p.scdn.co/mp3-preview/d71708da42c4ecd9b1e9c3360afef618a6460cea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Fashionista,3duOc7QkdWBNAFX2fNige4,CHAI,0NZsNnETGPWLKJj2Y0vpBx,PUNK,7tcbI0Qp64LaGwHYgwkbBO,33,https://p.scdn.co/mp3-preview/e61b6f5c82aa3a687decf23b49f77ee473063546?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,DNA,0xKTwM10AT9nfiaB7OSvP2,Gezan,0bMxJbKiRQm2oaozKgoZo6,Silence Will Speak,37Le5yjpIFMQqQoocb8SxQ,32,https://p.scdn.co/mp3-preview/1fb0f87233dcadb66bb047c854da5339028603b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Somehow Hear,3jQZ5qosM77r7LqhbIaHyJ,Cattle,4j7NRiyWHfVHZllOl46Ry8,Somehow Hear Songs,2YTiZ51AhxpxtCq0GanGzC,14,https://p.scdn.co/mp3-preview/5c64da76655b1b1d83ab2aab0949e3a19b1f7450?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,SALV.,4YCJiXrDyXY3Zfq5XCaU7Q,TENDOUJI,7kOS7xo3ryc1MmhfP0fNnX,FABBY CLUB,50BPGTYssJGfgaZjU54W6k,7,https://p.scdn.co/mp3-preview/fa4c0690f5968c5bfc4ed4ff00f7658cbd563886?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Listerine,5JEPqoNnLufFF7QDgEckuQ,TAWINGS,1zhzZa8D4KAhh276rcE3Tb,Listerine / Dad Cry,25KnIKiqaDmJDe15s0bMUa,3,https://p.scdn.co/mp3-preview/759157d47e1ded65846f8e0ff05dc77f38f7a6c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Every day,4fYukUkV9wgHJAjHLrIBld,THE PATS PATS,6DuAAGRmr3InurS8Fi8zQB,THE PATS PATS,3lv3vLimF71vLea0eCoIIm,1,https://p.scdn.co/mp3-preview/0b71b3d3ed312efa731c1664eeba9b550c7f6872?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Oh Tonight,2xT22W5PEH9wrOIzeVLAW0,Gorilla*,4jITAxmCG943J2j6nDVCGF,It's All Pop! - EP,79yfkNpzUhhyiBQMpkBb8p,1,https://p.scdn.co/mp3-preview/1457713b4783aecd1d798fcb3b0fd8f9618b6e8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,That Girl,1t3HpbsUcbeGBNsjKDpMtz,The Fadeaways,6lTFhrQDfW0rfdId4IJX9l,Teenage Hitsville!!,4dSKctqd8IbCjKUciGpFD6,7,https://p.scdn.co/mp3-preview/d7c8f91be90a4e989d873799656801355c095dd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,See The Brightest Star,1tkGONZk6gJYjuZjQhtD19,Clams,5ziygVAOhx4kwkjTYkDjhX,Sakura River,2vmqp1tCoWCoZ2XfFATjbl,15,https://p.scdn.co/mp3-preview/e1184831a2d4fe0c3afd5a4f8a5b5869e25f027d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Short Lived Girl,4K6ziJ485FOtGr07kE4y7c,Luby Sparks,7qEdobpYOByvjiT4ux4vEq,Luby Sparks,7ATaPcjMKpGcmbuGs2ZdOW,16,https://p.scdn.co/mp3-preview/445d163d78c78a4ee08860f941c72524b745fd21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
