APRIL 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1,burgerrecords4life
1,Overdrive,0srCErNWwJSUbPJsXRHnFQ,Giuda,1h4qv3Mp1E5p9ocwThvRgF,E.V.A.,5t5TlUxYKwLwKvf8OmL1x1,5,not available
2,Seven Sisters,2CKqRMPHzYMaXpoo2YG3Fo,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,Star 69,6KHmASY1rbws4LJgGnE97r,16,https://p.scdn.co/mp3-preview/495147638e59a797ee962b12c097d4edc59cdc5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Vinyl Fantasy,1fhlyxJZVoolsjyZaveBt6,Green Sahara,5PEOA46RT2MrhZgc5BKFvu,Vinyl Fantasy,6ZPRnQXaq3gcBXfAOjdTfP,4,https://p.scdn.co/mp3-preview/e805b510fad5157e84e89a230f83292911b91546?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,See the Future,58LztFazEbVDz1daHv4hVA,Tequila Jay & Los Diablos,72cg76unvUJ1HdOtaUDfy7,Clang Clang Clang EP,7simm6LWISQKdPN7nDgI3m,0,https://p.scdn.co/mp3-preview/fc26bf48d1434d61373607e0b41298207c6de60f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dynamite,5bpBuzi4n59vWUWljutz20,Hammered Satin,5AmFGUxMH6CvMQcLhxtx3z,Velvet Vortex,0fjD2AYND4wPVV6sDuRYOR,14,https://p.scdn.co/mp3-preview/88a75c99dcf0773a35a984b74edfcf3c63d4b04f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,She's the Rat,0nHLfKXYznC53Y3tBdRqh8,The Briefs,52FjGy6x2rxunrgiRdOnUt,Platinum Rats,5danmutGJJqVn3TTHmA5Jo,15,https://p.scdn.co/mp3-preview/1fa871b0f3af6a60b16c015e8599ead9630fafc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Blowout,12ob4VwFwjoRZl6B4LWHL3,WURVE,330w35VDGgrAm6Mz6bdXKI,Memory Bleach,5pEF024w4xtBcPrxDD7gXv,14,https://p.scdn.co/mp3-preview/75d6e63083b26c6641294b7872ca903e2dc41ff8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Boy,1WypLBcOgtNO0meaWKBkVQ,Shannon and The Clams,6A5Ns1SpGWTt8SzXPwiqVE,Onion,33q5Lnqw87FHgKa2F6YB5W,50,https://p.scdn.co/mp3-preview/fb8fbaf73f04d682debfd67d01154ee6ed7bcf0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Broke My Own,6fuupgBJ6V8t8zRFLJgIV2,Shannon Shaw,4bKniuCGFic42eaNWK34Jq,Shannon In Nashville,4M9uQm7mOVQkwYa2iRP7Tt,36,https://p.scdn.co/mp3-preview/e9f4224820a4f073e2077920c3c993fc5b5024c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
