🇩🇪 GERMAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1,burgerrecords4life
1,Preacher,3pqafhmOQkeRtqmNlsgeLk,Sir Robin & The Longbowmen,2P4dAt6pEnJyXUvZWdmhmm,Prozacco,2kGtCOMB8N8IKa03slMp0V,2,https://p.scdn.co/mp3-preview/28dbf4a1c6b4f5338f529627994829d69b1e16d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pickle Brine Chicken,4fpIyRbItIIZzfnlo5qV46,CATCH AS CATCH CAN,71rZRYoYt2kiRILzagy5ue,Regular Vanilla,42nYW3JyrdkEu8uqWdpD3b,7,https://p.scdn.co/mp3-preview/5d160e0958fa9ae9a7955768728bb0f33ddc0aec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Aggressive,3PXUOOTBQ8SVfDYhVcDOoP,Balagan,00dfjORurV9k9eBOhQx1q9,A Mess,6z3O0doRJQX55ULNeWM94o,6,https://p.scdn.co/mp3-preview/95e9a077b8b002eea68ea833f368d05b54290b63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Moby Dick,2ByGPPQjlvJyJekV4ChV3g,Gurr,2PPV41ImgLveSlyMzZLDje,In My Head,6P0TQvlDqkrrTdz3oYwSRV,33,not available
5,Drunk Bike Crash,5loyJ2MErTJKFXOkTs8s8g,My Friend Peter,65uN7qQHzReQDbNNehNCUZ,In Between,7yjyOX4a1KeiLUTCLJRjrg,3,https://p.scdn.co/mp3-preview/a8ae57dd95d285499affbd09336f07a264e72910?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,In Between,4VCdXhzB7MUx4FBypSR0S0,My Friend Peter,65uN7qQHzReQDbNNehNCUZ,In Between,7yjyOX4a1KeiLUTCLJRjrg,6,https://p.scdn.co/mp3-preview/beb97fb3e3cc3d61fff1e2a5fa30b4549b8651fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Be Clever,25RYztQnhC4CDMsAGD1l1x,My Friend Peter,65uN7qQHzReQDbNNehNCUZ,In Between,7yjyOX4a1KeiLUTCLJRjrg,2,https://p.scdn.co/mp3-preview/74315feeae70fd5f717b04dd22962eb38371793f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,When I Was,55X7VDRArX7Yj18pjxBxbP,My Friend Peter,65uN7qQHzReQDbNNehNCUZ,In Between,7yjyOX4a1KeiLUTCLJRjrg,3,https://p.scdn.co/mp3-preview/0151303ca450353d27d9cc4c5b962905e73eafd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Kraut in the Kitchen,1KDGVPUdFlekQG1UxeHvG9,My Friend Peter,65uN7qQHzReQDbNNehNCUZ,In Between,7yjyOX4a1KeiLUTCLJRjrg,6,https://p.scdn.co/mp3-preview/2bfa8f9e3a3d46b4ce801d1e3ffb77e92d919586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
