🇦🇺 AUSTRALIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1,burgerrecords4life
1,Teenage Dreams,3AEYbklH0VYkFkpAbiBhnV,Big White,1WKONQctUSfWkVewgEU4hF,Teenage Dreams,2gxKWRkPO7LZpouTuIt34o,0,https://p.scdn.co/mp3-preview/67aef33d1055b7c7a0abd85c69a5935e6fe6b052?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Head Shave,5YZp6FQh5ROlicUmUOQ1ol,Wax Witches,7nS8YQBOr6A6k4wijbmrLv,Center of Your Universe,3xsSlwovUBbeQ1YwsiRZFK,0,not available
3,Jüice,44UcNTWsOyxCnshZqMNTjy,Jacky & The Wünderz,7GjkamPb5ZIXmQfIegARSC,Let'z Dü Jüice,6irRjbeHavtUlxXOrBDRXS,0,not available
4,Live Bait,7K3BFyNfymIcgvZBew1fw5,Skydeck,7M4j2vFZLHf2VoaMQZ12xb,Eureka Moment,7Jn78j04x2YxudJA3iXEzH,0,not available
5,Nambored,6oJlAISfn2A4rr3mxeM4q9,The Chats,1aQ7P3HtKOQFW16ebjiks1,Get This In Ya,020yNOtRi3KHx08nhISaKy,42,https://p.scdn.co/mp3-preview/53465124ed010c498a14eb29a7cf61e19237e39d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Better in the Shed,3Fo0tPFfWUXkaDSXSDTzVd,Cosmic Psychos,3orc30EUucavid98kNtMEf,Loudmouth Soup,7Dg1IOMIU3DA8cMwAYcAH0,10,https://p.scdn.co/mp3-preview/b3243b2a3d4e9ba2e7c9d6f7c7b95409677ced3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Pub Feed,18LwPvdmTNJfo3B0ZIH2Zp,The Chats,1aQ7P3HtKOQFW16ebjiks1,Pub Feed,7DOje1n8YOwMhlPuWCi58j,54,https://p.scdn.co/mp3-preview/21876dddc1d6e128e2b6abff287e202deb8e83d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Identity Theft,5RY5riFwjYIwE7V95ezj9Y,The Chats,1aQ7P3HtKOQFW16ebjiks1,Identity Theft,4muWn2OLlUPS0HF6taYiXb,52,https://p.scdn.co/mp3-preview/720b52530f105c42c5e9cd4de3cc87855b0994e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Mum Stole My Darts,2SU14LjLq0NFA4AxPjJhRH,The Chats,1aQ7P3HtKOQFW16ebjiks1,The Chats,1mQVnO3yMKSBXoV9wVxfem,49,https://p.scdn.co/mp3-preview/5df1a9118e5f2c94aa2e9e0cefc3066c8cd1a12f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Spelt Out,3rKklt7PZfB0sQ7QQHVDPI,Pinch Points,1BwC0e8RJL6cALzszuqcze,Moving Parts,5Vl2HC6uEFmoFpi8sG97S2,19,https://p.scdn.co/mp3-preview/fb69ea9be0a2693e17ddd46257aef464ec8fab05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Adderall,1TKwTTWDauzZu8Nlua6b0T,Drunk Mums,1vd7OHxzKOJeFKjN1M7VTb,Adderall / Headshrinker,55E2vP7D2wslkgrsZKQgnT,24,https://p.scdn.co/mp3-preview/c6ea9ab3dba0a90a6a185146a7a955a01055fe02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
