🇧🇪 BELGIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Summer 1992,6py0MOm7r5zScVCfMCx3Fw,O.S.H. Ode To Space Hassle,1z5FWiKCXrVYFqDfedNyEo,Love Won't Find a Way,4f6kbgKw9H15pM15lrNPzt,1,https://p.scdn.co/mp3-preview/c8bdd611e5ceab8bd16d69a29bd41809db91a449?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Blinds,0t1LZQzgu6hkoMOBVh1wn2,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Rapids,6eupnuFTZ8Pvhhdjk13pOg,7,https://p.scdn.co/mp3-preview/f480c83ee79c9b35b6270001e0ddf3d56d7ab71b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Every Day I'm Wastin',0QCR4oMAHTRvNVByhPhuge,The Tubs,5ym5uvf3lr3vO3B7beAMbI,Rag,5XqohZvnyLwktIDnjn7JBH,1,https://p.scdn.co/mp3-preview/ded31248fb4948a02ae95c232b34beda9a3ec25f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Baby That's Alright,2p8tRzukM70xaIpJTO8bL3,The Kids,0fGSONsJm6ORmbpaGDJsEn,The Kids,6X52eydgNkMGNTdZIFO53o,12,https://p.scdn.co/mp3-preview/7bb4f7fdfaa9e91102eb5c6b2a70fbdf4f6cbecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,This Is Rock 'N Roll,63CunIoz0Xmtl2LR9E6ykv,The Kids,0fGSONsJm6ORmbpaGDJsEn,The Kids,6X52eydgNkMGNTdZIFO53o,21,https://p.scdn.co/mp3-preview/8f27de1c6b353c85b691ee5e20dc639797a65844?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Do You Love the Nazis,0lMix0kfD5iXxkT7QKLvrj,The Kids,0fGSONsJm6ORmbpaGDJsEn,The Kids,6X52eydgNkMGNTdZIFO53o,16,https://p.scdn.co/mp3-preview/52cec4fda09807b86a29a103c071ce4385a52530?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Bloody Belgium,73D7ROrS3J6eslu6bKcnTm,The Kids,0fGSONsJm6ORmbpaGDJsEn,The Kids,6X52eydgNkMGNTdZIFO53o,12,https://p.scdn.co/mp3-preview/0f285ebe5e6d5c2d316fbc23d26b444ba743cfb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,For the Fret,7qBpByv0McQuE6cY4AHFk0,The Kids,0fGSONsJm6ORmbpaGDJsEn,The Kids,6X52eydgNkMGNTdZIFO53o,10,https://p.scdn.co/mp3-preview/9c5e95bd0ae2542cfe58a9adc4314c08481e6917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Fascist Cops,3iB8GoGbEDQZPkn8ZL8Tg1,The Kids,0fGSONsJm6ORmbpaGDJsEn,The Kids,6X52eydgNkMGNTdZIFO53o,20,https://p.scdn.co/mp3-preview/8b9a4a978f5a5fb342192f1882e6bed882293df5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,I Wanna Get a Job in the City,2YHYBF3De9i9WlmsqJLO27,The Kids,0fGSONsJm6ORmbpaGDJsEn,The Kids,6X52eydgNkMGNTdZIFO53o,16,https://p.scdn.co/mp3-preview/6d45c75e37da0a8447f236cdbeb814f5439267f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
