JUNE 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Paralyzed Waltz,3rn5sxcFLg6nBcKlElHswt,Sarah Bethe Nelson,0nsKEeVs2u2SD9ZSbRUeLX,Weird Glow,2PdSAphDt4h1knYLImDwzp,6,https://p.scdn.co/mp3-preview/a1fa0c98dafbb432b7ceeef6dd1706603f27fa01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,To Think I Was Someone Else,4kBmas7n1yyBqUd7xr1Xmj,Shrouded Strangers,58cjoOHDt29DjVB7MTZYC9,Night Prancing,6BysQDUyei5YIzUoXEmWwQ,2,https://p.scdn.co/mp3-preview/75699e8343330ba892e43f0ba4380e95aec10479?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Tax Day,6qsf4TE6WYqbUCwrg07icC,Not From England,4PpTdDT3iegkSgyK7ejPPH,Kick Me Down to Dead Horse,2HQuRKAhRRns7QvYNxxVGS,16,https://p.scdn.co/mp3-preview/ba61f586c8e99fecb0415626854ab4574d1781bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Friendly Skies,76OAhHqfLi61wxyvjyFohN,Weird Night,2MzyerNn4A7Z7iYUCGBDi8,This Is Weird Night,2G37dE2G17400fLAmzMCwP,2,https://p.scdn.co/mp3-preview/62a6b4f9de0429f1dbac60e7f9b8c5875ef3c746?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Scumb,0XIGKPkv5keINyFuCpfW2Y,Blivet,4dkaUfd2EPLOpP3BOp9VuJ,Feeder,70PLiJwN0gpj3rTMYQ4JWd,9,https://p.scdn.co/mp3-preview/b6a617a7b07024a5941e5c34104a68c0bd582559?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Du pouvoir/power,3FJkoQUlMstXgNxKg9ri8w,Halo Maud,6PXvOmtayxXQNE9stTpRMs,Je Suis Une île,4QPDnF6PvPF0ypx9PJ2q2u,33,https://p.scdn.co/mp3-preview/01551b1e0e24e880dbc945131286a5ee318204b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Kooky Sun,6KvjtJH3J8Xpbg9hcsFvtu,Laure Briard,01kBbtD0A37qtJ9EdA3Fm1,Un peu plus d'amour s'il vous plaît,3JgdaGrFwFlJqJt40lAUCX,7,https://p.scdn.co/mp3-preview/2a0a4b75cfd0ca7a71ea01f431943d020ce94d61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,It's Not That Hard,1Zs3tf4OtvN1ATBdyrH1HF,Dressy Bessy,2md9ACWJGf5hCkmOdEIBse,Fast Faster Disaster,75epRpCvVhjpori3dFD1so,12,https://p.scdn.co/mp3-preview/9d5be90e01c68624bfaab34173f5d27ce685ed26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dammit,,Colleen Green,,"Blink 182's ""Dude Ranch"" as played by Colleen Green",,0,not available
