🇧🇾 BELARUSIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Be May She Ghost,7BwzvNxDKQfrPJhdLXFbpP,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,Stropharia,0RIRfwhNum40PCL3AYPbgz,7,https://p.scdn.co/mp3-preview/e99f24b1bc98eec21c5ccd63f81019c501ff0509?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Golden Hour to Bounce,1Akte7FOptlYujATjudtKl,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,The Black Season,3rIvtUDXGlzaEoQ6fXhvWT,1,https://p.scdn.co/mp3-preview/ccd5003d1aa9da34c449c10f961a589816393ed8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Amazing Teen Girl,3tTzgHcZyu6mESccg0UR93,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,Stropharia,0RIRfwhNum40PCL3AYPbgz,1,https://p.scdn.co/mp3-preview/6961dc56d69005b5fda24d16850588822444ff17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,A Boys Don't Have Result,5BWbwO6ap1KpvthJ7TL0Mb,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,Stropharia,0RIRfwhNum40PCL3AYPbgz,1,https://p.scdn.co/mp3-preview/b0dbb7b0073a9bbdbd6df257d6cb20c1ddf20f2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Joe Manco,3Thk0y9QIjdOKyqE7JXkhH,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,Stropharia,0RIRfwhNum40PCL3AYPbgz,0,https://p.scdn.co/mp3-preview/45a8064323c85f8cd83031fa345d3d8ab19f3f7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,You On My Roman Tree,1PmymLLniKzLzNbxVnuYYp,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,Stropharia,0RIRfwhNum40PCL3AYPbgz,1,https://p.scdn.co/mp3-preview/5b8d9d9eaf354fb437a2cc23ecff07224d873d8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Bad Singer Song,0eCuQe71nrgHZHOP62bGKq,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,Stropharia,0RIRfwhNum40PCL3AYPbgz,1,https://p.scdn.co/mp3-preview/3d6f7c3d1828fe1a63470a28a03bb5e955e994a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Shiny Other Wall,0RnRxInRfbcRKyKB5xeCVj,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,Stropharia,0RIRfwhNum40PCL3AYPbgz,4,https://p.scdn.co/mp3-preview/536e52ffd5d114cce6b11d06a910fece1e2d53bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Use More Light There,5s0kgYVVHaLTxMGHtuLr28,Yuppies Indeed,5mJU4tIl0jrwbxbZkgBC0S,Stropharia,0RIRfwhNum40PCL3AYPbgz,1,https://p.scdn.co/mp3-preview/5e5b1f5484c1703610bd0f85c5bcf15e836ac30d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
