🇲🇽 MEXICAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Se Llama Hanky Panky,1Lef5IckTDGgDJyfRJu1ic,Los Panky's,2tzoTn3Grv3H5uNoazgL3L,¡Diviértete Con Hanky Panky!,6lAtHT4NwXDXOEtFORbWjt,0,https://p.scdn.co/mp3-preview/d9c19c5c74cc409beb2f366abc887e4a23aef337?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Tie Dye Sky,1NM4t5vYc0XgFd2GENZ2PJ,The Froys,3DrFw6l7rWBb8AbZ3B5zlc,Under a Tie Dye Sky,5vxs6e1pEEUG1M1vFr1AQ8,13,https://p.scdn.co/mp3-preview/c2854a0f5ba5da4bc51093c45123cd7d774d2368?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ya No Soy Tu Amigo,0OXOcfxkG542svLVIlh7CA,Policias y Ladrones,6Y9quCNVfxgIE308HSMpEd,Flores,3hPoNDvqB21QvxeGdjun0M,16,https://p.scdn.co/mp3-preview/bcb6f4056ccb508a93ee80f5c3d81bcfd958c1fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,No Puedo Respirar,7hFLYghqRlKgOJQm7Jp0D9,Vaya Futuro,3v8X0m4yk7Arhcu2YcG7E5,Ideas a Medias,2fDPXAZYX5VPBNmTfXjVDW,4,https://p.scdn.co/mp3-preview/97837c658b4bc5a1e98e6903f6b9454c823caacd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Cielo,1rd4IageVayUd1658znWD6,Pure Morning,26PR9Jl3TrZTqc5doTZNOL,Cielo,598wGoyqIvYECkotQnEsqp,1,https://p.scdn.co/mp3-preview/d6799587a15e47cb5670b7efa3714e023379c173?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hunting,3pvFrqfT5cdYUTQoMTQxac,Fishlights,3FV3XPfp73YhW5ZuYuR7KR,Serpientes,26kim83j2jsz3qGqJYEm5H,25,https://p.scdn.co/mp3-preview/4b637618c86706c8aa55ef522349a62aaeb62f93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Club de Chicas,48WlNURswIrYIJTEh8BJWe,Mint Field,3okJi6oq87Mwx0VzywmMgz,Pasar de las Luces,0C6RtYJjAc0W6OwiW853M3,12,https://p.scdn.co/mp3-preview/1c9a21ad9630e56cd0572ecc7fe433dba0a9ae9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Satánica,4cbbEiyjELjeHC22oSyqBG,El Muertho TJ,2Df9amNIj9EslUE9NP8vMm,Padre Santo,41TDB6FWheGHNgHTUiNNL4,13,https://p.scdn.co/mp3-preview/499a81feccb07e2b9268e6f2100a0148c539af3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,El Miedo,3Fzp1lVpS3B5uVqnkSvblQ,Espejo Convexo,35fD1cuasRQAOpdlMOur4I,Ruina Circular,5xP9wiZQPorXnLMgqUE4Qo,8,https://p.scdn.co/mp3-preview/0e97bb1c43b140c32577cbdd561787d791b364c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Vampire Kiss,4nYH3ciACufvpOoGt2humR,Has A Shadow,24XZWqchU9B8g3bmZSt90p,Sorrow Tomorrow,3ZGL08Ia27VfthZAjWCdun,3,https://p.scdn.co/mp3-preview/14c67bcc9033f2a0d3761ac2ee1ef5503abaf7f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Aleluya,7byVDoE3N9lznl2hcyuSwj,San Pedro el Cortez,4qMybSJtpFeNmHYfJ1rXkl,Un Poco Más de Luz,1W2MjZPeWiwn5AZw3OPyKL,8,https://p.scdn.co/mp3-preview/d5829c3d25b14f15903baa0402be6f292e882adb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,2000,5mC4jUFx6ekJcqvnRbnmRt,Nelson y Los Filisteos,0b3TkHn3R7rkLyPAjCk8fZ,Tibio,4hJUTBaMasIQSl7hRlmb5S,8,https://p.scdn.co/mp3-preview/1f823176588494c9de99a9781a0ae7edbfc44c51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,El Fuzzte,56kPtJNGrUcD2LFnCuCPJ1,El Pan Blanco,3mZ0H67lZ0xNjtGsy6lmVt,Droga,5Ai2uHYtAL1Tflojo0nTvP,4,https://p.scdn.co/mp3-preview/70233c476808e57bd6273eeb079398fa92844d0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
