🇩🇰 DANISH BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Too Tight,3xWUj6oOhshVJI8vRranG3,Felines,1z5WxAoUljzpuEAbB5TR5G,Saying It Twice Makes It Real,4qdoEN5FKDYto7ze3VlXwE,10,https://p.scdn.co/mp3-preview/be5acb387b2496364f0dc8da2999658b3e5c6478?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Al Pacino,4axONO69SREvpvL4STmOW0,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,2,https://p.scdn.co/mp3-preview/92baa87bb1447f766abb8182531a3c29e163fec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Pretty Boy,7lUuaK2PRgZZSnty0jWybl,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,7,https://p.scdn.co/mp3-preview/1b4cb3092975d916af22f569332ad8d1a4ba04c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Haunted Beach Party,3oOIG0y1XsI1ngBXthLr1S,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,2,https://p.scdn.co/mp3-preview/7fda9c767bb2cd2b6afd8a2b11ffd967c9ffec3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Jack & Coke,05OSVt1fQFXkJKKD041rEL,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,2,https://p.scdn.co/mp3-preview/004dc0c023d1b36e4b097a95727acafa521ff241?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Pity for Your Eyes,7uV0Sex1nCJli4tdHHqkP7,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,3,https://p.scdn.co/mp3-preview/05a65cb0f0ab3e2368e08b09508e7840076de462?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Theme from the Critter Room,5obTnxJqsJ7SjlVuQDKMDm,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,1,https://p.scdn.co/mp3-preview/ff913363d6d25c5bab171c8daaa046f1f0e609da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tom Cat,7eI7maZIxxrkF3yLVko9sA,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,1,https://p.scdn.co/mp3-preview/5c2a241f14cd51a21472c2227a4644f43f7c99e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Sticky Song,2DsNTNdxOiRqZMz8nRaFCv,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,2,https://p.scdn.co/mp3-preview/64f34df4aac02db6ff24e9eaebf32e04f29b3fc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sweetness,3hUFtFzmh0OEQRimvA9Jqh,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,1,https://p.scdn.co/mp3-preview/53f4a123ef625f20e757811191b02ef19a578bb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Never to Go Back,08DhKQAkTRdQ1aYaBZL5no,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,1,https://p.scdn.co/mp3-preview/167abceaa71279a87000abc3c886251f7142f34f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Want,3BnUG0PXKHj431xehIicbg,Felines,1z5WxAoUljzpuEAbB5TR5G,Want,1cQZDKxnR41B0tO1wnQXZX,2,https://p.scdn.co/mp3-preview/bcffbb98d530e0113068d2590d87fe181f9d5349?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Going Out,2rvwXKxIRT02Fi8pLZMGYN,Felines,1z5WxAoUljzpuEAbB5TR5G,Saying It Twice Makes It Real,4qdoEN5FKDYto7ze3VlXwE,3,https://p.scdn.co/mp3-preview/b69c4b1030120956e84548c3457c7d2d752eca85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,It's Yours,6kEKroXcy5rbOs6wfJRdZ4,Felines,1z5WxAoUljzpuEAbB5TR5G,Saying It Twice Makes It Real,4qdoEN5FKDYto7ze3VlXwE,2,https://p.scdn.co/mp3-preview/f98a40cc860d3a9f3d04d5d6e4c1247b78213e2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Outside,26CYiJXj0TD8iOSt7kHNXD,Felines,1z5WxAoUljzpuEAbB5TR5G,Saying It Twice Makes It Real,4qdoEN5FKDYto7ze3VlXwE,2,https://p.scdn.co/mp3-preview/86cd58c73de08de6bc35926e7ed978cb368eb92c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Open House,0nj4dk782ppphJPnXI6kvI,Felines,1z5WxAoUljzpuEAbB5TR5G,Saying It Twice Makes It Real,4qdoEN5FKDYto7ze3VlXwE,1,https://p.scdn.co/mp3-preview/763231a9165cc0676c24a2edf507aa9b672b342f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Forever Fall,5Ois6Qu3eyfDLE5MphIq6P,Felines,1z5WxAoUljzpuEAbB5TR5G,Saying It Twice Makes It Real,4qdoEN5FKDYto7ze3VlXwE,1,https://p.scdn.co/mp3-preview/f8406050b9fabd6db4e083e77380f20f4a00b66c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
