THE EVERYTHING BURGER,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,12,burgerrecords4life
1,I'll Be Damned I Like You,4wMCsJgK3a1Ge6dri60t8j,Veloura Caywood,7wdSynbhh18GryXfUMUMaK,14 Years,0K1imIZqtyc3vnVjlULmfV,0,not available
2,Reagan Country,7zZVxqCDwV7Qn75BchJbiE,Shattered Faith,1Fw43ESeFAZuqWPkfuJNTW,1979 Demos,5dpmBjZg4sjn4ec7Z0wyza,4,https://p.scdn.co/mp3-preview/40faf9e9151310ce6d8534f29198f23528d7a02a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,I'm Dumb After All,6RW5ndYp26oioHqvbyAcyH,Joel Jerome,1pLAN9JZIlNYalIJCsguvk,Babies On Acid,3KtnnUpwvmlpmkyoohP6an,4,https://p.scdn.co/mp3-preview/496f4d252aab2be8cb78f3b50430b8ac9ded52a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hey Roxy,4oNu4rc77iSSnwFczQAucn,The Bobbyteens,1vkkoAtqgYweUKawYtjzNi,Back in the Saddle,3kSKInjXfZVZnXBmrrD5iC,3,https://p.scdn.co/mp3-preview/4ee729513655155e0bfce7fb1119fde41dd1ffc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Shimmy Shake,7x7MofzdvphK9uG1iwEpby,Bananamou,5q4jpczkdYuhNDJagH6d8I,Bananamou,5SjXDBYHfeBcw2FoQXzXB0,0,not available
6,If Not For You,1W7fceJT1ooCWLWqd5ihFU,The Hound Of Love,5XVwGdW8o2ovdzkDySPEfW,Careful Houndy,3ZwXDSEtv5yuqmVHN3b14v,5,https://p.scdn.co/mp3-preview/27fef580b5489ca9ec15a4546865ba346a96da0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,A Silver Song,1BP0dgODUDaf3RDtZbcXOd,Conspiracy Of Owls,0qoKN7ITffvddj6PVhmDSK,Conspiracy Of Owls,4Apf5HPUimeotZoI2Em70S,32,not available
8,Cradle of Dreams,1AqKFNdFuzp4sEpaHT0g4H,Sitar Outreach Ministry,3Uh55II22JfqoUrYeVK7RB,Crucible Of Mutants,2oqKKMN7CF8B5p5eoOF3ov,0,not available
9,Tomorrow's Gears,4XE3MvMhFgVfAd5iHzz5NR,The Resonars,0J7gocP56wqQ8OCRgtkrUN,Crummy Desert Sound,0eXILrvUB6MLKMM3Cx1PML,5,https://p.scdn.co/mp3-preview/cbdfda4510f6670438b4797c2ee9c761ccb51a9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
