🇨🇱 CHILEAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,"Please, Let's Go Away",6PDeL2RJc1roGYL0DyVeOH,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,0ewATGeWvHxvosrkCkhzF5,18,https://p.scdn.co/mp3-preview/aa393ca8abe72637b4fe276a535fb510779ed234?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Change Your Ways,4sJAGZJw7XXOvfCVZ9y3t8,Soone,6pGmSrilHn1zk2gnEIsXaR,Soone,0juj0WJIn2gebl2AXiPcWr,4,https://p.scdn.co/mp3-preview/342b2e1325b53b846700194cd0e71379c3b5a22f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,All I Wanted,69T8yv3XlGwwiMWxbOPC2L,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,0ewATGeWvHxvosrkCkhzF5,12,https://p.scdn.co/mp3-preview/76320654b613268e342f6fef357de8d384208083?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Oh Child,1LLJMdVq5Hwqbh3vZ7zPdz,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,0ewATGeWvHxvosrkCkhzF5,9,https://p.scdn.co/mp3-preview/fc07667e2d631c367c0547972c724f68652b857a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Out of the Lights,4sdLBavR5UXIFInAdLfs0L,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,0ewATGeWvHxvosrkCkhzF5,6,https://p.scdn.co/mp3-preview/276dfc2396789f2a3b40b1d94e8353b6666e35e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,No Control,5ss3wp726jhSHuMsEaSH0x,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,0ewATGeWvHxvosrkCkhzF5,5,https://p.scdn.co/mp3-preview/d672ddff0d0ad550b6b6327d5fe2371f033b39e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Sound & the South,4cH8hFWKgBwfHVUNCNKmTK,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,0ewATGeWvHxvosrkCkhzF5,4,https://p.scdn.co/mp3-preview/7c24caf27fcdd2af3f98cebee39ea27ebb6f5839?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,A Place Up in the Sky,6SAiIeguZTwpvkCJYXrr9V,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,0ewATGeWvHxvosrkCkhzF5,7,https://p.scdn.co/mp3-preview/682a36cfb7f4d7484a1e58f44fc92eff7d7e0152?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Fall Over Myself,42W9cCifT4wYn4PFrAxgiJ,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,0ewATGeWvHxvosrkCkhzF5,6,https://p.scdn.co/mp3-preview/c484335bec108e7e2ef1ef46a72eec99b1b7804b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,810,4Zf9HmMeA9c79SqKVod5ll,Trementina,0DM3M5xGKVaO7MNFBH3K0X,810,0ewATGeWvHxvosrkCkhzF5,3,https://p.scdn.co/mp3-preview/a2ea10d02dc9baa2a0c6d4eb5ee1c1e267383fac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Dance With Chaos,10MTr8Sue3EP9N29A0oEmT,Soone,6pGmSrilHn1zk2gnEIsXaR,Soone,0juj0WJIn2gebl2AXiPcWr,2,https://p.scdn.co/mp3-preview/eab8154fefbbaaf0ceeab253de3241f4fda3f0a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Into the Wild,5AkLwlFGIHE2bOrtynCusG,Soone,6pGmSrilHn1zk2gnEIsXaR,Soone,0juj0WJIn2gebl2AXiPcWr,2,https://p.scdn.co/mp3-preview/4e35053c55904d102080242765f5b8291412bff3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,We are Fire,7raiYrIVeIVgUwISRDppiP,Soone,6pGmSrilHn1zk2gnEIsXaR,Soone,0juj0WJIn2gebl2AXiPcWr,1,https://p.scdn.co/mp3-preview/d87918d0ce11cb5449a7f05bbd65c8db3786513a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
