Spin Back To 1998,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,89,hot97.1
1,I'm Not a Player,0JyfYLKuXRmPhMkIPVstu5,Big Pun,2Xu7q46Hf02xOoEIm4E1Qs,Capital Punishment (Explicit Version),3IIHk2ZLXKWuVAjCbQ9g4Y,48,https://p.scdn.co/mp3-preview/5259a1d86fff64ef39ad84de2dc07e535af5e9a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Superthug,5qEzf9tBursDHplB2FhzVy,N.O.R.E.,4GMgdB3vwbBOc42hbXEi9p,N.O.R.E,4h5Z2bERuSAICA4s66AhA1,47,https://p.scdn.co/mp3-preview/e91f19b169fa9cdc95f29b96208c52b8c10f8541?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Money, Power & Respect (feat. DMX & Lil' Kim) - 2016 Remaster",3jz8wTBxw8c5FVlShlNAfe,The Lox,0A7g2YbCA9FlyZvAG6VmKP,Bad Boy 20th Anniversary Box Set Edition,52TqKxbJkOBsbjKxlKgLwu,25,https://p.scdn.co/mp3-preview/c8ee194afe1bf5d8e8a2c391023c64ec7cd4aaf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Doo Wop (That Thing),2Uu8IiLkLY0UXhCHka4Dlr,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,2Uc0HAF0Cj0LAgyzYZX5e3,18,not available
5,Horse & Carriage,5pi1mlfcIiGmgzQOjkvfV4,Cam’ron,7iMvwE8qANp3aIfAGKEAwS,Cam'ron...Harlem's Greatest,7DuPbRNzKVdhW697dfqzvN,26,https://p.scdn.co/mp3-preview/32d017dd8f93abd1257e9933073fd5fcd2cb4c63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Déjà Vu (Uptown Baby),33i1NxhGadaXhPgJaiD6ad,Lord Tariq,5EC3MUN6vECf8sxUU9IVw6,Make It Reign,4KWMxsh4rouk0fttqn4c0p,38,https://p.scdn.co/mp3-preview/17c84bea6623a36012829fefd2b5152e7b3dfdcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ruff Ryders Anthem,5UHMotzeBUKNgpK8FBb5U3,DMX,1HwM5zlC5qNWhJtM00yXzG,It's Dark And Hell Is Hot,41cL2oVfw62AnuU0fyM2P6,3,not available
8,Turn It Up,5Qdhb0w9Hv5Td4W733h7sI,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,1998,4tw4oclrKE8d7YGUwoUPFF,1,https://p.scdn.co/mp3-preview/23ecc56f39c7fd909ea94b5a3e4c13c66710f252?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Been Around the World (feat. The Notorious B.I.G. & Mase),1siDRjAa8MdxNoCHTiiQ7B,Diddy,59wfkuBoNyhDMQGCljbUbA,No Way Out,4OGaOZUHLhSeiicZB909aL,60,https://p.scdn.co/mp3-preview/8803f9fcdf16dd5c4eb8bfe071c78848dba30e8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Second Round K.O. - Album Version (Edited),6RquH8hQRNwbbHBBgGK9F2,Canibus,2lQvoGjN6jJfsAkaywtgrB,Can-I-Bus,3A5YqnLkBpVaXP4XkTqQrM,4,not available
11,What You Want (feat. Total),6hxn98poTu1O4YZfafvC18,Mase,1wiBLzTI7z9RUwEpNPdFT6,Harlem World,21YtqAiqXNGuvWNBS0JvOy,66,https://p.scdn.co/mp3-preview/f092071d59b225960f8595cc04a78aa9e1f8f00e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Religion,7N00PYM5qccirQoG09nTf7,Young Zay,7wISo3gkLBN9jp0qryQSWX,The Takeoff,6o6dziO5agRuO425dRpoyi,0,not available
