94 'til Infinity: Year 2010,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,22,hot97.1
1,Bottoms Up (feat. Nicki Minaj),2IpGdrWvIZipmaxo1YRxw5,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,"Passion, Pain & Pleasure",5Qex4ioxOJfHrnsWbt8Zlj,70,https://p.scdn.co/mp3-preview/f0c1d1372885885a18c50eca0d725f22776d3b8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,My Chick Bad,3bMNprrp2JDKZsGbiXpsJl,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,Battle Of The Sexes (Deluxe),00kSgH9g6nYBQhjnRQFBew,66,not available
3,"Beamer, Benz, Or Bentley",0cNJ3huiV99wvUN1tmQLTL,Lloyd Banks,3vDUJHQtqT3jFRZ2ECXDTi,H.F.M. 2 (Hunger For More 2),0h8gzYOChHoUjn3xt4mDsS,58,not available
4,Say Aah (feat. Fabolous),2fQ6sBFWaLv2Gxos4igHLy,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,Ready (Deluxe),44jrX3SThj7pFjOzUTLm85,65,https://p.scdn.co/mp3-preview/d6b4df9b6f6a23840b3074b96c462b1eb0823298?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Successful (with Drake),2SItJHNsf37kaAi3IXjyft,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,Ready (Deluxe),44jrX3SThj7pFjOzUTLm85,48,https://p.scdn.co/mp3-preview/d971ba662a47f2fa0efe7454bd34a15eb00c1561?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,I Invented Sex (feat. Drake),1Ug1mV9h5qVSs4rvvnQWux,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,Ready (Deluxe),44jrX3SThj7pFjOzUTLm85,56,https://p.scdn.co/mp3-preview/4e628022d31e0d2fbf27f4e49b69260478add2ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Neighbors Know My Name,6jvvpPJQJy5rMOEkLlADl6,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,Ready (Deluxe),44jrX3SThj7pFjOzUTLm85,63,https://p.scdn.co/mp3-preview/4ae97f06f2af757da5e04514a151bc605a197794?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,How Low,1WtTLtofvcjQM3sXSMkDdX,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,Battle Of The Sexes (Deluxe),00kSgH9g6nYBQhjnRQFBew,62,not available
9,Sex Room,5fc3CYrNkLym4ifJgnJtmv,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,Battle Of The Sexes (Deluxe),00kSgH9g6nYBQhjnRQFBew,46,not available
