KEXP's Song of the Day 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,8215,kexp_official
1,Le soleil dans le monde,4Ve8G6KOhjDwi1fSOOdYds,Domenique Dumont,6kNluNBHa4sh5BKIvyiDgf,Miniatures de auto rhythm,4FzlCyvEDrvU8pHmgCUKkn,39,https://p.scdn.co/mp3-preview/36f6b83a86ea5bfcae2e86f18e3213b91f4117a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Sensitive,0OiQ0PWBTEhOiWHPk3WbWD,Brother Ali,6CsleyOZtyt16saX8WhzDx,Sensitive,266qKqRp8y6wmJDqcx59p7,40,https://p.scdn.co/mp3-preview/80ad9534be43778ed3fc1578164a16abf4127311?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sunshine,22kS1LhLdZNTFgZreYgdus,Blushing,27rWdoCAtvpwChpCDz9PK0,The Truth / Sunshine,0nNodNLlo3QRfeHotGWgzH,21,https://p.scdn.co/mp3-preview/fc91dd439bc6457f99bb3f7ca271b4be060749af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Revolution Lover,3qBg6BeHJlGgwl5aCa09EC,Left at London,3xPCFC8f7U3raEXOXQ3MrE,"Transgender Street Legend, Vol. 1",3d6LObGaY1hWjNP4LsrYqk,44,https://p.scdn.co/mp3-preview/223fef67dd9cb67ab1869dbcaf1af88f12eeab8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Poison,5gMtCAMUpAyyAfcOmCEiFW,David Nance Group,7cV0pZ4NvTrtY8ImVuOSsB,Peaced and Slightly Pulverized,3UkdSc4NlOJbmEBbu4ENff,21,https://p.scdn.co/mp3-preview/0a6d89ce20c44c53e13e9f7337c5e5be3f60c498?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Beggars in the House of Plenty,3ry5jhTGniqmuggooFkaPo,Generationals,57MtJQ6Sc4tIxrXIhrqVJL,State Dogs: Singles 2017-18,7aPQNtviDT84B47sfRaqaR,32,https://p.scdn.co/mp3-preview/954c3da45e09158032e60a17fd1d17c70bccad86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Heated,4VqQ7wD7USmBYNiuNi64pg,Doe,7tzIO678my6yGW0ZIhYEV3,Grow into It,1utVG8lSshQXfkJhLoFHLk,15,https://p.scdn.co/mp3-preview/6cd9618463302949024758185ae4e7445c41ae7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Blue Again,7IMFXRGuKZvrOEHChP9DZK,Weakened Friends,3GA7XHdtdiTpR4gDWgADwK,Common Blah,7crvNB6frqAAn09uqqvo98,24,not available
9,Set a Course,3gl3Sm85Dc5Aul2e6mlhrH,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Set a Course,6o0fvV9ZhbNsjwCVVwBFZA,20,https://p.scdn.co/mp3-preview/93a34482a2f4b5af3f79cec4b23b351dadb3c667?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ordinary Pleasure,3RiebNMjrNhskI2jn9AZ20,Toro y Moi,6O4EGCCb6DoIiR6B1QCQgp,Ordinary Pleasure,1DKZlyGz6RUhCkgVuFNqA7,44,https://p.scdn.co/mp3-preview/73124eeeb7ffc8998b969bcc31f0ff22d0035a52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Getting in a Van Again,72UnOCk72hZUdCSOpfWheL,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,Getting in a Van Again,5s0ZwiReg43HJzq5AAqE9O,36,https://p.scdn.co/mp3-preview/de74ac0cbbe9bb07589029fbf795783e4219443c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Basquiat,0PGkRO9bZRP7ruF29rN8gE,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Basquiat,221hqMa6abKyaah4ryft8Z,20,https://p.scdn.co/mp3-preview/e17fadb0572b12ec215113883a4aab5aa1a78355?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Seventeen,3buy5Ooz6uNL48W1yBUzbM,Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,Seventeen,5k1HEpZwBjjghTzBOKgR3D,47,https://p.scdn.co/mp3-preview/1fb6f6f996f50b6aaba46d9c6134f29616838054?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Your Car,40zcZvxyFNpylYjrpqORG8,Red Ribbon,3GmA6wWF7cBW2aX69u699R,Dark Party,5lLps3dTOkpTU5f8Va7WMN,21,https://p.scdn.co/mp3-preview/63a19954aad79b83323bfaa807bb35f63d73f352?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Helluva Dr.,2jaVv4N9hymFQnRzLcFc5n,angelic milk,0ZQuMDQJWl5Fa7xfz0PWzO,DIVINE BIKER LOVE,5dD6ADwMLYO4ti8NwP1itZ,8,not available
16,The Distance,1r6wShWLPiYGSRKXcQ3mEP,Ellis May,6lZhajZiDDX7IV0yeBx3Ml,The Distance,5gZGL8lOf82X7HwIZ8vsQ6,29,https://p.scdn.co/mp3-preview/45a706672eca98235fc28f2281397b026987ca1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Jealous,0ScKjEL3v7jbrvaV4x1rY2,Heavy Lungs,07eIrj0b3z5mgvtkDmWoxo,Jealous,5VUo486rU9QrDEGYLl8yhD,30,https://p.scdn.co/mp3-preview/eeafd1d44ed0b871afaee26ff748d8b91aa7567b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hardly News,6DUTbkWtTBrleyA0vAsTSm,Criminal Hygiene,632c1MMG80iH7MwxLZbIGf,Hardly News,7yh1QEpK4Z9EFeUaKCtcCR,15,https://p.scdn.co/mp3-preview/157b0c49be757af58eaae9d8d58944ca1830f755?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,End of the Bar,1jYm1R0rsGWMJU8dFGOLU0,Martin Frawley,6DG6DqhJ5kP5vOJPYmfjDF,End of the Bar,1xrNPNVetE94gMQXodmTyW,16,https://p.scdn.co/mp3-preview/b51bcf2e514c4d9ce913e89db95b5ff2aaa4532d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Buddy,4OtCFLbasXy3BPvam5ySNY,Du Blonde,46MOKAqmDsUILZl3iXyPmw,Buddy,6eMvp3jxkAC3IMKbkrQGY6,20,https://p.scdn.co/mp3-preview/f27e0645cc0f248123e87bd5c2af7e8dc7423a22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,3 Mile Drive,170yXeNQGVwXJMzj1ckSVP,Nanami Ozone,1fY8OsUdGfnYvIrRhD5HJS,Alone Too / 3 Mile Drive,07pKDW31xSz1FaCy7kcYFX,0,not available
22,Everlastingly Yours,4P9ehjfKh0UIvOArrqaYHR,Piroshka,1BAU8Y2UIKYLm57cIwyi28,Everlastingly Yours,5hBaBwxH8GWUcd4KmtGVjH,20,https://p.scdn.co/mp3-preview/ed67c5557bec0613ab8e7938e8501005d448fcbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,The Kids,6zIQzrtdr6cQXy2ClSP11l,Sol,5mYS4mPFCpxvQwGU8rT43a,The Kids,0SFWGy7O0t0GtqnEGhAWcj,25,https://p.scdn.co/mp3-preview/7fb12b9f157c9ecaf624ef0fee41206747e9c6cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Flyway,69Prk1StSEntw88A4Nk6qB,Kero Kero Bonito,6OqhFYFJDnBBHas02HopPT,Time 'n' Place,3AgEwBev3Hb78O74pu4xVM,34,https://p.scdn.co/mp3-preview/720693de1944cbd6ab9604e3e7d1f36bc1b272f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Rechargeable,2iyaLpevfjar7QwsyRZHL9,Snapped Ankles,4iWOyexPqcvgycdx7mLUcl,Rechargeable,0iUgNeDFd6teXscswmzlUi,0,not available
26,Tedium's Jaws,6owdwhQzoV80Cmjwe95Sf3,Chemtrails,2AvNtsTKAOkaoD7aonyHHJ,Cuckoo Spit,3azMp6laUnjYuHwquSX5R5,8,not available
27,Idle Crown,48Gk83Xk6z3ngFqCtExqiO,Queen Zee,4Fu68byHFGEiID8pHyYxFL,Queen Zee,63Rggji5w5RZEJjT262Spr,21,https://p.scdn.co/mp3-preview/ff2de6421bcc766192509f66286a5432ee7565be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Face of the Sun,1IN1Crb0cBwVu56a42cnsn,Shana Cleveland,5E6dR5oDjhT39zr1YuXRq0,Face of the Sun,7EkD9gfsZ48KfWiAKpSl38,22,https://p.scdn.co/mp3-preview/b6fe47f8455cf3b5224aec3180324da8b6b88464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Wasting Time,6OFcRJhD7G6QUi0SBM0uZL,Young Scum,3zHrafjt4LQCH7bXRJg9dI,Young Scum,0yeQKW2vwtzWFoQT4eI4km,16,https://p.scdn.co/mp3-preview/7e3ad185be362375418255220b4b8070342b4c7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Cosmic Cave,4jYREYvxXkVKnDv7y1A8yo,Ex Hex,2LdMozrLZExZ27oOAnUgkb,Cosmic Cave,0bqjBjAjXH7NISVKnAemTZ,30,https://p.scdn.co/mp3-preview/7b18d3ef8795210980ec1b5750f958921c56b2b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Mind & Care,3sECeGWdaPv402FRetl1Mp,Please the Trees,1Tgwb5qytQVBDRjH6N6H1S,Infinite Dance,6zA6scTbJikJvtwiti9OGm,15,https://p.scdn.co/mp3-preview/bba00b41f1a4cf420faa9f5823f8003e96e37872?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Sympacide,5KBYh3TWtfGcr1AWwmDJmk,Pion,242CSFFOCF1INE3lHNbVJy,Sympacide,6BQGHKUS2wiu1Vtwy5df6Q,12,https://p.scdn.co/mp3-preview/40f6ca0361c57b13381ab817be3e1294aa0ed072?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,"West Is My Home, Pt. 2",3srDotZorHpdAQalTJqWNN,Essam,3JAbRGgLKPpkW6aM3TwRVP,12.12,3asYfXK2jzfCWkdNtP1etd,17,https://p.scdn.co/mp3-preview/402e7975a86072604267ea12d9279204fa6b1517?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Weird Ways,38nNeYynBC9Q42IVn0I0zn,Strand of Oaks,0t4oHObO3FImWvIhMimaSL,Weird Ways,2caB92lAu9ykzKBIjWA1DU,40,https://p.scdn.co/mp3-preview/5b20a1c55354aaa1ff9c728258aa060a4b6747ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Everyone Is a Bad Friend,6kYDhGsEE6KAgS5rs8LLfw,Sir Babygirl,3Z9b1MnVKbJw8LpgQclsls,Crush on Me,5zR1UmNJjxW8YE0nwf0jcb,18,not available
36,In Your Head,3yII5eBW54SokaA67zfInk,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,In Your Head,7xrJ8QGQzow0zfmuWWeWo0,34,https://p.scdn.co/mp3-preview/5454b505abac6107c22816ef314b91419779100f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,The Wire,1yvcIA5Gv4079BWuaZfDvA,Shovels & Rope,1M3BVQ36cqPQix8lQNCh4K,The Wire,7fZmMsAMHliG6Jx0fDohiK,39,https://p.scdn.co/mp3-preview/3669a7d36ebce54b1810d393482677f43fe3bb9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Pool Party,3cDx1UYNPhCfO2tfbmKCTC,Rudy Willingham,7I2zMRnXAdhWiM6JcJdjwU,Pool Party,5wZgdsihFt2wMpqW2dEEjA,18,https://p.scdn.co/mp3-preview/aae6cb3e46c424ede8f5a53a9eb1f101cc0e40de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Cyboogie,67hfDl8W1nAeqU7XPRFmcB,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn,Cyboogie,4sK5GSvTRRS9xKu6rVGf8L,14,not available
40,placeholder,07o8dBNKkSiwwtaGxKO6Qb,Hand Habits,5poU7FPEYoBlwjzOEWMbX5,placeholder,3yKzgk28TY9H0By577ExbJ,0,not available
41,Dylan Thomas,6x14wL9HvABR2Rix8N88EH,Better Oblivion Community Center,3NBmfDV6Yh3hjuQUBVvYgO,Better Oblivion Community Center,5622zSt4RLqNSPShdqmWpj,58,https://p.scdn.co/mp3-preview/56e64779aebf77f154ef85dba1f6b4db9dd678da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Marigold,57f9BTyO8pzPVjWGzpyyIR,Flamingods,225FmqaVBffuHcWCN1W5tU,Marigold,0eW5eChurKGfPr2lWSxwp7,15,https://p.scdn.co/mp3-preview/71e645dd1a381cd60f75a3c38a31263c1dc05d01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Planes & Cranes,3erFuCSdYs31OX5B5h3Rqx,Emma Lee Toyoda,58PowblncGIfeUpXikL9Th,I Hear U & I'm Here 4 U,5YZsE6O3fpt3oGEnDge9rL,14,https://p.scdn.co/mp3-preview/2a2bf2632df50149faab08d697c61e79ed313392?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Eden,63SUBFdOLAwrgmdt0w7HBg,Tallies,0TqfIpfq65gBiU4m7BCe0O,Tallies,5eC8BJIxShy2t6Oh3x5Hpx,12,https://p.scdn.co/mp3-preview/7439f9629fa6dfa479e4ad8e6a33b30cb1ae2ebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,What Chaos is Imaginary,0hCShuMaC3qpZp7RJ5VlgX,Girlpool,3BYXi96LqI8TwNljFKE0DZ,What Chaos Is Imaginary,58HB0yjdQE2MH5MrfWt4EO,35,https://p.scdn.co/mp3-preview/b66dcc23bc8a7e7f158ec12847c246a9c6704e97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Olympic Girls,4ErIc9MpZLNa9xRxNcDBM9,Tiny Ruins,4G4W57CTe85hPEGZ6hJ0Du,Olympic Girls,78pal3TbudCtgq10jJowYs,42,https://p.scdn.co/mp3-preview/b0f3f0c281c37a6b65a020482ce01f53ee68d080?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Slipstream,1UOknmpYllUuxHNmfooRj7,Holiday Ghosts,3AuA6Ksc6bQa0wlJx2ltI9,West Bay Playroom,263jXyGLRwSXDvBTdiE9HL,1,not available
48,Last Chance County,6ERFMF48sSnYihh0nkb5jT,Filthy Friends,7r4sGN6oIOOL3aw1zqPg1T,Last Chance County,6nbBJhby6ExyYGQaBgtotF,6,not available
49,Bluesboy,2uAX8joOQnZkfgJsLz1g6E,Deer Tick,3rT8xTwSOMDURtWpPyoKIO,Mayonnaise,1MCVLdAvbgfbbHt2q53MuE,29,https://p.scdn.co/mp3-preview/275c44fca68b869058950c8417557018dbbb93c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Blankets,4kET2kTqwze6Q8JmiCrDv7,Craig Finn,78DZaDfOK3i88eRVPkzZu2,Blankets,5a1XzXcIIryssg0PIDiWx7,17,https://p.scdn.co/mp3-preview/9160017ac72a855e2edc17efa6a33bcb843a53ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Lose It,6bZHAxJsERAsGsw8FjDJx9,Stats,2MNSJQop6Wx4hAt8GHyFZR,Other People's Lives,634mdDyMB0EauJgf45jnee,31,https://p.scdn.co/mp3-preview/edb5a498d9e09c1fa4c8e65ff9ad3ef89f8ee0b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,The Tower,2IHrngB5zB9dX4Co8R8vjp,Bellows,6UkJGwmg0AXAbGBNtzs7My,The Rose Gardener,5XfgTVzJfSdlQEh6dv4GQR,0,not available
53,Phantom Heart,1HCQ1uyQ2a1KtNucDKGMkN,LEATHERS,6LcqDmkCZkoKRPBZaWYW6Q,Phantom Heart,1Tm1jcvZ4pGRvZiCKGorOd,19,https://p.scdn.co/mp3-preview/82e6ea3de6f30dc7b6c61ab0b48d7f0a40c3dfc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Old Man,6K9QPIt8AR422heY9O372w,Stella Donnelly,2mHjhKyKCLh6MZELuCe1Es,Beware of the Dogs,1pKIMs0GEePXjDC2EiYEb7,46,https://p.scdn.co/mp3-preview/0047f807996e75f74a6df8f571677e3d4cf8df3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,No Halo,3VQSFTkbM2acvhwzkWztyM,Kevin Morby,6fxk3UXHTFYET8qCT9WlBF,No Halo,176O5eIWOgcvFBLqkYhnXc,43,https://p.scdn.co/mp3-preview/6f4cd86642aaa3c3f9147b83b11118991f6cdedf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,The Great Pixley Train Robbery,4oRzacJVFt3KiXehJmRyXb,Cass McCombs,2iUVQjheBnvOt8vaBrxXJz,Tip of the Sphere,7A9lD57JDmqxshUGkvTdiG,44,https://p.scdn.co/mp3-preview/5ffe82e8863be37366ce2512ff99eb4bbd8b46b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Younger,6208C3qAxNakZF8WXJRp0I,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Younger,21UE82PkvBI0C6sfIwS4RD,29,https://p.scdn.co/mp3-preview/844243bb78b55c8664a69cd95030ce0101247bc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Grains of Salt,4nTWQdV8j1aSffnKsgFLzq,Tacocat,3h0MN1neFknEvlYKxFmSQW,Grains of Salt,1048ZBUuVLxIFQkMZQn3am,28,https://p.scdn.co/mp3-preview/85e947f1ed81fc98dd4b4381d5ce0c8b1d1b2c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Fantasma Vaga,7JldbFXMMlQNXIvceL5x6X,Helado Negro,69qhRLDvsWJOhWGXXQ0lQQ,This Is How You Smile,17LsQV3q3cgTBrat3D5JSv,41,https://p.scdn.co/mp3-preview/009bd57fa4c623d4f219e16c44a54e16aac61949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Everyday,3rxIqFuKGYsWFx12ovYK8S,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,Everyday,30qZBeczmiKGQm3rl6DoJz,33,https://p.scdn.co/mp3-preview/b8c3cd537bebcf855da26af3c1bfdcd3b08f686f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Let Love Run the Game,0eLgYv0oVX44JcUH2IyyfV,Daniel Norgren,6swk8GFDoEZ1cFDX70xyuO,Let Love Run the Game,6uql138RD8vHO1x3jPsPm4,10,not available
62,I Wanna Keep Yr Dog,04p1LJ1zsEfhZsaPH0SBVD,illuminati hotties,3ztRX1UoIOsFqpD7dB6R8O,I Wanna Keep Yr Dog,1ioHdMckP5G6DkTWteqWUs,29,not available
63,Tethered,4supF1zsQ3VPJPqBoq98Xv,Versing,2EBCJ8wwWpJXAyjVoiwCw8,Tethered,6uUeUvTH9rirUZBqSOG6hT,26,https://p.scdn.co/mp3-preview/ae00a06a9c84f095c1359ea0aca456bbe1fb6819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Mute,39UCAJ1ARXX5klBbW20kPa,Club Night,71OjnKr2bU3Yo52jJzV9n3,Mute / Trance,1MgqKIxlrPiURiBdJn8LJ0,0,not available
