KEXP's Song of the Day 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6192,kexp_official
1,Backseat Heart,7FeFr1Z58fPV8ZRJ20mTU3,Ablebody,4MVxBaA9TrO128O5Ak9doB,Adult Contemporaries,50Hjmg0ANAurrw8gLOd41X,12,https://p.scdn.co/mp3-preview/f4603cf6a95cdc9332f39f06dfcc68c77f51a6eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Falling Out,3AR502ACz3STxT6MXoi61h,The Real Numbers,73wrfk0t2ivQOxD4pGUSbE,Wordless Wonder,7HVcxge7Hp1xmQROCQoFSL,0,not available
3,Get Closer,4iL7zXw2cRoMmtprZHtqgr,Gringo Star,09CQngaijJk9iSalfKfrIW,The Sides and in Between,2J2ss4cDrPU5AN8OGPkETh,15,https://p.scdn.co/mp3-preview/45e8af4df21d9c7b176855fbf63bc2742a3a5b4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Aeons,7u0h3YWV24zGDMmmALRlzN,Chemtrails,2AvNtsTKAOkaoD7aonyHHJ,Aeons,6iq57usboyGlSQMv9a6zaK,3,not available
5,Hollow,4yHQh6RLjLI7CjG4QZerK5,Desperate Journalist,3bQOdXdA0JLHAVHavCMqs8,Hollow,0gZDKONi5rfrJbNHTDkPf0,8,https://p.scdn.co/mp3-preview/355632ea7c9ac5b6154e48001fb04fdd06883f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Queens,3HUXLuczKe0WcmP8pFT3mO,La Sera,3zsjvhvKAuD6GY7i1R5zER,Queens,7j853HJWnP9Glg0TTtj2y7,11,https://p.scdn.co/mp3-preview/c629cb2dbcf31cd35c10c1702c97e7a794df752f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,(we used to feel) Higher,2cScCkHrTfqDE021rp6eBf,Little Children,5ZF1eDxZ4PzVDmieaVDEYY,(we used to feel) Higher,79mpxpwg6PxG4TYtsOPco7,0,not available
8,Buck,31GmGs2tXwiGiehnK32OVg,SISTERS,2Hb8mc3CoUktri3i4Q4ACR,Buck,1rTpe9fCT8BbdaFijZxkbW,0,not available
9,Double Infinity,5DWUocNyE52MnBjUqDLVQ2,Springtime Carnivore,0EikLJdrz7f8ocaHztUO0S,Midnight Room,7zQNzJPsVcsLWGD0eSbcpO,18,https://p.scdn.co/mp3-preview/ad8c95b379be3c89cbe2d474f13a7722651d990e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Julie's Place,5ndt9wq61LeGbnWikHKR90,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Julie's Place,3xyl7OE70YTV6oSbDmdjFr,0,not available
11,Radio Kids,5lDLrn39nvhFWEsabAX4zu,Strand of Oaks,0t4oHObO3FImWvIhMimaSL,Hard Love,2aZ9ejc0Rs9kUmYzrz2D3l,29,https://p.scdn.co/mp3-preview/873da4e57ea4f93be7d907d484e2c4e222b66b2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Soothing,2QQGWZLoe4t19wkZ5nKOD9,Laura Marling,7B2edU3Q7btJoNsoHCNohM,Soothing,4nwrreIqpAbyOsLt4Dyztl,35,https://p.scdn.co/mp3-preview/ee5494daf7ce4f92d4469009a77d8aa55a1115d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,All You Have to Say,37DlWzEBwydKEqQRJjIY6k,Aan,2NHxSCevnjo91kqLavmMYG,Dada Distractions,017XCf3C1V0p9zFmp8u4LP,6,https://p.scdn.co/mp3-preview/847a8acda407c235df6427196b6a77e961f7c79c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Occupied,6tHUIkZi3wtdAYF5ZHP4gw,The Radio Dept.,0utS63XytOEVN1EtzWhJpG,Running Out Of Love,5le0Cc0hMuiC5A6mVa6doZ,17,not available
15,Hands up in the Air,0l0MdHJZobJNHVlxfhHnh8,Úlfur Eldjárn,46LH9HoKkHC1lSFJ1fU78o,Hands up in the Air,3D8PZ8GzECtsHKcydGmA57,2,https://p.scdn.co/mp3-preview/607457e143df7e38e810031231ab716ad1f4acb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,People,3plYlkHMV81X4CJwavDF1J,Little Scream,2U7njwghtRR6ofLobG32Lk,People,4mv90RI5V39Itqftd3azDY,5,https://p.scdn.co/mp3-preview/ce74f0811b7490b16e428c992e790068b6defc5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Talk to Me,0CBLqGc1esSZ5dM2gOZHsU,Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,Run the Jewels 3,3v2GjFB9V5kHgrOCXn3sI9,50,https://p.scdn.co/mp3-preview/51cb8d125ea44bdc0bd9532bd93bb315c7d25bce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Vice,6fWFgvDBE9vCQz87lejEX7,The Black Clouds,7p7QL1hUzhoD8dV1sIECfK,After All,331OuPmse2LHeGzK7TWRgA,2,https://p.scdn.co/mp3-preview/970abaf8257e46d65a415255d777ac0f33b2291f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Louisville,2mhwsud3cbmiXOllma0Ct6,Matt Pond PA,3JVgWZxQa78cVa2cUuAUQ4,Louisville,7AiGpMhoNNGVpRSHjnRuNr,16,https://p.scdn.co/mp3-preview/bc73b80e5e2474b3b72106f03598de9a9933c847?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Star Roving,0eNeturRjWHoi2SxITY0XC,Slowdive,72X6FHxaShda0XeQw3vbeF,Star Roving,6pUMKhdr42lTqhzoqC3CBa,44,https://p.scdn.co/mp3-preview/5dcea93bdabc58ea45da8dc7e1e997faa6d00c75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Radiator Face,20QHqSUtlrAYSzhLxLwgUD,Luxury Death,2WY3HqWKAqW732RI5Dvu3T,Radiator Face,4AtLHmTworofbFIHc54rS3,0,not available
