KeyArena 1996-2009,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,86,kexp_official
1,I Am One - Remastered 2011,1BcRP7VMAybvCo0eFb09ZI,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Gish,0FoOJucC8temyTUBpbapWC,40,not available
2,Musicology,1HOFaNrNMMQQLJr2CHWKsR,Prince,5a2EaR3hamoenG9rDuVn8j,Anthology: 1995-2010,0CEHFvHUQ0ZSv3mugziS76,35,https://p.scdn.co/mp3-preview/762bea28c349ff9024fe2382bc5daec9eb40f6d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Son Of Sam,6tPiCU4LFsXUQPRIykOAnl,Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,Figure 8,7DC0pE943VR5tAKIvQXHts,50,not available
4,Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,No More Drama,5QJmKwPveBV4IwLlo4OcG4,72,not available
5,Hard Knock Life (Ghetto Anthem),5OyQwOnvyiQih96UnGprlo,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Reeling In The Decades,4FLE3sQpCWW9zwB1HE7erQ,57,not available
6,Mr. Brightside,3n3Ppam7vgaVa1iaRUc9Lp,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,4OHNH3sDzIxnmUADXzv2kT,76,not available
7,Single Ladies (Put a Ring on It),2ZBNclC5wm4GtiWaeh0DMx,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,23Y5wdyP5byMFktZf8AcWU,62,https://p.scdn.co/mp3-preview/69c8bae97df9121ee440b23053fe20f64c204408?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Diamonds On The Inside,6FvtSHS3hzjS8itHJPRzoJ,Ben Harper,45lorWzrKLxfKlWpV7r9CN,Diamonds On The Inside,0EgXWt3Lur2Fx2WHlG9AXf,60,not available
9,Island In The Sun,0AxdJGlXJjEUsNONDuT2pe,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Weezer,5gtctTykBQ0ozI7KsUCYMe,56,not available
10,The Hand That Feeds,4L5r9XNiWJ7cbqcIiNvVes,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,With Teeth (Bonus Tracks),1PuCoaLQNyCeaLBgGtNyW3,57,not available
11,Thank You,3yUcJwYu7fXAfqMj9krY6l,Dido,2mpeljBig2IXLXRAFO9AAs,No Angel,7ydMeYrv8bFFRkkHepoJM4,69,https://p.scdn.co/mp3-preview/61c1b2d6f13f53afd872fed81bb56c06eb786b31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Intergalactic - Remastered,5fpizYGbi5IQoEraj6FP0R,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Hello Nasty (Deluxe Version/Remastered 2009),6eGYLONkDMja0MNtZWnRRB,69,not available
13,Jane Says,7c1Dar0pIAW7w5TzaGjt9t,Jane's Addiction,02NfyD6AlLA12crYzw5YcR,Nothing's Shocking,4DVBJPJyizvHfJQt5pYaCa,66,https://p.scdn.co/mp3-preview/2d05da32c80eda03c619383db3f00be1d22fee0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Times Like These,4xanWVQIzdCf51mg8cd1cQ,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Greatest Hits,1zCNrbPpz5OLSr6mSpPdKm,59,https://p.scdn.co/mp3-preview/6537bf22505d0a7a168c8716099fcc7b2005d496?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Better Man - Remastered,2B98ljvzqpCVgt5reTHq28,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Vitalogy,5pd9B3KQWKshHw4lnsSLNy,67,https://p.scdn.co/mp3-preview/58210f3687c253cc304fd276d20780638221606b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
