The Most Played Albums In KEXP's History,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2851,kexp_official
1,Search and Destroy - Iggy Pop Mix,00sydAz6PeOxYzwG1dRIPi,The Stooges,4BFMTELQyWJU1SwqcXMBm3,Raw Power,6mxbG8KrOTZIxlP4gzaliM,53,https://p.scdn.co/mp3-preview/a97333a82fe5bf028956ce0cca495ff2bef720f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,My Pen And Pad,2honGofr02NpCHjiw55iEj,Blackalicious,42Np3r8zXnaKcjLQsQSjyG,The Craft,2Yj68gAz1cESYUeznaWJfg,26,https://p.scdn.co/mp3-preview/5d8b49374a3229dbabbf88327f4030d813edf4fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Left Hand Free,4iEOVEULZRvmzYSZY2ViKN,alt-J,3XHO7cRUPCLOr6jwp8vsx5,This Is All Yours,4oktVvRuO1In9B7Hz0xm0a,64,https://p.scdn.co/mp3-preview/99b4aaddb6198c483b852d8d69f3ac545ea56675?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Asleep In The Back,2fXyhBKWxMX9cB4E9CGtRp,Elbow,0TJB3EE2efClsYIDQ8V2Jk,Asleep In The Back,3T49xNB5QF2hZOCCGQ3Mra,35,not available
5,It's The End Of The World As We Know It (And I Feel Fine),2oSpQ7QtIKTNFfA08Cy0ku,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Document (R.E.M. No. 5),6gMv3MgFlieOM6Uz5GZBzy,68,not available
6,Way You Walk,0DEQxhe1WPXreKouUHjCi2,Papas Fritas,0VuzNpZgUfptxkSGrhasIB,Buildings and Grounds,3BDXazI2fSpDMQDxGG26HS,26,not available
7,Vonal Declosion,1g8KRYaonu6rC2EkOD5lxC,Stereolab,3Rj0tDHoX7C5NFq5DKIpHt,Margerine Eclipse,5x8YrS5tsaZ6wsTZV0Vb5H,0,not available
8,Ocean Size,5lCjgHTEE7tbmzDVaCloGC,Jane's Addiction,02NfyD6AlLA12crYzw5YcR,Nothing's Shocking,4DVBJPJyizvHfJQt5pYaCa,42,https://p.scdn.co/mp3-preview/0e4f787ab992a87a6864e5aac0d0ef5a39b07ed1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Can You Get to That,5EPalJjcHK9hcihfCf8dgI,Funkadelic,450o9jw6AtiQlQkHCdH6Ru,Maggot Brain,1cDsLx993o1ozxr0oMRUR8,0,not available
10,I Get Lifted (feat. Fanny Franklin),6bTP4UXl1bnRCIHgTy9PhE,Orgone,4WmMnGO1nLIsE85XwcBAZE,The Killion Floor,4jCGmnbpLkDLE118cilS1y,39,https://p.scdn.co/mp3-preview/5742e01205fa1ee45be932fc78a267ceb7853435?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Don't Wanna Fight,2lrRWbiHPdBicufAqrGN3r,Alabama Shakes,16GcWuvvybAoaHr0NqT8Eh,Sound & Color,6TWqxofcKQaZ9gHI49G36P,42,not available
12,Washed Your Car,7Mq3wSrzUzSTVKCWcebNyW,Cloud Cult,6R1T5YklzC9OFugGt8RwOD,Advice From the Happy Hippopotamus,59sXMnBnngFXOkMtxDXa80,18,https://p.scdn.co/mp3-preview/5eb144a45f91c7bcb595e546c2f36fed88de9786?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"Get Me Away from Here, I’m Dying",4XkxGohiCJ2YZy6Ile2L59,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,If You’re Feeling Sinister,6dCg3NshlkeOJPyhPZG8Qa,28,https://p.scdn.co/mp3-preview/7b30e56fa749809dad6669d3f885c3ba8ae9fb25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"He's Simple, He's Dumb, He's The Pilot",6WDgN0IgzT40Ae08rCssLi,Grandaddy,3W4xM5XYtUp4ifYYPVKVdk,The Sophtware Slump,6wHbY5ExMciSpMaFNLOifg,43,not available
15,Punk as Fuck,6FcGBRTiMQMAY7g6xquoxg,The American Analog Set,376EkILFaF7BFBHr9Rzn7A,Know by Heart,2V3jlwKVWObfRDzgnL3E2S,33,https://p.scdn.co/mp3-preview/32f14c8138044f6bf860e0d2073134158aca73ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Life on Mars? - 2015 Remaster,3ZE3wv8V3w2T2f7nOCjV0N,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Hunky Dory (2015 Remastered Version),6fQElzBNTiEMGdIeY0hy5l,71,https://p.scdn.co/mp3-preview/8ec3a4b322c0df167ad409a668ceaa704fcbd1c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Protection,3kKVqFF4pv4EXeQe428zl2,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,Protection,5CnZjFfPDmxOX7KnWLLqpC,58,not available
18,Barnacles,3Khizgd763J4s63Gcv6D9u,Ugly Casanova,6LAwiATl5lQ3Uwh3llJpJI,Sharpen Your Teeth (Bonus Track Version),2OjkccSNDvlu24qZEVfRCD,41,https://p.scdn.co/mp3-preview/79bbd152ecf6db8d92733b285cf58638d4ab241c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Reservoir Park,4GGg9j2BF9dfD729PRZDFF,The Dutchess & The Duke,0Pqt0UDLpfUPo0zw6zezeF,"She's the Dutchess, He's the Duke",2ZZndeSxOpy24s0DMFspaB,0,not available
20,Godhopping,5Qp7UAfoilvlIwshjZWrUE,Dogs Die In Hot Cars,4JVT1I5OzHwHaQS7DcSclG,Please Describe Yourself,1zUZD4ZTNMkHlqRiLWirF6,20,not available
21,Loud Pipes,5ZrrXIYTvjXPKVQMjqaumR,Ratatat,57dN52uHvrHOxijzpIgu3E,Classics,2n5wpk7KaHpp3mgUYqpF4f,59,https://p.scdn.co/mp3-preview/5849558be3e21acb1a5f0a2e942ad764a8e70abc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Leave Home,4mFDB35IaTzrzqMn4spMqo,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Exit Planet Dust,1Bmuyq89rXZJNK1w8pauEg,47,not available
23,Life Is Better,4ihpHBBrKr6wpyAkhoyfmh,Q-Tip,3ZotbHeyVQKxQCPDJuQ4SU,The Renaissance,6V5Ct3kX5Yk74z4MLZB6h9,34,not available
24,Red Eyes,71jGGLe5VtEHjIk5dU2W3S,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,Lost In The Dream,14xxjLlbGy8ACm4MorBjD5,64,https://p.scdn.co/mp3-preview/8e9a8b60c2f9b392f48492301875ddbef4e48d60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Walk On the Wild Side,5p3JunprHCxClJjOmcLV8G,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,Transformer,5SqbMEyAt8332ISGiLX0St,75,https://p.scdn.co/mp3-preview/ba3b4fe65d5198801dc5853e1d9f26f3dc47e8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Edge of the Ocean,6KT2I8ZtIFLE8aFLBeF1pd,ivy,2TpNrO0G2ahji2IOR94TLA,Long Distance,6RS3YuPEykwG5tpFjazZ0K,43,https://p.scdn.co/mp3-preview/5a4b9c1523e93da3c185ccfd5548d3a83d4ff7ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Blindness,0hc6NkF8lv69qET3jP7Dph,The Fall,6WoTvA9qinpHtSRJuldYh6,Fall Heads Roll,6bttkLZjOp7WIthH4XOQ75,36,not available
28,Velouria,5RZX2iTXYE836twtGrXLST,Pixies,6zvul52xwTWzilBZl6BUbT,Bossanova,60cRh5MCFNOrFeQykKnDej,46,https://p.scdn.co/mp3-preview/b90b31a9c1f17514d6bed36ae02dce130c0f006d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,"Return to Sender - From ""Girls! Girls! Girls!""",3uwIoa2emQILz6BmH6MtiW,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Girls! Girls! Girls!,6wH0jlf2q1yCprUO5XWSdz,61,https://p.scdn.co/mp3-preview/bc26e58d6ef90d9c69373b717ebd0739dd09050f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Departures,3DGVnmh0tCGnRo08OvMEFr,The Karminsky Experience Inc.,5wQ8NSf1LdoOp1AVgSq0Jz,The Power of Suggestion,4y91I05zHWS07u46qa0O7B,29,https://p.scdn.co/mp3-preview/7fa45323abc71f872c16d22159bb8b57b132d952?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Molly's Chambers,5n0zgoPE7NJq1E8mbQd4Q6,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,Youth And Young Manhood,51syExDWBagenquHksTwGu,10,not available
32,Busy Earnin',07tOsOR7E9zW89v2FqzsdG,Jungle,59oA5WbbQvomJz2BuRG071,Jungle,7oZG5VZ4SukMmnylJ16O24,54,https://p.scdn.co/mp3-preview/aeb7f40920f48fd89460be0e5580cfa4d262ff6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,The Clash,3RGLhK1IP9jnYFH4BRFJBS,Combat Rock (Remastered),1ZH5g1RDq3GY1OvyD0w0s2,80,https://p.scdn.co/mp3-preview/670a419f7cb549ef6d3d7f9c5060ac6b8c112fa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Shake Our Tree,6MsAxVXUIwErunmXYU0xbb,The Rosebuds,1uatpkp2CbVMmQlMKFMAwe,Birds Make Good Neighbors,5JNsyuGr1MSR58d37Wigdm,13,https://p.scdn.co/mp3-preview/5ff6de51ed1b89617c47f1f77d2854398c163a92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,French Navy,0xVU3b2ZWl8cq8QuZ6oYPl,Camera Obscura,5gInJ5P5gQnOKPM3SUEVFt,My Maudlin Career,4MlYueB39zmkX1ScPAdczS,53,https://p.scdn.co/mp3-preview/4464dfb009fa92d39de279d45fa66647b85ddfe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Naked As We Came,2gUSIsapdX6jEJ0DvjqTt2,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Our Endless Numbered Days,20OPxsW0aYB6InxDImJRdt,22,not available
37,I Need A Dollar,5OA2EQqiP7r7Zcl6nw8ICW,Aloe Blacc,0id62QV2SZZfvBn9xpmuCl,Good Things,0fLkfeej5toC9uVtrOH8uS,2,not available
38,Seasons (Waiting On You),41X9To0bQ4fpoSRri4NHiI,Future Islands,1WvvwcQx0tj6NdDhZZ2zZz,Singles,1dKh4z5Aayt8FFDWjO5FDh,64,https://p.scdn.co/mp3-preview/cce3a73b0a845e15ea97a7e23b12660fe62fd5a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Dream All Day,6NQ9hBc6yra6j9fMbnMTS7,The Posies,5ZOh5D4MKLhU3GekPzNFam,Frosting On The Beater,72rfhFLb2C6Zo500hgoKq3,36,not available
40,The Sweat Descends,56qFMulG9LpJvnlTFXyKGi,Les Savy Fav,5DZBnxCYzs32O2bbqK8KNg,Inches,3HIvaDIxZHRFZsc6UkvoBV,27,https://p.scdn.co/mp3-preview/b231b7fe74ab3d5f1e93855014751fce8ee67c48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Fill in the Blank,1EALzILzmIPtRIvYyo6Lwm,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Denial,26DseQO366JfXwIP7dIgQj,56,https://p.scdn.co/mp3-preview/6205e3706cb2859ae208f87dae3e3c4d12ee87c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Stereo,0UZNRZ1OF8Wz3RllxaPFfb,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Brighten the Corners,748L9N8V8Mi15SByd6vHwD,31,https://p.scdn.co/mp3-preview/a57e9d4403f29ce6232bb121c852c9483cccb242?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Futile Devices,4VNWVzVj6QnNwasZBjPGdu,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,The Age of Adz,5U7GN7wM8nZKYeeOoYhPjC,56,https://p.scdn.co/mp3-preview/b7d930a5b6d413dedb4e2db1f802b8790adf0d16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Purple Yellow Red and Blue,4WMuY659P2MKnoW40oGXe8,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Evil Friends,6VoOCCv0bXPrTHDncJyIgF,60,https://p.scdn.co/mp3-preview/1bef5ae1d8d735dd4caf6d00c272ab1f80d2e85d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Weapon Of Choice,4gHO3eIuafI9QpZKvwqHWS,Black Rebel Motorcycle Club,1tpXaFf2F55E7kVJON4j4G,Baby 81,6LwDQs1eEiLdVmKSKL9Xlw,41,https://p.scdn.co/mp3-preview/e7c66554c9fbf7b18d25082bdffded20da6311be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Idea of Growing Old,48Az2X7ZsYZTyZgEDkif9q,The Features,3FaKHeTy1zMZVtQAvwaF0x,Exhibit A,0dBAPGkEr2BgFM9vmLCalC,35,not available
47,All My Days,3RPerpXuNznZbCuWYEBz5i,Alexi Murdoch,25mrbNwFzoqPWyYXLhiDRw,Time Without Consequence,3hQQHMrHUbkCokIf8PmcEU,63,not available
48,Until The Morning,20F3FcES8KU4kffMCkFgNN,Thievery Corporation,25KNo5GDS6ZpLkjasaecA3,The Richest Man In Babylon,7qJaVqhgiBtPLb9MOzwmZA,54,https://p.scdn.co/mp3-preview/3732c7475c8e72680adf87bb561de993d8b66c68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Lover I Don't Have To Love,1fPLarHjgMC9QlsHfPijbr,Bright Eyes,5o206eFLx38glA2bb4zqIU,"LIFTED Or The Story Is In The Soil, Keep Your Ear To The Ground",1ENRwqTHjFyEHod68CimVw,45,https://p.scdn.co/mp3-preview/a2fe894e8302a53dc4f73a35f9d6be90cfc1d8d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
