KEXP's Top 90.3 Albums of 2016,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,750,kexp_official
1,Lazarus,3Vn9oCZbdI1EMO7jxdz2Rc,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Blackstar,2w1YJXWMIco6EBf0CovvVN,59,https://p.scdn.co/mp3-preview/a8d5a6f1796b7896aefc89bc5d9cacc39ee7129a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,We The People....,3wUX7HpXS382s1DHTRouVk,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,We got it from Here... Thank You 4 Your service,3WvQpufOsPzkZvcSuynCf3,58,https://p.scdn.co/mp3-preview/33d620e9e6fc1896f1c8bd6292b325f05030aad1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Fill in the Blank,1EALzILzmIPtRIvYyo6Lwm,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Denial,26DseQO366JfXwIP7dIgQj,56,https://p.scdn.co/mp3-preview/6205e3706cb2859ae208f87dae3e3c4d12ee87c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Burn the Witch,3pcCifdPTc2BbqmWpEhtUd,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,A Moon Shaped Pool,6vuykQgDLUCiZ7YggIpLM9,59,https://p.scdn.co/mp3-preview/c5b0b198ee3f045960106e9957550e4610555d7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,29 #Strafford APTS,4VZM71F8XAoLRuNyNLxwWS,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"22, A Million",1PgfRdl3lPyACfUGH4pquG,63,https://p.scdn.co/mp3-preview/3511dd24d56b17c6b2906d7110275c4f01f81812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,You Want It Darker,5zb7npjQqoJ7Kcpq4yD9qn,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,You Want It Darker,3jeTB3j3QmUs8SPIVleHtU,62,https://p.scdn.co/mp3-preview/e922198e01ae3b8bf47a641e175961de07678449?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Shut Up Kiss Me,5uZLsGY9fknBd5Rxr7AIss,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,MY WOMAN,5M8xQaQZuW2LZGVXZ3mlKN,61,https://p.scdn.co/mp3-preview/418a6b2d206e2ebee3baa3c3fa34e70c825f4fd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Pink + White,3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Blonde,3mH6qwIy9crq0I9YQbOuDf,77,https://p.scdn.co/mp3-preview/3ebaac6d4686eea331d448a290941364b047b985?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,No Problem (feat. Lil Wayne & 2 Chainz),0v9Wz8o0BT8DU38R4ddjeH,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,Coloring Book,71QyofYesSsRMwFOTafnhB,74,https://p.scdn.co/mp3-preview/01adf736fae9dcac5dc1320daf12d8f58a273f4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Changes,3i85UIF4nR7qZXTnEwqdPr,Charles Bradley,462T0buQ5ScBUQCRpodDRf,Changes,4TiJdmV0Oh7GauOdmfrXNe,61,https://p.scdn.co/mp3-preview/51da26c057f05cdef90da3865635e262699a2c9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Hate the Weekend,2lCStc28NuNBBIH4pLyYtb,Tacocat,3h0MN1neFknEvlYKxFmSQW,Lost Time,0VYPxPMRu8D7PYvsCgwuRE,0,not available
12,Europe Is Lost,1X96inR7MEQoR3OTZl5Ues,Kate Tempest,1O3wYcUD08X9yb6J3xaw5M,Let Them Eat Chaos,30H5bBhF4CZucDq8YecOI8,0,not available
13,Come Down,276zciJ7Fg7Jk6Ta6QuLkp,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Malibu,4VFG1DOuTeDMBjBLZT7hCK,65,https://p.scdn.co/mp3-preview/62b4bdade7fd11d018f928774ae50f17b4a49be7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Secrets,4e617I1e8z0pCRgj9kjA2H,Deep Sea Diver,6CD0HbcaKmuVB3NHJJgSdH,Secrets,78Knm5wYin8WLZY0QVir00,32,https://p.scdn.co/mp3-preview/05ee91611f450af5242d09d33d51ae8bce978d12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,untitled 02 | 06.23.2014.,3I0FBDc1c1BLNtXWKVjmFg,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,untitled unmastered.,0kL3TYRsSXnu0iJvFO3rud,61,not available
16,Best to You,1p2TWJxUlHE5JR0sE6E1d7,Blood Orange,6LEeAFiJF8OuPx747e1wxR,Freetown Sound,3Z2XUjgVj5ZkCGpU7b2qtY,59,https://p.scdn.co/mp3-preview/4130b697210af42e4849ca9eae8ed87be467112d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
