Matador Picks: Belle and Sebastian,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,11,matadorrecords
1,Sister Buddha,3PbkfhTGceJS643NZUeHYx,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Sister Buddha,1lO2brT2RUbog6gBvwgcxI,51,https://p.scdn.co/mp3-preview/65f50cf6a20d222b223ff9cedf5489cb647c1de4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,We Were Beautiful,7cZlfPflMUQWHYMLoGSSyD,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,How To Solve Our Human Problems (Parts 1-3),47mkktJMT3Wiq9LHmrpblR,32,https://p.scdn.co/mp3-preview/80725652e212f1c86813cfc368ca23890c7531fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Piazza, New York Catcher",0WrRlCHmD7LzpJa8chDz2h,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Dear Catastrophe Waitress,6qj2BjAlUUK6pGNmRsC1fk,51,https://p.scdn.co/mp3-preview/5d84d349d91a97c08c2263ddc7e3b30c604e0e3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,The Model,5N7OhZjtrwSOckoIgS3g1D,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,"Fold Your Hands Child, You Walk Like A Peasant",00KoQRrSqWYpepHkAqy91w,20,not available
5,The Fox In The Snow,5MJdMFB6bBzovPwfX9kIBY,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,If You're Feeling Sinister,0cR6FGQSOUDEwwapI7yfQZ,28,not available
6,Electronic Renaissance,237UUaOUaei5KLwcpnqali,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Tigermilk,5OHv40uxVjNFuilXYmuAo5,25,not available
7,Winter Wooskie,1aBR4RE4WWk2XItlbZZdpr,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Push Barman To Open Old Wounds,7iuBgb8bbBcK91zospMebt,15,not available
8,A Summer Wasting,0FGOtYTxWqUSyZybbFxPmk,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Boy With The Arab Strap,3uhUPlgihiYPLc0Wuhy31V,26,not available
9,The Boy With The Arab Strap,48wMTk5P8xP4lRuVA5uLsD,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Boy With The Arab Strap,3uhUPlgihiYPLc0Wuhy31V,48,not available
10,Poor Boy (Radio Edit),5Z6DxJNKw4jUiSDy95A0fp,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Poor Boy (Radio Edit),0QtXSzonmfOkR6jWtle4T5,50,https://p.scdn.co/mp3-preview/f7c43731114a95999ab4b56d166e2717a920c458?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Nobody's Empire,5WFYmaA7GlusYCu8lrA8lV,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Girls in Peacetime Want to Dance,3Gy0FCDIx9MoliXd3YcTBt,45,https://p.scdn.co/mp3-preview/00b67efab3def054bb137d59e8a7f26344981a41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Slow Graffiti,4rPfuHvVjmGVWqaA3BMg3X,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Push Barman To Open Old Wounds,7iuBgb8bbBcK91zospMebt,16,not available
13,We Rule The School,5TNRl7pI1S2gwkBhdqtlBX,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Tigermilk,5OHv40uxVjNFuilXYmuAo5,25,not available
14,If You're Feeling Sinister,7DVWZrkGOEKRzv9ZxeGQDP,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,If You're Feeling Sinister,0cR6FGQSOUDEwwapI7yfQZ,34,not available
15,A Century Of Fakers,4SfURwW5J6LETPQJUjTKde,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Push Barman To Open Old Wounds,7iuBgb8bbBcK91zospMebt,17,not available
16,Sleep The Clock Around,63rPrnI0X6gU3US3KxKL64,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Boy With The Arab Strap,3uhUPlgihiYPLc0Wuhy31V,35,not available
17,I Fought In A War,1c5DXsddffaQgCOuwe5PfV,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,"Fold Your Hands Child, You Walk Like A Peasant",00KoQRrSqWYpepHkAqy91w,24,not available
18,Seeing Other People,5UEgfVAMpUCdALwBjfETw1,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,If You're Feeling Sinister,0cR6FGQSOUDEwwapI7yfQZ,33,not available
19,"Step Into My Office, Baby",53IPOSmJMkBGZjo98RYpZT,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Dear Catastrophe Waitress,6qj2BjAlUUK6pGNmRsC1fk,36,https://p.scdn.co/mp3-preview/f31965e2af09c3634af88684d59251ba517c379c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Dog On Wheels,3TvrhKKu6d3hqjbVPYrkFe,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Push Barman To Open Old Wounds,7iuBgb8bbBcK91zospMebt,20,not available
21,If You Find Yourself Caught In Love,1PbCBlU3w0VsutlQs3UI9h,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Dear Catastrophe Waitress,6qj2BjAlUUK6pGNmRsC1fk,28,https://p.scdn.co/mp3-preview/bc97464877a812e421ba44f7c2948d65a12f5f63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Wrong Girl,2gYvMKMRVA3mtcxr1cng2C,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,"Fold Your Hands Child, You Walk Like A Peasant",00KoQRrSqWYpepHkAqy91w,16,not available
23,It Could Have Been A Brilliant Career,0UDerYmScoVsACIOBzBaOg,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,The Boy With The Arab Strap,3uhUPlgihiYPLc0Wuhy31V,27,not available
24,Chalet Lines,3f1VtO5jOY7crSdMRIRL0w,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,"Fold Your Hands Child, You Walk Like A Peasant",00KoQRrSqWYpepHkAqy91w,15,not available
25,Put The Book Back On The Shelf,0QnM29ObB9KShdkfEG2mvN,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Push Barman To Open Old Wounds,7iuBgb8bbBcK91zospMebt,16,not available
26,"Get Me Away From Here, I'm Dying",5KJODqBbl51eURh8cLq0n5,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,If You're Feeling Sinister,0cR6FGQSOUDEwwapI7yfQZ,39,not available
