Girly Sound to Guyville: The 25th Anniversary Box Set,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,76,matadorrecords
1,"6'1"" (Remastered)",7k0ZKj4Wy9Z1OQyje7GF9O,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,36,https://p.scdn.co/mp3-preview/fbbe5b1eff4584839f24e341d6c8934fb2d8a220?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Help Me Mary (Remastered),1p1Y2TNLmpOrddEvFJGNN8,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,31,https://p.scdn.co/mp3-preview/3502d6579a545a3cdc172a1f658c3bd7b5785d7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Glory (Remastered),0daCsSSdNgANakSnjVaKYQ,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,30,https://p.scdn.co/mp3-preview/ca133f94372155e72f3f5a1fe493009300a7c0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dance of the Seven Veils (Remastered),3BgMCPtLLmz1poSLbKkQO2,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,30,https://p.scdn.co/mp3-preview/fc9f82db98c41877008755210d75fe89c185fdbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Never Said (Remastered),5jdZDi6ihFYZHbuOOBykFl,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,41,https://p.scdn.co/mp3-preview/01c2192c70af99082a5d0b151f96a2d32520f93e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Soap Star Joe (Remastered),0EL3vaRhe2xk7A0COSQC1u,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,29,https://p.scdn.co/mp3-preview/6a8070a3d1c397fcdb2d2829e4233fc53af80799?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Explain It to Me (Remastered),0tEugYIXY3nk9wxEWGPajR,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,30,https://p.scdn.co/mp3-preview/993b2bb9549fb581e38275469287e7d0604d2d6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Canary (Remastered),7fgkEC7i22EeUgNtQf451k,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,28,https://p.scdn.co/mp3-preview/41607de2b9b8311d09181001288e8bebaae7aa4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Mesmerizing (Remastered),6gcUlEegDn3ApIIfv9Mwds,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,35,https://p.scdn.co/mp3-preview/ea163f9bb77e880db9217527d1841030b72300a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Fuck and Run (Remastered),1dEv8KfhvSrwwmIC38uFZ3,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,48,https://p.scdn.co/mp3-preview/4a67ae92ba1adcd9610b10bdf2687b39b8248c7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Girls! Girls! Girls! (Remastered),760luZmaRLA2gME3DvCM51,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,29,https://p.scdn.co/mp3-preview/5ddac6f1faa9b6aed4173a2718db01cacd8ca168?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Divorce Song (Remastered),5ZUL5ZYqx2ycNYlNVhuaFD,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,37,https://p.scdn.co/mp3-preview/fa69746c03f1e6411fec2764660a1ac113b96285?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Shatter (Remastered),2S2y5fai1cK6VYpwMHOq0a,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,29,https://p.scdn.co/mp3-preview/bea508896e08f93a97ac76576cc1b1c2b46fac18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Flower (Remastered),7Bjnaz4sHvHlaYrpKMerEK,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,33,https://p.scdn.co/mp3-preview/582d726613b9d6a52bba59eeb82abdffe82dadd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Johnny Sunshine (Remastered),4Da1wifhr9gaVq72ORjSQ9,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,27,https://p.scdn.co/mp3-preview/9b48e8a20bb58f1d4842f941b550a7bd8c48984d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Gunshy (Remastered),0OaiPeIGz0gxgS8vAt4WiE,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville (Remastered),444zYF83XQOTXmjke2JWU9,25,https://p.scdn.co/mp3-preview/5070889698f7f597dd69226b46dfea24235e1ea2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
