Matador Picks: Steve Gunn,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,12,matadorrecords
1,Vagabond,5gDZbPycrRPF5mC4voMg89,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,Vagabond,7M1Yb3WGDWPKU2tf4Q3kX2,25,https://p.scdn.co/mp3-preview/136d82d4bc7ac07973d18307ba1693c9ee156030?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,New Moon,69RVRzm0NGlg1qi7GgA5J5,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,New Moon,7fTjGWzWtuslYB5DBzOrZC,33,https://p.scdn.co/mp3-preview/f70dfa8722f8d555fff300e9809b3a8378922d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ancient Jules,5Kpj6VCY7ZuUIYhdNJwKOC,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,Eyes On The Lines,50Ul1rF4oMcwGt0GcmM9Hd,39,https://p.scdn.co/mp3-preview/7b07e28efe8a97355678458800875da592676e5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Wildwood,3Q86wzxsvb9ZTEw0p3dX68,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,Way Out Weather,38Bi4UTXA7jSDGrCVkUmHZ,23,https://p.scdn.co/mp3-preview/de9179d03e7ba87c18eaaa5a1eca6eb79e8f6659?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Heavy Sails,1ETcoQrbSFI5fR5vbGK6V4,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,Eyes On The Lines,50Ul1rF4oMcwGt0GcmM9Hd,21,https://p.scdn.co/mp3-preview/ec056c9a2e523bdf4611b70760d2e409ab423ef0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The Soloist,5i3TtrOlE12tZ7XzorYAQv,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,Ancient Jules,4KAAXl6CbqqHdYxRmi4941,12,https://p.scdn.co/mp3-preview/ff1031a74f03c75e5ef9ce3923a1a91e0b548865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Way Out Weather,7hNf0MuZV96wFfQlAwBAuc,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,Way Out Weather,38Bi4UTXA7jSDGrCVkUmHZ,34,https://p.scdn.co/mp3-preview/79453f608bec7adc22140194b7532d702f4c6e1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Dusted Mind,7cwnz546N6CBJMF3pBJFa5,Steve Gunn,7uLXW75DlTRahz2WKJZGeO,Boerum Palace,3b22LLzSIvpzrQEPHS3eWM,5,not available
9,The Sun Comes Up A Purple Diamond,1nU4Y8C3DUpkzZcxz45Dja,Golden Gunn,75qyYFcGjTEN9ey2XQufzo,Golden Gunn,61u9RDTpOPvgFdthMokTIL,1,not available
