Matador Picks: Pavement,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,10,matadorrecords
1,Gold Soundz,0IVT2zUgpMzyEx2TTM1HgB,Pavement,3inCNiUr4R6XQ3W43s9Aqi,"Crooked Rain, Crooked Rain: LA's Desert Origins",4YqxiKEVG0OuwX0g2XWW99,33,https://p.scdn.co/mp3-preview/80a42911cb54ffff7fcb26ecc21234728c722209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Grounded,70DNht3RyZ2SSied9TdJV8,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Wowee Zowee: Sordid Sentinels Edition,2k2jw7nplHgQoYo0wn93RT,37,https://p.scdn.co/mp3-preview/3be76c22e26bc15aa3658c61880089fc8d0541a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Trigger Cut/Wounded-Kite At :17,5U3rofqVuMLqJfvqCMJg7W,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Slanted & Enchanted,3EdtFWfLmkT5mC1QFXgqIW,33,https://p.scdn.co/mp3-preview/eb5d6afe1990a3fd3fb467ebfc1c5a9fe4936ab3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Shady Lane,4DwcFXjE2gsch95k2ojHRu,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Brighten the Corners,748L9N8V8Mi15SByd6vHwD,40,https://p.scdn.co/mp3-preview/d7e1c25fa577524af31b76650d06717ed94b4def?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Spit on a Stranger,05l9N6SnERhSdH8XQR5TjK,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Terror Twilight,4bBe2R6eVr2jteHwVJxBIZ,45,https://p.scdn.co/mp3-preview/79d032e58f844a63a133d06aa5d6f15275112165?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Unfair,2zbsbx2N8r3ZIshiqvNO2g,Pavement,3inCNiUr4R6XQ3W43s9Aqi,"Crooked Rain, Crooked Rain: LA's Desert Origins",4YqxiKEVG0OuwX0g2XWW99,31,https://p.scdn.co/mp3-preview/864fc7b396b9cab0c28e88b81fd600d4db1db6a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Debris Slide,3qRnjMR3Cb61sfFuLw43oZ,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Westing (By Musket And Sextant),3aEmPmyCjnjrSTcyhdtQNL,13,https://p.scdn.co/mp3-preview/5164a90dbe0b7b5d32b1f5ed6dffe7197e3f553e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Shoot The Singer (1 Sick Verse),4Nd39zHk7XVKsm32NDcVtZ,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Slanted & Enchanted: Luxe & Reduxe,2zeCJvQRgrZu1vDSXwabRl,21,https://p.scdn.co/mp3-preview/0c938ea9abfddcf1e6d9c57408e16f4c663d3701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Rattled By The Rush,3CAuAo2rlsdCclQbzKJpAm,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Wowee Zowee: Sordid Sentinels Edition,2k2jw7nplHgQoYo0wn93RT,21,https://p.scdn.co/mp3-preview/c93a95566f46cda6487d3eddead5eb8e2c61faba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Silence Kid,4UOcfhMlBDwhlrCa12qIca,Pavement,3inCNiUr4R6XQ3W43s9Aqi,"Crooked Rain, Crooked Rain: LA's Desert Origins",4YqxiKEVG0OuwX0g2XWW99,33,https://p.scdn.co/mp3-preview/3e18ed51429086ec6407dc0f9585b4f896e08f98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Blue Hawaiian,08YKyb8uuZoV9EEsCKb8T1,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Brighten the Corners,748L9N8V8Mi15SByd6vHwD,34,https://p.scdn.co/mp3-preview/4fac88f52f756c6e71324dd05fae48f8a2482e0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Billie,6tMPFKeoOM41rJuSa99Wnn,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Terror Twilight,4bBe2R6eVr2jteHwVJxBIZ,25,https://p.scdn.co/mp3-preview/ebd2e536e8ea9c213ef9807c8f70ecd03eb3c304?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Kennel District,4pC2iiqan1DlqiFqHcOwRb,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Wowee Zowee: Sordid Sentinels Edition,2k2jw7nplHgQoYo0wn93RT,16,https://p.scdn.co/mp3-preview/778e54e1b1fb5ff78b3de1eb7cc69709fa9911b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
