Matador Picks: Spoon,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6,matadorrecords
1,No Bullets Spent,2atf946FbB7wpXr2Kwdx1t,Spoon,0K1q0nXQ8is36PzOKAMbNe,No Bullets Spent,4MMH177sCQHkE5lpK46Om6,59,https://p.scdn.co/mp3-preview/5c55f9646752e75608419586413ff73e1e504474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Do I Have to Talk You Into It,0EH6BeGSEWtbETiOAYr3sN,Spoon,0K1q0nXQ8is36PzOKAMbNe,Hot Thoughts,25Z3GFmKx6ntosMpCSngnI,50,https://p.scdn.co/mp3-preview/9660afa29b3a7f4603525be96cf1e6d159502083?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Inside Out,7qCZgvV98j6RjUULW1s1it,Spoon,0K1q0nXQ8is36PzOKAMbNe,They Want My Soul,55TZx6GWm1hlEbRgkGRjma,63,not available
4,The Two Sides of Monsieur Valentine,6jB7Er6az1vwSxFMkjqoRR,Spoon,0K1q0nXQ8is36PzOKAMbNe,Gimme Fiction (Deluxe Edition),3VfwgheyI86T9yto1b1M5H,23,https://p.scdn.co/mp3-preview/4d21fce768e6ba36079a7d188f601ac25decdc91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Don't You Evah,7BL20x1o7Xp13doge3OeRP,Spoon,0K1q0nXQ8is36PzOKAMbNe,Ga Ga Ga Ga Ga (2017 Remaster),3k4KtMTnGJsnqTt0AHEmnw,55,https://p.scdn.co/mp3-preview/8e709b2d4c929b9eb97b7ed0d7812709d1e8e5e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hot Thoughts,70x1x9NbSJJXkrgvIyyAVX,Spoon,0K1q0nXQ8is36PzOKAMbNe,Hot Thoughts,25Z3GFmKx6ntosMpCSngnI,56,https://p.scdn.co/mp3-preview/f4351e15010139e1312b732095f40e64e15346a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Dismember,0faNDelSWRE0rudziVFCK9,Spoon,0K1q0nXQ8is36PzOKAMbNe,Telephono,54lFveSrPVMPDnZYNA6GBM,7,not available
8,The Way We Get By,141UpF0ofvBWm3r5JQwZ83,Spoon,0K1q0nXQ8is36PzOKAMbNe,Kill the Moonlight,0v3Pue4UjRmcwluqtcXw79,43,not available
9,Trouble Comes Running,5a2Os6lBC2S8BPdkJ8LYqb,Spoon,0K1q0nXQ8is36PzOKAMbNe,Transference,2laFBdVKIFTExgJ46dsRna,26,not available
10,I Could See the Dude,3Z1Sabv5uXYTza7mEoc0Tg,Spoon,0K1q0nXQ8is36PzOKAMbNe,Soft Effects,4VI1ur2AXhTJZYCPmsorgi,5,not available
11,I Ain't the One,2DncVCuvsWRueBrgkjMuHI,Spoon,0K1q0nXQ8is36PzOKAMbNe,Hot Thoughts,25Z3GFmKx6ntosMpCSngnI,45,https://p.scdn.co/mp3-preview/5cf32ac8f23e9a7fe364cc57c5d8f3562506774b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Metal Detektor,6ibSQgA5pbxVFmQyaU9NeI,Spoon,0K1q0nXQ8is36PzOKAMbNe,A Series of Sneaks,3ezjtXlrFtt2hDZOgnM3EQ,14,not available
13,Anything You Want,3nitZCvnTwDu8uXbwvUxvV,Spoon,0K1q0nXQ8is36PzOKAMbNe,Girls Can Tell,1hUGL6I8U1hYzsapYlG5b8,34,not available
14,Sister Jack,0lMA6N0evhtmvVTzhinvZX,Spoon,0K1q0nXQ8is36PzOKAMbNe,Gimme Fiction (Deluxe Edition),3VfwgheyI86T9yto1b1M5H,21,https://p.scdn.co/mp3-preview/e7b0d0692fbe3891d97a5247d280e23b7615d8dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,My Little Japanese Cigarette Case,1ZRqVJjwzlNNxWKfpTpUKJ,Spoon,0K1q0nXQ8is36PzOKAMbNe,Ga Ga Ga Ga Ga (2017 Remaster),3k4KtMTnGJsnqTt0AHEmnw,33,https://p.scdn.co/mp3-preview/952d855cf62d421647ca3e014bf467fff2873fd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Reservations,10EuQNeze8knmL1d6T7cHK,Spoon,0K1q0nXQ8is36PzOKAMbNe,A Series of Sneaks,3ezjtXlrFtt2hDZOgnM3EQ,9,not available
17,Everything Hits at Once,20gPDGp75RlBO8ojAytv5y,Spoon,0K1q0nXQ8is36PzOKAMbNe,Girls Can Tell,1hUGL6I8U1hYzsapYlG5b8,36,not available
18,All The Negatives Have Been Destroyed,2igBPndKjVG1o7lCucGylz,Spoon,0K1q0nXQ8is36PzOKAMbNe,Telephono,54lFveSrPVMPDnZYNA6GBM,7,not available
19,Is Love Forever?,3YBLAW1bQ0X0CYk3v70RK9,Spoon,0K1q0nXQ8is36PzOKAMbNe,Transference,2laFBdVKIFTExgJ46dsRna,24,not available
20,Someone Something,0PgpeaBrq0qJDaEUkWur8D,Spoon,0K1q0nXQ8is36PzOKAMbNe,Kill the Moonlight,0v3Pue4UjRmcwluqtcXw79,16,not available
21,Dracula's Cigarette,3HRm2l94KfkzRhj7YCm8eA,Spoon,0K1q0nXQ8is36PzOKAMbNe,Get Nice!,4wLFFfFbe5q8hcNGkyWfF3,15,https://p.scdn.co/mp3-preview/b75e6bad0ef119a30738acaa152d3a44f0acc6b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Outlier,7duqosiNKCopVlwpVZs1Kk,Spoon,0K1q0nXQ8is36PzOKAMbNe,They Want My Soul,55TZx6GWm1hlEbRgkGRjma,34,not available
23,Can I Sit Next to You (Ad-Rock Remix),55HtIvCINASHPwMZu3nddE,Spoon,0K1q0nXQ8is36PzOKAMbNe,Can I Sit Next to You (Ad-Rock Remix),0qrXFt6tbsDoyuKNs9WKIf,24,https://p.scdn.co/mp3-preview/389609db6860fcc4138105b82395969fd9be7456?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,I Turn My Camera On (John McEntire Remix),5BKRjATZYSXa1meYOq0XOC,Spoon,0K1q0nXQ8is36PzOKAMbNe,Sister Jack,6X0Vzx7i9zL5x7KwO7xCTT,13,https://p.scdn.co/mp3-preview/e71835ec6b7ebbb935caa86fe3cfe9a8f7a5d48f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Hot Thoughts (David Andrew Sitek Remix),0hodx3dOIKdmHA3crrWR1M,Spoon,0K1q0nXQ8is36PzOKAMbNe,Hot Thoughts (David Andrew Sitek Remix),6HJCZBoPxK0ulghKgk8ECS,16,https://p.scdn.co/mp3-preview/f4589dcdbd61f1d60ca28dd068f6dcc93cbf8cb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
