Matador Picks: Julien Baker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6,matadorrecords
1,Red Door,1MCANaP77tr4qjaQOuprvP,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Red Door / Conversation Piece,59cUm8txjeDIaPgSUGWgRY,44,https://p.scdn.co/mp3-preview/8128ea4fdf44749eeeb44476d27e0d683c7d5831?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Over,6A1Z9boU1zGmvHAWL8rYwv,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Turn Out the Lights,3uIsEwFYYV4rwRssSEJ8Lb,38,https://p.scdn.co/mp3-preview/32c4efbfa00769dca1097ac739337c2b6c520193?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Appointments,46Vogr8UvzcVPAgDvBpDIr,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Turn Out the Lights,3uIsEwFYYV4rwRssSEJ8Lb,53,https://p.scdn.co/mp3-preview/ffe52a764e5f26aa5c4a547cc6e78d0c6d3b0048?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Stay Down,3dOea4clsrBo0I0Fcz3R9I,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Stay Down,0WeHqVpjM0DyjdmcLRLyGO,0,not available
5,Turn Out the Lights,53z0nEZgRnavzH7QbSrO2a,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Turn Out the Lights,3uIsEwFYYV4rwRssSEJ8Lb,46,https://p.scdn.co/mp3-preview/c7ed8c24754ffc6ea3407be782e09e3d210be6ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Everybody Does,5h9NOj6ug1uB4LkT5FrFrm,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Sprained Ankle,4dRzxZm69k9s0nzKmKb8Gj,41,https://p.scdn.co/mp3-preview/e058f7cd6d3ef80c260fa3aad9dfb0f494a2dbdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Funeral Pyre,3ZReTtt0VD8uMGbpUTUy6q,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Funeral Pyre,0xFkpBNO5CfMNys5vslj0l,38,https://p.scdn.co/mp3-preview/fe25f65637b61dae0d0b120fcadd28b3f31e95e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Shadowboxing,5EIg6kbLwIfmxw49M6zTOZ,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Turn Out the Lights,3uIsEwFYYV4rwRssSEJ8Lb,42,https://p.scdn.co/mp3-preview/d44816c57872d0e7af27e1638e9fa38ebc49132a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Sprained Ankle,5mHTg6cqhyP0BmsTQKzN1X,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Sprained Ankle,4dRzxZm69k9s0nzKmKb8Gj,44,https://p.scdn.co/mp3-preview/79a33257692c5e5ca5c5257029322a2692902a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Hurt Less,02vKLqcImboupwm6S8TXiC,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Turn Out the Lights,3uIsEwFYYV4rwRssSEJ8Lb,41,https://p.scdn.co/mp3-preview/35fb814716bd3b34130e8e3acbde9c1d17948920?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Bad Things To Such Good People,5oZCfhLhrdmlQm9JMJDJ2N,Manchester Orchestra,5wFXmYsg3KFJ8BDsQudJ4f,Bad Things To Such Good People,0OnRfe1K9uCEKvN6CTybq0,39,not available
12,Go Home - Audiotree Live Version,09siGbzRUQYwVhYw3QaOl1,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Julien Baker on Audiotree Live,7e8f5OShadJ1int0R3ERi0,25,https://p.scdn.co/mp3-preview/ab5bcc922df7c02a7455d23a5d13e1d760efa475?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Blacktop,0dFf2G2Q5SdYbvcLDK58EB,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Sprained Ankle,4dRzxZm69k9s0nzKmKb8Gj,41,https://p.scdn.co/mp3-preview/6620313deed45712eff0aa91c1cc14ad7580b01b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
