Matador Picks: Queens of the Stone Age,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3,matadorrecords
1,Domesticated Animals,5NbMimOzRykGsE1tVHDtKV,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Villains,6JdX9MGiEMypqYLMKyIE8a,53,https://p.scdn.co/mp3-preview/f25d9c4827d20685d85c710047273395db783103?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,No One Knows,6NvRxjfYkkT2SpirAlmsjH,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Songs For The Deaf,58HZZpS0wxJKwGjoerg0mk,67,not available
3,The Evil Has Landed,763LDHO3wYOI7GzXS7uBwU,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Villains,6JdX9MGiEMypqYLMKyIE8a,57,https://p.scdn.co/mp3-preview/11485f36e3f155c1143aa7074911b5a2d63de92e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Smooth Sailing,1Dhi8OBMSyukjUQ93uBfNz,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,...Like Clockwork,06S2JBsr4U1Dz3YaenPdVq,56,https://p.scdn.co/mp3-preview/d8afb02a05b3853eb7335bb64f10eba72974fa1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,My God Is the Sun,6PTX3VBvmHPxiu46VpAHur,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,My God Is the Sun,2R9qnjmcjft2UZ5qoFMieY,31,https://p.scdn.co/mp3-preview/cbc9edb84d93fc9ce6ae15173f87cc5b1404087a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,In The Fade,4KGdFDc2InqRHYCZt4svYc,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Rated R,05tJhGl52X4zGe0ySlcBk6,41,not available
7,Head Like A Haunted House,3Ikx48PUIc4w36Li5Lhw0h,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Villains,6JdX9MGiEMypqYLMKyIE8a,53,https://p.scdn.co/mp3-preview/a7adf2d8da07411a0aa96851bf57ef57c5790680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Go With The Flow,45DElIx0dXqUH4A88yQFdE,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Songs For The Deaf,58HZZpS0wxJKwGjoerg0mk,59,not available
9,The Lost Art Of Keeping A Secret,6FlAJtf8aSZOpEj9ITSfYh,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Rated R - Deluxe Edition,10UBEkRjqtl0iT2BRAwcto,58,not available
10,Better Living Through Chemistry,1wI3o34hijAIHpjrilLqaL,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Rated R,05tJhGl52X4zGe0ySlcBk6,43,not available
11,I Appear Missing,6mfKEPTYiBAYZ9z0429jsp,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,...Like Clockwork,06S2JBsr4U1Dz3YaenPdVq,55,https://p.scdn.co/mp3-preview/273df87521eec0182bee915da4a16f2e62fcfbbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Feet Don't Fail Me,2JB7PvDV0R3Vwbq0iy1WPe,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Villains,6JdX9MGiEMypqYLMKyIE8a,61,https://p.scdn.co/mp3-preview/d847eb194c89d605fe867d62df43442b185bb957?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",68DKrU7sTyDpDA5T3dsOlk,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Songs For The Deaf,58HZZpS0wxJKwGjoerg0mk,50,not available
14,Feel Good Hit Of The Summer,7qTZ3NYt0p2Bdyaq4YS6UL,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Rated R,05tJhGl52X4zGe0ySlcBk6,47,not available
15,Song For The Dead,66UbHESsyfaXdoxlqVBa1T,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Songs For The Deaf,58HZZpS0wxJKwGjoerg0mk,49,not available
