Matador Picks: Lucy Dacus,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4,matadorrecords
1,Forever Half Mast,3yAg2gIwcElgEyypgG0YVZ,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Forever Half Mast,2jV9k0kdnMxl1yXiHjGA82,51,https://p.scdn.co/mp3-preview/ed0b9449f47aa2433cf701daac1aed30aa1d3097?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,My Mother & I,2KYaAF4k5YOvbYmlyHazfO,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,My Mother & I,4lehyaS1be4T9U8Wu1aaoB,45,https://p.scdn.co/mp3-preview/8e661e8bc22bcae321a4e73536b8b985fe4d13f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,La Vie En Rose,0d4qCmNoQ7D8Hv0azn7Ozu,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,La Vie En Rose,238gzyCPHIjz1GxXqdOY6T,54,https://p.scdn.co/mp3-preview/1339464e08be1f70853b9ef6a355cd7e689b7269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Night Shift,2AF5Kzxb4pz7j79Ity84pP,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Historian,01GO03odsNlNLtvNETukWT,62,https://p.scdn.co/mp3-preview/11ff58f96758165ae3d0580925fe74b3852b4aab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Bite The Hand,7C3YYfBetVMMYxBu6QTb3c,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Bite The Hand,2WzybRE5n1lgRAckI3dWpL,1,not available
6,Addictions,5qG98CKl8EzK0ljRJzgOAF,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Historian,01GO03odsNlNLtvNETukWT,47,https://p.scdn.co/mp3-preview/5815468848c527be7cf6fde91e572f2571949585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,I Don't Wanna Be Funny Anymore,0kwBATkVUAG7JRMEosNUUs,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,No Burden,6Ru52lwXvbPaAMSdyPOFsL,56,https://p.scdn.co/mp3-preview/956c8b58aba8433f800f42b04be0a63e57b564d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Yours & Mine,6eLVRsx7unP0v4WOfHMNGZ,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Historian,01GO03odsNlNLtvNETukWT,51,https://p.scdn.co/mp3-preview/520f92f57707846e678d5d63807436ecc82f2714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,...Familiar Place,0lp0bQqzyLmNNHHFYRaaJf,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,No Burden,6Ru52lwXvbPaAMSdyPOFsL,58,https://p.scdn.co/mp3-preview/fc936acfac94c4d705ebff9f84e807d57ae1e106?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Strange Torpedo - Audiotree Live Version,3sPLMYksmnZtYK2a7xu20I,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Lucy Dacus on Audiotree Live,1ux4vhh7hYn7aLfmqXg0WN,22,https://p.scdn.co/mp3-preview/cab5fbcd068735de133ec4c4ebd9c9f88f4ad4c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Next of Kin,6usbIdhFbsPWEBK2VcXnZz,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Historian,01GO03odsNlNLtvNETukWT,40,https://p.scdn.co/mp3-preview/c4f1494d933e7f7b05fb4a0b33564a1545173b8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Troublemaker Doppelgänger,2BzYdX5VGhnPowrqorZRk7,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,No Burden,6Ru52lwXvbPaAMSdyPOFsL,48,https://p.scdn.co/mp3-preview/0efe8cd860126d6f4bc1794ef954cfa4414984f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Direct Address - Audiotree Live Version,7g2TeBHba0bo9g6I6nPEIk,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Lucy Dacus on Audiotree Live,1ux4vhh7hYn7aLfmqXg0WN,22,https://p.scdn.co/mp3-preview/af4a8fc4afe67db4b92b1a34abd5a80c86dba18e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Map On A Wall,7biA5cfHZ8dkWo6MDqojXT,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,No Burden,6Ru52lwXvbPaAMSdyPOFsL,36,https://p.scdn.co/mp3-preview/a5be8faf1d0c3f019a7ae22e3d43147bccc96481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Historians,3mzl34qGCYzV7bfF3X6OgP,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Historian,01GO03odsNlNLtvNETukWT,39,https://p.scdn.co/mp3-preview/3b5c9a75a9dbf60189eae06a9f2d1691cf2661b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
