Matador Picks: Cat Power,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7,matadorrecords
1,The Greatest,6CAG3rBGPTAinoqgVD7fBJ,Cat Power,6G7OerKc3eBO9sVkRNopFC,The Greatest,2ErZHHnKWGdpUWCwYLjHxU,61,https://p.scdn.co/mp3-preview/d0fbb20ff60437d7c4c7eb8a8e4efd3cdb8f6e8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cherokee,5hhkALqXJpAFGKbtOBuIy8,Cat Power,6G7OerKc3eBO9sVkRNopFC,Sun,2JQgZJD5VKJkBMHBCkGQO0,45,https://p.scdn.co/mp3-preview/648979c4472e3033fea07563dc4cb9cd0e9b43e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,He War,7a1QS7lnEtrTfBVAdH97Y8,Cat Power,6G7OerKc3eBO9sVkRNopFC,You Are Free,38CsAH6IM7fKMN0XnZReR6,44,https://p.scdn.co/mp3-preview/e5c73901133772132bd76186d72b36b92a265db1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,American Flag,2N8jxf7r3Y68AToge7CcUV,Cat Power,6G7OerKc3eBO9sVkRNopFC,Moon Pix,0PBUZ2KHPp5Q9fybGuT2ry,31,https://p.scdn.co/mp3-preview/abc70635d2eab9337ba55f211b05d1a971e13277?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,(I Can't Get No) Satisfaction,6NTNGqmF2lCfu7l3CPuMLe,Cat Power,6G7OerKc3eBO9sVkRNopFC,The Covers Record,5FbcUqv44TZnt8Ox6bzzZT,48,https://p.scdn.co/mp3-preview/08d244e4fa2a896e4763437143be514807d20923?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Could We,4dRe4rlOOHIhigsxIoOu6c,Cat Power,6G7OerKc3eBO9sVkRNopFC,The Greatest,2ErZHHnKWGdpUWCwYLjHxU,36,https://p.scdn.co/mp3-preview/7a76b4098beca6de94bf6ced7b8d7fb43957d901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Still In Love,5VbWuWX0XUJu3ZC2BjG5JC,Cat Power,6G7OerKc3eBO9sVkRNopFC,Myra Lee,6PL6ypUuA52EvfZ0xJO7x7,30,https://p.scdn.co/mp3-preview/45166ecb298d6d5f71607085295d72949a53a6ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Nude As the News,3aei1LDjspbt82vLTY93aW,Cat Power,6G7OerKc3eBO9sVkRNopFC,What Would the Community Think,5tbykpeXPR1kEeveI0xOzK,38,https://p.scdn.co/mp3-preview/3bc9df9cd75a3ff568d90fce6ad2e3be90112af0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Good Woman,3Y79ZkD0H0AkHukqfSMkbg,Cat Power,6G7OerKc3eBO9sVkRNopFC,You Are Free,38CsAH6IM7fKMN0XnZReR6,42,https://p.scdn.co/mp3-preview/e89b60254903117cce054b080a2d74fd5a5ad2a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,New York,3wMAPssB0CSOaHMqYTWeBA,Cat Power,6G7OerKc3eBO9sVkRNopFC,Jukebox (Deluxe Edition),49tkev5O9V4ZIv1sqici3y,34,https://p.scdn.co/mp3-preview/a49d9845caf7148abda862aa0cd345d5f2083f12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Always On My Own,6NvGIJ1X48InkYvSx0bTgN,Cat Power,6G7OerKc3eBO9sVkRNopFC,Sun,2JQgZJD5VKJkBMHBCkGQO0,28,https://p.scdn.co/mp3-preview/796655078ced6ad8b2c430321423bbaec9bef8e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,3 Times,7cdb4CBToSYRTSW14pLV8u,Cat Power,6G7OerKc3eBO9sVkRNopFC,Dear Sir,1ZzviUcCxxTTH66SPcoFUm,19,https://p.scdn.co/mp3-preview/08c756e0b31aadb3588e65f8233da266e32e0bfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Sweedeedee,2UIpBt74IpnaIIzPqRTy7A,Cat Power,6G7OerKc3eBO9sVkRNopFC,The Covers Record,5FbcUqv44TZnt8Ox6bzzZT,30,https://p.scdn.co/mp3-preview/b352d539325083dcc32c4362ad7c8415f9496b54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Cross Bones Style,4DppGM42Nkckgnv4uJVLze,Cat Power,6G7OerKc3eBO9sVkRNopFC,Moon Pix,0PBUZ2KHPp5Q9fybGuT2ry,40,https://p.scdn.co/mp3-preview/10baee6cb4d76ea62bd4e6455d3330a1900030eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,King Rides By,7dd5v8QADPEQeXwF1rM2Hm,Cat Power,6G7OerKc3eBO9sVkRNopFC,What Would the Community Think,5tbykpeXPR1kEeveI0xOzK,24,https://p.scdn.co/mp3-preview/eaefbecaec09a1f1da0570428993c99a2a0d1dc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,I've Been Thinking,3mT1AONeTJDi1k8vH8pA2L,Handsome Boy Modeling School,3pkmfqaBNsMqnXus05PNfP,White People,6XBKxM9rbzyOBP6gpE0qhd,46,https://p.scdn.co/mp3-preview/044371c130478ec91088a2a7eb38b3bd41aec5f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Song To Bobby,13blwSPFQowWAn01a1Ytj6,Cat Power,6G7OerKc3eBO9sVkRNopFC,Jukebox (Deluxe Edition),49tkev5O9V4ZIv1sqici3y,25,https://p.scdn.co/mp3-preview/2827a3319b6d3334d0f8e6aa97ab68e9ef027e2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Schizophrenia’s Weighted Me Down,7wOrHEgzqscahPr7u7ZIjV,Cat Power,6G7OerKc3eBO9sVkRNopFC,Nude As The News,2bWgYJ1HlY8QxLledqyzuk,11,https://p.scdn.co/mp3-preview/97f2dd275d79e0c6776e90e70f0bbd02ea97cca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The Sleepwalker,5qz3v1JbOQGKS1NJQZy6G7,Cat Power,6G7OerKc3eBO9sVkRNopFC,Dear Sir,1ZzviUcCxxTTH66SPcoFUm,17,https://p.scdn.co/mp3-preview/b2180a1b17ab3495d3a63c585ea0ed6dbdd4333f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Rockets,1ujCsKssVQtv9A2sNaeKAy,Cat Power,6G7OerKc3eBO9sVkRNopFC,Myra Lee,6PL6ypUuA52EvfZ0xJO7x7,21,https://p.scdn.co/mp3-preview/8b7b7aa8aa3e4f01fb7deda015513ed3244d2d12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Keep On Runnin' (Crawlin' Black Spider),7y1z3weBPbfziXD17yBogM,Cat Power,6G7OerKc3eBO9sVkRNopFC,You Are Free,38CsAH6IM7fKMN0XnZReR6,28,https://p.scdn.co/mp3-preview/9ee67d072c8418c5a0a4dbea2b06afcc0ecc1697?cid=fa83a2fec7c440b7a2795d600d6b2c7e
