Matador Picks: Iceage,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,14,matadorrecords
1,Hurrah,0KXPx2e7up8Fl7wWjKWOJj,Iceage,03hlOXqRyyXO3ectp3eEbU,Beyondless,5H8wFFblf7YvGc7LbBzuR9,37,https://p.scdn.co/mp3-preview/1a9da59a161bc5d81827cba46b098c0e9d172440?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Lord's Favorite,4I2LbmU2yiY2p6m5gJRcRy,Iceage,03hlOXqRyyXO3ectp3eEbU,Plowing Into the Field of Love,2zFpmXJsyl4HnMY1hZcfIe,35,https://p.scdn.co/mp3-preview/5103ec6346ceee4771d8fefa639bcca157d32349?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Pain Killer,2V4U5hZOUnY1jzhNZpcrAD,Iceage,03hlOXqRyyXO3ectp3eEbU,Beyondless,5H8wFFblf7YvGc7LbBzuR9,42,https://p.scdn.co/mp3-preview/620c78eb05e53aa621a1465656246deb1bd48c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Coalition,1lZpLrKi1rrD0S1xOwXDvH,Iceage,03hlOXqRyyXO3ectp3eEbU,You're Nothing + 2,0JawjYkGw0Gwsny7A3p4yw,16,https://p.scdn.co/mp3-preview/20ff26e8c1cdcfc90052c9037b129d7251f382a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,New Brigade,6P2E4QNe99SlxjQDqZrtHW,Iceage,03hlOXqRyyXO3ectp3eEbU,New Brigade,6vlGKE1mG5wxiqNE6fYXOF,16,https://p.scdn.co/mp3-preview/823c20d6e70a5266ec9cdfb4e0f77dfc39f0a3cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ecstasy,4CVOzpLvzCkpptq4PURXvi,Iceage,03hlOXqRyyXO3ectp3eEbU,You're Nothing,1kgjAIsKl7L2wE7Iaa9NGF,26,https://p.scdn.co/mp3-preview/849ee839b76671dbc423375644414181b2f0fb0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Catch it,7hlrsvEHB1oiWuoTVpdvKG,Iceage,03hlOXqRyyXO3ectp3eEbU,Beyondless,5H8wFFblf7YvGc7LbBzuR9,37,https://p.scdn.co/mp3-preview/81e042eef1f9d3bc32452e919f50e9fd53ffe09b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,White Rune,2XcuMCTntI9TU5MvNqQWwX,Iceage,03hlOXqRyyXO3ectp3eEbU,New Brigade,6vlGKE1mG5wxiqNE6fYXOF,20,https://p.scdn.co/mp3-preview/fd4497e4c164b9449d20f9bae1677dc79839100b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Rodfæstet,2kYNN74r8unNTKg2MrH5bQ,Iceage,03hlOXqRyyXO3ectp3eEbU,You're Nothing + 2,0JawjYkGw0Gwsny7A3p4yw,12,https://p.scdn.co/mp3-preview/9cf7da4352137766292c6ae229a5badd54e4f5e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
