Matador Picks: Stephen Malkmus,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5,matadorrecords
1,Middle America,1DpozPCjfREUoHgic8dvIw,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Sparkle Hard,5DMvSCwRqfNVlMB5LjHOwG,45,https://p.scdn.co/mp3-preview/700d5b1c494a8e03451fdc7e271363855fb96459?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Jenny & the Ess-Dog,1eVMJM2SIYUHoHiYz0gmNG,Stephen Malkmus,0WISkx0PwT6lYWdPqKUJY8,Stephen Malkmus,0rFsy4Ya0mrkZJIE6elCTF,32,https://p.scdn.co/mp3-preview/cef55a200eff88b065b7271c7cb9b1ac65ecf3a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Lariat,6qoGbqtZFYaQHqAfPrF18e,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Wig Out at Jagbags,6zEGxtFhXjUHnLPqvzChs9,47,https://p.scdn.co/mp3-preview/3ce01f02ab20cf9dda108385a0e3c783557b5766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Senator,3apnxJewCAwGesysu7amBZ,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Mirror Traffic,6DveGXGYAviCnxGwtNY5UM,25,https://p.scdn.co/mp3-preview/757467b447d645062d89317f3d0080c4abbdedf7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Shiggy,5u6syTdtlG2NEsaDfsdNo1,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Sparkle Hard,5DMvSCwRqfNVlMB5LjHOwG,33,https://p.scdn.co/mp3-preview/78f300d8bce0143fa607f0521df1da2bca7122d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Freeze The Saints,5cAr93kv7bu0o5kEdGhuov,Stephen Malkmus,0WISkx0PwT6lYWdPqKUJY8,Face The Truth,72AzG1EqH3Vyg0pGS5AxVA,23,https://p.scdn.co/mp3-preview/4bd186610a2f2c0e1b2b206af93ab1675b394849?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Cold Son,7fdUqrzb8oCcIoKvFuzMrs,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Real Emotional Trash,6pWpb4IdPu9vp9mOdh5DjY,20,https://p.scdn.co/mp3-preview/4cf4e21727def47097e27d30de16ffe9f99b7774?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Vanessa From Queens,15h2cWbzZJVgpMDZDsqBdn,Stephen Malkmus,0WISkx0PwT6lYWdPqKUJY8,Pig Lib,4r32vPLuoSousVTrak4PTO,39,https://p.scdn.co/mp3-preview/fb5f5182abf4beadcebd0462bb623752a01a680c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Cinnamon and Lesbians,1PG20lwSBxWC0sEs1AjUVn,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Wig Out at Jagbags,6zEGxtFhXjUHnLPqvzChs9,18,https://p.scdn.co/mp3-preview/65b5b2b2c6c93e78b977c47fcf440a8e077934ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Church on White,7n8UnhZRdmTV37ZV0R5KPy,Stephen Malkmus,0WISkx0PwT6lYWdPqKUJY8,Stephen Malkmus,0rFsy4Ya0mrkZJIE6elCTF,29,https://p.scdn.co/mp3-preview/895e707290c20b457d95f535458082a57ae8d247?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Refute,20K4tH4jSA5BVtfLBvJbNw,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Sparkle Hard,5DMvSCwRqfNVlMB5LjHOwG,27,https://p.scdn.co/mp3-preview/5c277a181be40c5654358f27b4c105b896fa164c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Stick Figures In Love,0TTZ5mKnnxZFBXJXHU0x0Y,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Mirror Traffic,6DveGXGYAviCnxGwtNY5UM,37,https://p.scdn.co/mp3-preview/e6551616539a680659e01b06cc36342c8a85385c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Never Met a Man I Didn't Like,4TOIQcvLSVVbEOkVB4bmgf,The Crust Brothers,3DdK6fIsKWiKEad5bzJe7b,Marquee Mark,7m2pacnSCxi1xrVnhM56f1,14,https://p.scdn.co/mp3-preview/44de9097b8a29c569b0c15ec8ea4c35a897cc8ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Elmo Delmo,5tONg9RhzsakmDtNHWoIHJ,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Real Emotional Trash,6pWpb4IdPu9vp9mOdh5DjY,15,https://p.scdn.co/mp3-preview/edbf65b43fee3a06ede4935e2bbf10d032a74dd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,J Smoov,21f6s5p0jZ3TJDsnk9XUYA,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Wig Out at Jagbags,6zEGxtFhXjUHnLPqvzChs9,25,https://p.scdn.co/mp3-preview/fd799962a4b136ad72d58655144e57e58fbcebbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Federal Dust,27bnZnk1OWB4iMMgabMhhg,Silver Jews,4ePunOqQbOYoQwd1298g3Z,American Water,7LO24Uu9c0vuFUtHDAj0Wa,42,https://p.scdn.co/mp3-preview/c35d9fad08f5d6e3ceb5b682d1bbc866fb4c6108?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Kite,2PvRtANWzikxJN9Kjwb5LH,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Sparkle Hard,5DMvSCwRqfNVlMB5LjHOwG,26,https://p.scdn.co/mp3-preview/20ad9f5bb64734fb3cf35d0b721d2be2db99b4c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,No One Is (As I Are Be),6tM2fzM0bQw5It36sDt5xo,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Mirror Traffic,6DveGXGYAviCnxGwtNY5UM,26,https://p.scdn.co/mp3-preview/000893e5297e53786760faaed4539c6b0c148859?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,1% Of One,2cuQhkZX5Ka5wLvZYTWEYV,Stephen Malkmus,0WISkx0PwT6lYWdPqKUJY8,Pig Lib,4r32vPLuoSousVTrak4PTO,17,https://p.scdn.co/mp3-preview/720e67e18ca8cf2d427259113687f7d71016b3a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Difficulties - Let Them Eat Vowels,6dNmC2YWtWbVOFOdTuRDQs,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Sparkle Hard,5DMvSCwRqfNVlMB5LjHOwG,23,https://p.scdn.co/mp3-preview/787be9d1bbebcd845d0793476de843fa0a4fff79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Advice To The Graduate,1or0CS3bjemxzonge4stR5,Silver Jews,4ePunOqQbOYoQwd1298g3Z,Starlite Walker,0uom4MEbiWUtXziPOcgyQx,37,https://p.scdn.co/mp3-preview/daf794c8ebc58672bf7c8f459c1f5add211a0bd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Yazoo Street Scandal,52dfnfhHDZhc7mCS4Lb7Jd,The Crust Brothers,3DdK6fIsKWiKEad5bzJe7b,Marquee Mark,7m2pacnSCxi1xrVnhM56f1,1,https://p.scdn.co/mp3-preview/c324f397ff71ed7dd9970512971b57c6f2382d22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Kindling For The Master,4pMQYlzxLo2opCvpOep9HW,Stephen Malkmus,0WISkx0PwT6lYWdPqKUJY8,Face The Truth,72AzG1EqH3Vyg0pGS5AxVA,12,https://p.scdn.co/mp3-preview/afce3da04b3371b86a88fcd71d333b71d1aab01f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
