Matador Picks: Savages,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6,matadorrecords
1,The Answer,78s60WtjgHdcqmeQu835vJ,Savages,1WFsBUAgQmrGQQEUyFKS60,Adore Life,6c3UkztmOmW2GtunSNN3NZ,35,https://p.scdn.co/mp3-preview/df2fc9dee67f7ec4588ff0a59aebd1d94e94830b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Shut Up,12RC8PzvADK34H7DoyD8GH,Savages,1WFsBUAgQmrGQQEUyFKS60,Silence Yourself,0aMC5DDAF86GvYNPaivEKd,32,https://p.scdn.co/mp3-preview/ca859eac70cbe1814a76199ab5148375222385e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Surrender (Trentemøller Remix),2UGLwTvRN0CHLAhVlcBjCs,Savages,1WFsBUAgQmrGQQEUyFKS60,Surrender (Trentemøller Remix),4DKAJlf6YGZ1c1yCp21bMp,34,https://p.scdn.co/mp3-preview/0d7b28bdee3b9f823a547720f1cd9ec0620dbf7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,T.I.W.Y.G.,0TdB9tglFCuALLc5YfvDi3,Savages,1WFsBUAgQmrGQQEUyFKS60,Adore Life,6c3UkztmOmW2GtunSNN3NZ,24,https://p.scdn.co/mp3-preview/72727ee6ae549b51859dcd98789633b973fd8c95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dream Baby Dream,1ENzc5qr83eMeLIUgcF9wB,Savages,1WFsBUAgQmrGQQEUyFKS60,Fuckers/Dream Baby Dream,73CYxYQowbMrjRn43AvG1L,17,https://p.scdn.co/mp3-preview/2336c4c86b238b4cf9a972d136db08eb96cb6113?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Adore,43v9n2WUgrDi4Z4wiEEV8h,Savages,1WFsBUAgQmrGQQEUyFKS60,Adore Life,6c3UkztmOmW2GtunSNN3NZ,43,https://p.scdn.co/mp3-preview/1687bba9d57dd70761885708bc7ebbb09594464a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Husbands,1Wq2ujMsdwMHDBkG1aCYCv,Savages,1WFsBUAgQmrGQQEUyFKS60,Silence Yourself,0aMC5DDAF86GvYNPaivEKd,37,https://p.scdn.co/mp3-preview/b87358d56d13574a0007208a772cd5ea84e2c376?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Evil,0rvvy2jojaaj1YL5Qpjjzo,Savages,1WFsBUAgQmrGQQEUyFKS60,Adore Life,6c3UkztmOmW2GtunSNN3NZ,29,https://p.scdn.co/mp3-preview/5a0d932b8119a7c6812ed33685b9fc67e3a68587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Flying to Berlin,2EUyRQc4iBoaDt0x7S40mn,Savages,1WFsBUAgQmrGQQEUyFKS60,Savages - Single,1qXGS1VVcl80SQsymUU4do,11,https://p.scdn.co/mp3-preview/6ff7bb95712fd2148271ed0f0d275b69359da22a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,She Will,345yzi3WeMTpMTl3Nyvjjk,Savages,1WFsBUAgQmrGQQEUyFKS60,Silence Yourself,0aMC5DDAF86GvYNPaivEKd,31,https://p.scdn.co/mp3-preview/a45e37f38c612786bf032267e1d4c66b037e262c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"Give Me A Gun - Live in Nottingham, Bodega",20WKmYcShlanPHmXZEMbJn,Savages,1WFsBUAgQmrGQQEUyFKS60,I Am Here,6BUmCBsYrLi4qnZQm6u8uj,9,https://p.scdn.co/mp3-preview/15dc2a599a08fb26d8e31706674f63cf65c8a79e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Marshal Dear,1GRminqAAGshlfQTBlwYJ3,Savages,1WFsBUAgQmrGQQEUyFKS60,Silence Yourself,0aMC5DDAF86GvYNPaivEKd,25,https://p.scdn.co/mp3-preview/8273975117b688748327aa76fd3e7d52f9984925?cid=fa83a2fec7c440b7a2795d600d6b2c7e
