Merge 2011,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5,mergerecordsofficial
1,Kaputt,56dIfld2EW00CPbB3zA6GE,Destroyer,22ojy4H4ZVpowC4lRRC8In,Kaputt,4WtvNVR7QeHUZGtHth9zND,46,https://p.scdn.co/mp3-preview/e7d509710e6846b540a97d6511dcfb6081941d4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Savage Night at the Opera,3ygiu2TdSgWd50UW6hCLNV,Destroyer,22ojy4H4ZVpowC4lRRC8In,Kaputt,4WtvNVR7QeHUZGtHth9zND,35,https://p.scdn.co/mp3-preview/3bec66f2b0eb9a73277cf143d8d6b0e23c13ec84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Chinatown,40YBc3mR3yyqyYvtesQOMj,Destroyer,22ojy4H4ZVpowC4lRRC8In,Kaputt,4WtvNVR7QeHUZGtHth9zND,40,https://p.scdn.co/mp3-preview/1b5117cc798b0d4dc9a52373155ce90377a5fad7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Teenage Blood,6Mvv6wkEVX1OPN5tCnv7kJ,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,The Year of Magical Drinking,1SXvgEPxhtrcwEqj83pzUh,14,https://p.scdn.co/mp3-preview/967da14dd23a71836601127d69c9ba56ac7d6360?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Party Line,50QyL4Yzx2JrSp39cyE4X0,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,The Year of Magical Drinking,1SXvgEPxhtrcwEqj83pzUh,3,https://p.scdn.co/mp3-preview/35135395e9b117a3b2657f5e9dce425678897f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Burn Me Alive,7CBQqkPuxWPmeP95zrnh0f,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,The Year of Magical Drinking,1SXvgEPxhtrcwEqj83pzUh,14,https://p.scdn.co/mp3-preview/831146d8df46f9bb1cc39a0fe91b248ee2181cae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Candyfloss,7EsiiTBwqvsK3sg8czpuRd,Jonny,1LEW204oH4iY94QpJybFLH,Jonny,5tp2tIFpDEjj8ezpUgLe2K,2,https://p.scdn.co/mp3-preview/755984c5bc37356f6ec13ce4cbb9bee2dc7cf5e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Wich Is Wich,19tCme8y9ywORi36PkQhOy,Jonny,1LEW204oH4iY94QpJybFLH,Jonny,5tp2tIFpDEjj8ezpUgLe2K,1,https://p.scdn.co/mp3-preview/1220a3da223debb1ddebd8022858e5f316dccfe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,You Was Me,2AEtCKWVxRoqCie7mUClWC,Jonny,1LEW204oH4iY94QpJybFLH,Jonny,5tp2tIFpDEjj8ezpUgLe2K,1,https://p.scdn.co/mp3-preview/59011c3e6a919eba5cccb4c6b38f877cbeb74645?cid=fa83a2fec7c440b7a2795d600d6b2c7e
