Start Here: Telekinesis ▶️,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,25,mergerecordsofficial
1,Suburban Streetlight Drunk,2soa1nti7R78FqXcVVTzG4,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Effluxion,6gvJZRQgk9ah7ilEIM2GcX,17,https://p.scdn.co/mp3-preview/5aefbc7753cdabf2bee1a66762d90d78a599b9d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cut the Quick,0WcwRe0el9XnxYzhv0PsEV,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Cut the Quick,60KxA2g711tiixjbBx0hUs,43,https://p.scdn.co/mp3-preview/ab910e3d2e9eb980ef055d94f6a9f3e595225b69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Set a Course,3gl3Sm85Dc5Aul2e6mlhrH,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Set a Course,6o0fvV9ZhbNsjwCVVwBFZA,21,https://p.scdn.co/mp3-preview/93a34482a2f4b5af3f79cec4b23b351dadb3c667?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Falling (In Dreams),1k3A65LaiiOgLBzLTR9tOV,Telekinesis,3faZppLa0MVUYBlyp7zDAo,13 Reasons Why (Season 2),4RpgjxgSxcRwGNuWnImneN,1,not available
5,Ghosts and Creatures,090lCdk6kfL54WvNNSDpmc,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Dormarion,16AiST5wqtyOVTOiVzlFF0,27,https://p.scdn.co/mp3-preview/75f2143d86a469cf93cff37b440bf4a81fba1717?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Please Ask for Help,4BOwWcrC9isEsz0QsT4Q7F,Telekinesis,3faZppLa0MVUYBlyp7zDAo,12 Desperate Straight Lines,5O4ILobs5kNdW66zI8C7PE,29,https://p.scdn.co/mp3-preview/d64d25235a3767244db74301d61793ebd19dbc83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sleep In,6p1qQzLFaJ8st27GqTB3Bm,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Ad Infinitum,0KelrbMD3nXUCraeDa4DSM,36,https://p.scdn.co/mp3-preview/c98143b3f3698773a6fcf81f781d03847f5b2524?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Coast of Carolina,4YWrmb8NpKY1gKN012G5Ro,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Telekinesis!,2vZKhcxTCnB8ytm0fyy8fz,36,https://p.scdn.co/mp3-preview/b0c58acda4cedc7bd2f496c636f6797a51528847?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dirty Thing,0ZL5iEAyEgrNNfjaAZLzdo,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Parallel Seismic Conspiracies,1WwXFkrGHiVoQqJDeupQaO,10,https://p.scdn.co/mp3-preview/a3d2b0ffb50370e57bfcfc09d8b5e35b2c5880a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Power Lines,4ixgBtG5DWafrYjaLMQs9W,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Dormarion,16AiST5wqtyOVTOiVzlFF0,37,https://p.scdn.co/mp3-preview/e98db9161186f2a2c29b579bf17cb6eb3942bd5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Tokyo,6JjUnS3G8bk1xR0sZrNeMt,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Telekinesis!,2vZKhcxTCnB8ytm0fyy8fz,18,https://p.scdn.co/mp3-preview/ec6ae743a91cac54d2bc2d72fe5ac56daf474af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,In a Future World,1BNLOs1XIkG8TuTEDg9acH,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Ad Infinitum,0KelrbMD3nXUCraeDa4DSM,16,https://p.scdn.co/mp3-preview/72fe9355c8caf8c5aa04a0c4c975a663b224c095?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Car Crash,0sYeELse3INZ7ABptWvkQT,Telekinesis,3faZppLa0MVUYBlyp7zDAo,12 Desperate Straight Lines,5O4ILobs5kNdW66zI8C7PE,17,https://p.scdn.co/mp3-preview/27b077df83bd71111badd73202a98cb81e089672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Awkward Kisser,3TdBw6SB2cgeI3iOnRhPPy,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Telekinesis!,2vZKhcxTCnB8ytm0fyy8fz,14,https://p.scdn.co/mp3-preview/712eca3d326f58039619ed46fc02c43a3e56a544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
