Merge 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7,mergerecordsofficial
1,An Answer,7wV0HmLM42XOZ7yEC431jz,Mark Eitzel,4W1poTLCG6XjhBUVehcaMB,An Answer,6XiGcnSWLCe0l6kwhLD1c6,1,https://p.scdn.co/mp3-preview/524ad5b72ff312bea1c4c2f041b3147d67dc3436?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I Do Love You,0LATRnKyJoES5de9ydXHBG,Coco Hames,0jOzDGdyJtAt5bYX7xpWYV,I Do Love You,79RZ8f13yNn1hCSGqGAmOc,2,https://p.scdn.co/mp3-preview/3af61d134ccf85306e0e7443f51257827006210a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,I Don’t Ever Wanna Leave California,4gPeqMG5veNCll5RvXJoXo,Allison Crutchfield,1zIiCQLbCV0la5eLdT0FIj,I Don’t Ever Wanna Leave California,2afAIJgohXIeUZZ07UClNj,4,https://p.scdn.co/mp3-preview/d6d16d5fe72ac3c3368394f4ec0a9fc5468a4583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Give Me a Reason,66aT9JUFoj8DoT4Fi455cC,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Give Me a Reason,0NsfjDSX1USesT2mJ4zqbb,16,https://p.scdn.co/mp3-preview/69316801badeb84c77bcc09eb787a6578551ae84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Inside Edition,5p98ban6s5r2xg9djICXoC,Sneaks,40iUcsx6LWJ0DEPryPmU30,Inside Edition,53tlOmiMgpDsKrcQot3FHt,7,https://p.scdn.co/mp3-preview/827f821e4f57398d9496ebdf4b5e0a1673a1d50e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,When You Were Mine,7i7K8K1kOAyJUvzAigM9x6,Lambchop,2Lhs0asnFQiLuntn3s8p78,When You Were Mine,1RKhMURhlQnwHxBejzE4pU,27,https://p.scdn.co/mp3-preview/fb385fcbd4c8f586957d7631ba8ab4f81a027a77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,In My Role as Professional Singer and Ham,60B4fCNit7EPw5yET4khnD,Mark Eitzel,4W1poTLCG6XjhBUVehcaMB,Hey Mr Ferryman,53kAh5L9h1fVuiC9G0SIOT,2,https://p.scdn.co/mp3-preview/81490b64b7c85586b9f1c5262f07b3d716159677?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Mr Humphries,1DkcJJxChCB41LamBQVqo8,Mark Eitzel,4W1poTLCG6XjhBUVehcaMB,Hey Mr Ferryman,53kAh5L9h1fVuiC9G0SIOT,1,https://p.scdn.co/mp3-preview/a8356acf3dc0ffcfbbde417fdfe5cdac1fa59ba7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,La Llorona,5J6O0ncDEnjSJdUcmOmLPY,Mark Eitzel,4W1poTLCG6XjhBUVehcaMB,Hey Mr Ferryman,53kAh5L9h1fVuiC9G0SIOT,1,https://p.scdn.co/mp3-preview/5d63d659bfecabcbf4c26ee9ba2de36c60b2e884?cid=fa83a2fec7c440b7a2795d600d6b2c7e
