Merge Records New Releases,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3278,mergerecordsofficial
1,Home,711gGx1GpUv9YW9KTSfJfH,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,00sZIJm0igl6aBYNktEuSy,56,https://p.scdn.co/mp3-preview/a786e173cdac2c990756e74321782a43b54386a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I’ve Got Reason,2qD1GU53OfL66SrqOc3Z9m,Mikal Cronin,6QobJ3vnalBTlsdOrvQTIt,I’ve Got Reason,1kxaZ6Krjwk0bmcvY5kqjZ,36,https://p.scdn.co/mp3-preview/a69564e6f34407cc813e3bf7ce6e8d70e0d0b94d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Evacuate,2rL3O3Q5qY1Zbyjgbi75xs,Joyero,7kPZ9z8VeA3Xej4P9BtHdn,Evacuate,4T2xkbJPO4ytRXG22huMQi,14,https://p.scdn.co/mp3-preview/fec8e0ad6ccbaa0d7423fa90ab1949996d609792?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Body Count,2hCGEQr0oamQkQMVLZdBfO,Gauche,6GVrQ3dvXPc2VcEslMAgk4,Body Count,0X7OrjYITuO3W4jjInmgY2,18,https://p.scdn.co/mp3-preview/629ce6cc48309319a7edfa69ece0b8a3d4bb88bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Get High and Listen to The Cure,4wLaDplNYbmniMcyGJSxTP,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Welcome to Passaic,4lO3GCyRCZnFXghkz22EY6,44,https://p.scdn.co/mp3-preview/9a06a2347ec997f866609c9a69018e42b12207e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Disco Ball,6KNVS6p3M5e8TxY3hj4cdc,Little Scream,2U7njwghtRR6ofLobG32Lk,Disco Ball,3yHWRP07U1Jpb5rMtv3wSy,27,https://p.scdn.co/mp3-preview/4be96cfbb9b26bc2da9fcaf1c3ca7798c321f607?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Terms of Surrender,4bHIsdXLSWWONWKv15L5YT,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Terms of Surrender,23h1Qs3UhemYK1ekqgw1uk,50,https://p.scdn.co/mp3-preview/6762c88fd92c86a379b2a9d40b94585eb26da6c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Katy (You Don’t Have to Be Good Yet),53MhnPO44EuIN6zYcy70Vj,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Terms of Surrender,23h1Qs3UhemYK1ekqgw1uk,43,https://p.scdn.co/mp3-preview/b097aee634ea65deb278d8a81fa2066cf8fce680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Bright Direction (You’re a Dark Star Now),6TX6ERqjxAFMaRGMmbdhXs,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Terms of Surrender,23h1Qs3UhemYK1ekqgw1uk,46,https://p.scdn.co/mp3-preview/10c7f7042a711dd71dc1cd8dd7ded135446ccfb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Intervention,6nGKs9h8oCugYgw4rosEQk,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Neon Bible,4di9lQb4W5UUOmMpRHIC5c,32,https://p.scdn.co/mp3-preview/a72a9b778485198899e0211cdad06288974a7614?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,No Cars Go,6vBRzw5eZ32Kr36cvWcyWb,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Neon Bible,4di9lQb4W5UUOmMpRHIC5c,26,https://p.scdn.co/mp3-preview/d6d583d865303a4c15ead9e9bc56a8c7ef651d87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,My Body Is a Cage,62EjQaQUXZPKHaPRHkcz6a,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Neon Bible,4di9lQb4W5UUOmMpRHIC5c,26,https://p.scdn.co/mp3-preview/aeeb9a26cc29368b64aaf84473a84b58754b4b59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Spotlight,2SpnNlof0jpgpN02sUWswZ,David Kilgour,5S76x1RQk1FgHwX3y4giOO,Bobbie's a girl,4TTDkeqHuAcVIahy6R7uuY,23,https://p.scdn.co/mp3-preview/1fb52b3a1cb48b52f1618753b2ecbfce252d38a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Swan loop,7gpBFWcDnhrFKh5yMEeFDs,David Kilgour,5S76x1RQk1FgHwX3y4giOO,Bobbie's a girl,4TTDkeqHuAcVIahy6R7uuY,22,https://p.scdn.co/mp3-preview/2b8273005f4acf3e26e3a176b444f664206f94a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
