Merge 1995,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,8,mergerecordsofficial
1,When You Were My Baby,0e67Je0Jdb5vd50gC9numi,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The Wayward Bus / Distant Plastic Trees (Remastered),0XiXDZgyxn5Hp7yy5kYfV4,23,https://p.scdn.co/mp3-preview/fcda3fc608a86ebb4ff751af6c9b11dc0e68672b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Saddest Story Ever Told,5OaAKgM81p0trb4IMsozXi,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The Wayward Bus / Distant Plastic Trees (Remastered),0XiXDZgyxn5Hp7yy5kYfV4,24,https://p.scdn.co/mp3-preview/64f23c9963048aa8f2eeaea7e4270b64ad2670b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"100,000 Fireflies",6aC6rWvfCaYPwIaWtxgWvj,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The Wayward Bus / Distant Plastic Trees (Remastered),0XiXDZgyxn5Hp7yy5kYfV4,31,https://p.scdn.co/mp3-preview/d65177d8a6c011fbd78bc310db2ed228d6c26d1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Lovers From the Moon,1x4uyPWT0JRU4qXPt0Slcn,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The Wayward Bus / Distant Plastic Trees (Remastered),0XiXDZgyxn5Hp7yy5kYfV4,19,https://p.scdn.co/mp3-preview/218ed0322596d8342b559c41af919b179e26a3ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Excuse Me While I Drink Myself to Death,2wOmDW0ne0pGGHNY2V5VV6,Spent,1JIkIpwyYD7ASNNI40onxO,Songs of Drinking and Rebellion,0lyLkS0pgvkFQrxIsBU0nB,9,https://p.scdn.co/mp3-preview/cb232313e74e16c3589438d9b9acfa720c3e6968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Brewster Station,2RYT43lseGKDl535uqNBFw,Spent,1JIkIpwyYD7ASNNI40onxO,Songs of Drinking and Rebellion,0lyLkS0pgvkFQrxIsBU0nB,4,https://p.scdn.co/mp3-preview/6aaaba02a29c84050632c0c953ba3bb11f204975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,St. Elmo's Fire,0DREI0bFHVB11b9wvHwGoc,Portastatic,5YFFss1uTFY0gfMMR1f9FD,Scrapbook,0NbINCOPBoBGpu6lspAhNP,2,https://p.scdn.co/mp3-preview/681057ecde913a6ea914d4f5e0874ef70b63acad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Spilled Oranges,3stwVBiPvv48zJbdNPIqi4,The Mad Scene,2sSDQYeJ944dSSetpS1BDn,Sealight,7zpALHhcQjFEbH5m0eQuuP,0,https://p.scdn.co/mp3-preview/96922da750a9d7cac9d4366293b84971c2d3b007?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Choose,3MbqpjhFvjYJDmBBy9HQKS,The Mad Scene,2sSDQYeJ944dSSetpS1BDn,Sealight,7zpALHhcQjFEbH5m0eQuuP,1,https://p.scdn.co/mp3-preview/3e8e43d55c14705152e5572b28355eca165aee75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Bring On the Loser,0pjli7vYTDZyrnho5357tk,East River Pipe,0oXeIbxeFdqMtDYxcwwUTN,Poor Fricky,2aUpjqKGPp9bcJvVHQaiBr,6,https://p.scdn.co/mp3-preview/b1c4c73b36020131199c9aeec9ff756ccfa3d80c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Superstar In France,6QkIvwYDQ3DS0Nwo9B8iGo,East River Pipe,0oXeIbxeFdqMtDYxcwwUTN,Poor Fricky,2aUpjqKGPp9bcJvVHQaiBr,5,https://p.scdn.co/mp3-preview/430afe01a56099f18b115fb1c8d620445d828949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"Hey, Where's Your Girl?",3TktzfexDKRBQk1RUbP62z,East River Pipe,0oXeIbxeFdqMtDYxcwwUTN,Poor Fricky,2aUpjqKGPp9bcJvVHQaiBr,5,https://p.scdn.co/mp3-preview/661645939412ff022123d3d3070e1118c2da54f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Metal Detector,0DEzzX2643VGdaj6xBtptC,East River Pipe,0oXeIbxeFdqMtDYxcwwUTN,Poor Fricky,2aUpjqKGPp9bcJvVHQaiBr,3,https://p.scdn.co/mp3-preview/f82346120f8e29c039714386ff74a823d71eccb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Baby's Way Cruel,6MZ86Izoijg3LTI5A7w0TH,Guv'ner,0nt4Tol65jI2HFfFtuofg1,Knight Moves,1AfEqsd8HCv78hpKlAfuIa,2,https://p.scdn.co/mp3-preview/bb4904371ceab2d0652093d2d229cc4a830c356c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Skinny Glasses Girl,2loNBFGqtwYDs2ePU88qLu,Portastatic,5YFFss1uTFY0gfMMR1f9FD,Slow Note from a Sinking Ship,0btyuYLyOcELHYZQvnLugW,4,https://p.scdn.co/mp3-preview/d5489ddb1be2ff47aa182066da9d37179d2f161e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,San Andreas,2sJRUu5n704WX2C9EupS6s,Portastatic,5YFFss1uTFY0gfMMR1f9FD,Slow Note from a Sinking Ship,0btyuYLyOcELHYZQvnLugW,10,https://p.scdn.co/mp3-preview/571e50ca9d3b93ed8b5c4be9532ce1b880c62d9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,A Cunning Latch,3As1Eth4zvgkh8Gd2qHDhZ,Portastatic,5YFFss1uTFY0gfMMR1f9FD,Slow Note from a Sinking Ship,0btyuYLyOcELHYZQvnLugW,2,https://p.scdn.co/mp3-preview/ea3920f463c19fd38974df026eade9f7166db923?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Alexander Bends,7kIqE5UwnuYihRrBy5pr9N,Butterglory,1IoLoJPjCK2vxADHfu5OmG,Downed: A Singles Collection,5aSC8xbyYFaLhkShsRvUK7,2,https://p.scdn.co/mp3-preview/d2fb5257b7c55c856e5f0f96c72f0f5e2ce3541a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
