Merge 2001,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4,mergerecordsofficial
1,Everything Hits at Once,20gPDGp75RlBO8ojAytv5y,Spoon,0K1q0nXQ8is36PzOKAMbNe,Girls Can Tell,1hUGL6I8U1hYzsapYlG5b8,36,not available
2,Believing Is Art,3DHi7My8eCCz7xr1iVY5q2,Spoon,0K1q0nXQ8is36PzOKAMbNe,Girls Can Tell,1hUGL6I8U1hYzsapYlG5b8,18,not available
3,The Fitted Shirt,7wzpNYgMLFWDwwDeASrL2E,Spoon,0K1q0nXQ8is36PzOKAMbNe,Girls Can Tell,1hUGL6I8U1hYzsapYlG5b8,20,not available
4,Anything You Want,3nitZCvnTwDu8uXbwvUxvV,Spoon,0K1q0nXQ8is36PzOKAMbNe,Girls Can Tell,1hUGL6I8U1hYzsapYlG5b8,34,not available
5,Cara Mia,6GY2mdD6wdIXWU97IhmAan,Annie Hayden,1ggIzCdnWNqYQ9Dj0IjQun,The Enemy of Love,2Jd2iSXMF4zCU4iVZWV5ey,0,https://p.scdn.co/mp3-preview/af5e8129eaf446d2ff2326b5f87556b0eb9b5280?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Weather,1if82SfRqMorL4tfO0Cfc4,Annie Hayden,1ggIzCdnWNqYQ9Dj0IjQun,The Enemy of Love,2Jd2iSXMF4zCU4iVZWV5ey,0,https://p.scdn.co/mp3-preview/26b540054ac9ee2697856e70d24b816fc74a34ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Wait For Returns,7JnyMLmYA6fuVhCyWOGQpy,Annie Hayden,1ggIzCdnWNqYQ9Dj0IjQun,The Enemy of Love,2Jd2iSXMF4zCU4iVZWV5ey,0,https://p.scdn.co/mp3-preview/7a2fceba50214e8f90d13e81cfdc1bc3c581ca03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Amen Grasshopper,5jRB6FsrMfdW1JWss2gDil,Ashley Stove,7dFxymMRto8S04RLP7yiD2,All Summer Long,2w70b93Zdp2PRoBbWjbrh9,1,https://p.scdn.co/mp3-preview/d45f7ede22ac572f717a1a7bccd25790f92a4f01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,If You're Going Away,2npaCfQIb3SROLhgYsxsQv,Ashley Stove,7dFxymMRto8S04RLP7yiD2,All Summer Long,2w70b93Zdp2PRoBbWjbrh9,0,https://p.scdn.co/mp3-preview/6df6c36c424667b4a306903070d1f9b975b5d648?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Don't Wreck Your Car,2061mcyGia4dELfJimTfFz,Ashley Stove,7dFxymMRto8S04RLP7yiD2,All Summer Long,2w70b93Zdp2PRoBbWjbrh9,0,https://p.scdn.co/mp3-preview/a9e66e921a0e21f76174f83223817413b0c14f91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Reflections After Jane,2hhGE4ukKuNUsHAX9uqs0G,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Suburban Light (Remastered),11OEcFLn2ljJctJ38XQcnK,43,https://p.scdn.co/mp3-preview/18d75fb3611678e270109d84d9f9a8161d74e907?cid=fa83a2fec7c440b7a2795d600d6b2c7e
