Don't Destroyer This Night,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,34,mergerecordsofficial
1,The Ram's Den,7ClqdGmnBQWEEVfY5tgoVg,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,The Rock*A*Teens,7rPLPFzijrmA1rayUuFpoM,1,https://p.scdn.co/mp3-preview/d5b77d10766aac1d6e3034a18a5fd0e8c2094934?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"Arm In Ar, In the Golden Twilite, We Loitered On…",38hlqn2g99tmMXtJE6imYg,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,The Rock*A*Teens,7rPLPFzijrmA1rayUuFpoM,0,https://p.scdn.co/mp3-preview/3b95907d012e8253e962f81b35840bfb3d12a930?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Black Ice,4Mf2t01DpOw9K5PwP6btXg,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Cry,1L6Ogt1CCZHSOitcoZX9c5,4,https://p.scdn.co/mp3-preview/dd05c1546503897db2ac4acbe72237394449c3ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"Losers, Weepers",4LVM3CHByQ0yCSQuuVbNpx,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Cry,1L6Ogt1CCZHSOitcoZX9c5,2,https://p.scdn.co/mp3-preview/76fc2bb8e0f3e998e52365ff64b540fdb55cfe5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Cherry Red Compilation,68xAD4tlt1VvFXCLBgbVzq,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Cry,1L6Ogt1CCZHSOitcoZX9c5,2,https://p.scdn.co/mp3-preview/4608efeb4c4c444926c8c010404b85f378878c0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Don't Destroy This Night,4SUnDWvZ0cvvKo5QtSPlaN,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,"Baby, A Little Rain Must Fall",1NlzDoE79kubQMoyHR4Oh3,4,https://p.scdn.co/mp3-preview/468a200277459228e37dbf59cf431ab982de9e2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,N.Y. By Helicopter,6zJmJPZYcGpUyty1Loczr2,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,"Baby, A Little Rain Must Fall",1NlzDoE79kubQMoyHR4Oh3,1,https://p.scdn.co/mp3-preview/e533ef09aa112694b431ea87440874a4a0b0bb1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Ether Sunday,1sn3eAbFplKtxfnq8NZq2d,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,"Baby, A Little Rain Must Fall",1NlzDoE79kubQMoyHR4Oh3,1,https://p.scdn.co/mp3-preview/b2897563da9a85c16356eb28962cd55e223da3a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Leave What's Left Of Me,5CZJvuKiHhsa7xcsKp7YuM,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,"Baby, A Little Rain Must Fall",1NlzDoE79kubQMoyHR4Oh3,1,https://p.scdn.co/mp3-preview/2eca61f9099fda879a1ce85cc0b01cb21eb747e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Black Metal Stars,3ZHykShgJOvTgR0pvCfGg4,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Golden Time,4Au4Rc2ChPzfIn1jkTBuPl,4,https://p.scdn.co/mp3-preview/3d6a833edcb5bd2e7fa24c3092ce47b1510c406c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Across the Piedmont,2PDQR36jZ5jdO7L6QEK8Bf,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Golden Time,4Au4Rc2ChPzfIn1jkTBuPl,3,https://p.scdn.co/mp3-preview/8d893add391fe6ada7e8be5e1462f33ed832bfc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,In the Woods of Hemlock Park,4zrCoVtgLOwChwFwhzLi9L,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Golden Time,4Au4Rc2ChPzfIn1jkTBuPl,1,https://p.scdn.co/mp3-preview/1decc3fc3a45e911ff9a45fec37ba80ce72c035e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Freedom Puff (Good Enough Apparently),4AGlckM0NPv55PcmFFh4A0,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Golden Time,4Au4Rc2ChPzfIn1jkTBuPl,0,https://p.scdn.co/mp3-preview/9ad8ff3c520db56f64b3384cc0e52a47182b5136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Car and Driver,27A1bbPH2e4yx1pyCGW5KG,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Sweet Bird of Youth (Remastered),14fZqkYpEPg1EdlrWkiLXb,3,https://p.scdn.co/mp3-preview/f62494660a648735c537609970837732b27e115c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Betwixt or Between,1tYEgtafOHR7uR4WbTAD1C,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Sweet Bird of Youth (Remastered),14fZqkYpEPg1EdlrWkiLXb,1,https://p.scdn.co/mp3-preview/271439f77c4a262df9014dcd2fe57e77b5364510?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,If You Only Knew,4nvJ3VGr9RWBcYnirKhRfw,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Sweet Bird of Youth (Remastered),14fZqkYpEPg1EdlrWkiLXb,1,https://p.scdn.co/mp3-preview/2356da5c730a0cb22253e1ec1b566c148fb99926?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Turn and Smile,39cGuQplOdszjioC6BCBC4,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Turn and Smile,1KHHsX39wJXJSR9btg1LUT,1,https://p.scdn.co/mp3-preview/510666b487359a93bf5a65ced76a5349c22f744b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Go Tell Everybody,3K6mELGXxuOLK1pucWNnp2,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,Go Tell Everybody,0LPiOaC6Rxv6M2OnxmnxiN,2,https://p.scdn.co/mp3-preview/636e4841b39c3e1d9a695277c8455ac27144745f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
