Playlist Sept 2014,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1319,mergerecordsofficial
1,Want You To Know,3S97Ihwrb5YJdNZrkKHHI5,Rotary Connection,3dGTi4MZZo4zXdQaKAS1va,Best Of Rotary Connection,51eqNHht7wUBpKBc9fbsxK,13,not available
2,Our Love,0OXgooKH93CoD9i1ye4Yig,Caribou,4aEnNH9PuU1HF3TsZTru54,Our Love,4jLLt8pqzGxWZ8waNX8ylJ,0,not available
3,Blackpool Late Eighties,4FdfLprz2GitHlJivk60q3,James Holden,15e0X6NuMsVuHi7AZhcfyI,The Inheritors,6ljTPjGb8hwaRT6HPJYbfb,39,https://p.scdn.co/mp3-preview/c9a36d66abb65110596b1189935a8aea614f7ad3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Emotion,0Dezmoeb373GNcYBjLVAMH,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Human After All,2T7DdrOvsqOqU9bGTkjBYu,39,https://p.scdn.co/mp3-preview/caa306be77396b8a9df1e7ae407247c3f00d48f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Two Weeks,2UYJqglnOMTvRcqQLNcjjf,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,LP1,4in34qwyUghNc9ykmH2BTO,58,https://p.scdn.co/mp3-preview/754c19a04ffec0464b5c5cbfaa0d1cb25f10e7fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,You and Me,0WJFQvkWeiB9Jzv3DNOMYT,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN,Hyperdub 10.2,6riP0H3V3WgJ1so0LIFI4k,0,not available
7,Candy Shoppe,6RyAadye7jJ2bj0aNH0XjA,Emeralds,45btnwhUWFlR7Op5oTfDPv,Does It Look Like I'm Here?,0c0XkZh9vWXg473nchoArI,30,https://p.scdn.co/mp3-preview/28ac3b72204b788a71d258dd170b8549bd6e1ed9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tone Bone Kone,4FoGE0L20PUxRbEcxlY1yA,Arthur Russell,3iJJD5v7oIFUevW4N5w5cj,World Of Echo,7qTGji0zymCBgWDSukQq1J,0,not available
9,King Bromeliad,6f1S3mOpU4TeoTZOJCmRXl,Floating Points,2AR42Ur9PcchQDtEdwkv4L,King Bromeliad / Montparnasse,16uv3keKqYiWt79hQcgGR2,56,https://p.scdn.co/mp3-preview/d762d326094b2aaee9097dea8c658bf2836a3ef9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,P O T SIDE B,3wimzIBtRcBntYJ0VftfYq,Anthony Naples,20bB5IFRjHw1EIAHvZ3tgd,P O T,5qzaCvGcXd3t0lcLQduQW2,0,not available
11,Like A Child - Carl Craig Remix,3BKRBzmmJgHk4p3aFn3j2d,Junior Boys,39x9e2QDpAxK8xTuJDwRqR,So This Is Goodbye,6yHcnfGT0ncD7qdxX4081d,0,not available
12,Our Love - Daphni Mix,2mNxB74DwXx3SgU2zXpGM9,Caribou,4aEnNH9PuU1HF3TsZTru54,Our Love (Daphni Mix),4ETDg9JMhFiXsYJSgJaJuX,0,not available
