Merge 1998,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5,mergerecordsofficial
1,In the Aeroplane Over the Sea,4OciRObYGzPzlU40U7YRc8,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,In the Aeroplane Over the Sea,5COXoP5kj2DWfCDg0vxi4F,66,https://p.scdn.co/mp3-preview/23f5b39b7eb6b13081ec4a8705405e1c75fbd836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"Holland, 1945",4iwMhMvcTqukn1n3NVjb2N,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,In the Aeroplane Over the Sea,5COXoP5kj2DWfCDg0vxi4F,60,https://p.scdn.co/mp3-preview/2fb219e97172ece695e9069bfd629ea1d0168c97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Two-Headed Boy,19Ov4l8mtvCT1iEUKks4aM,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,In the Aeroplane Over the Sea,5COXoP5kj2DWfCDg0vxi4F,56,https://p.scdn.co/mp3-preview/d4e4930b5e3c21bfe9fbec6af8643ce5e0670c91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Like John Travolta,59ngZU2jclZsD94WhwjJi4,The Karl Hendricks Trio,38CCFJhHaYVRAMy9JlU5kz,Declare Your Weapons,6MUERcn0cygeGex28xUPJo,0,https://p.scdn.co/mp3-preview/cfa6143126fff47193e9b316331962d50be1b42b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Worst Coffee I've Ever Had,38qAPITvvzvdm44Gh5pCP9,The Karl Hendricks Trio,38CCFJhHaYVRAMy9JlU5kz,Declare Your Weapons,6MUERcn0cygeGex28xUPJo,0,https://p.scdn.co/mp3-preview/d96ef6dcbb79f1a7da0d5720bc6856332eb9690c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,When Will The Goddamn Poor Wise Up?,4r181JjaNTWkTJnvJJsY3t,The Karl Hendricks Trio,38CCFJhHaYVRAMy9JlU5kz,Declare Your Weapons,6MUERcn0cygeGex28xUPJo,0,https://p.scdn.co/mp3-preview/865eccc060d838858a57c91de90963b926e2d1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Blake Carrington,2Z3lc7mZJeVLQCsgNtZhEa,Shark Quest,3TBHG46e3npJLPJovwCOA9,Battle of the Loons,4yodM1gpKJGa4vTLU77XLF,4,https://p.scdn.co/mp3-preview/51e72316f8c88c0011b39bcd1e37d7e4b9848fb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Kool's America,1vddyOEvlqrSN7r2oJ4pTl,Shark Quest,3TBHG46e3npJLPJovwCOA9,Battle of the Loons,4yodM1gpKJGa4vTLU77XLF,4,https://p.scdn.co/mp3-preview/5a201f23e140ff6e557b2fe81b0b8f3801d47806?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Don't Destroy This Night,4SUnDWvZ0cvvKo5QtSPlaN,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,"Baby, A Little Rain Must Fall",1NlzDoE79kubQMoyHR4Oh3,4,https://p.scdn.co/mp3-preview/468a200277459228e37dbf59cf431ab982de9e2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,I Could've Just Died,7KLYTo1duSPrwvJptLWxZH,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,"Baby, A Little Rain Must Fall",1NlzDoE79kubQMoyHR4Oh3,2,https://p.scdn.co/mp3-preview/c942a980941bb9898450262378c8d30060063275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Bloodhound,2i56AipaUcslAqJ64ou2da,The Rock*A*Teens,2jBV0cVwpmmbspM1Txs4XL,"Baby, A Little Rain Must Fall",1NlzDoE79kubQMoyHR4Oh3,0,https://p.scdn.co/mp3-preview/50d65a2e6065bbc7b2aca523c01b88c362bf1ec4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Omnichord,3v3MfUhh8WGgyRx6tvKxhM,Pram,2aFm5gM8lQefcKzOvP2eH8,North Pole Radio Station,73kkpN870yGqHDejTNjuQ5,0,not available
13,Sleepy Sweet,2O5hp2xxBMFIVlC14N9Jes,Pram,2aFm5gM8lQefcKzOvP2eH8,North Pole Radio Station,73kkpN870yGqHDejTNjuQ5,0,not available
14,Cinnabar,1dxR2B1pwSgmF7eeTOP1i8,Pram,2aFm5gM8lQefcKzOvP2eH8,North Pole Radio Station,73kkpN870yGqHDejTNjuQ5,0,not available
15,Or Thousands Of Prizes,79HEXLRE1toDHt9LnRCGQ5,Lambchop,2Lhs0asnFQiLuntn3s8p78,Rows Of Teeth,4slB8Cxs2Pg9xjdoFlmGCC,1,https://p.scdn.co/mp3-preview/25f0477c841c2636d7831d5f43c352192d8494cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Plant White Roses,6m5K5naxJfTrFv49AWaYT5,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Rows Of Teeth,4slB8Cxs2Pg9xjdoFlmGCC,5,https://p.scdn.co/mp3-preview/ad2e23625b95464f8fd329d35e87dde5c04b514e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,(You Are My) Radio,33Uhwa477uMYGCcXvgE6Tk,Squirrel Nut Zippers,0LIll5i3kwo5A3IDpipgkS,Rows Of Teeth,4slB8Cxs2Pg9xjdoFlmGCC,6,https://p.scdn.co/mp3-preview/8c252ad24815de1cfe04422ea880c698407e763c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Jealous Girl,2FYgzs3uSVfbs44OghqZxE,Guv'ner,0nt4Tol65jI2HFfFtuofg1,Spectral Worship,7B3uNy4QQTWQosUqOFpDAh,4,https://p.scdn.co/mp3-preview/b95a2c74e5becf6dabaddb80740435cf418f9d12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Love the Lamp,7oHe2ChKzBloUlR4xWA7jr,Guv'ner,0nt4Tol65jI2HFfFtuofg1,Spectral Worship,7B3uNy4QQTWQosUqOFpDAh,1,https://p.scdn.co/mp3-preview/4f7ee37835b99424b864841827fea03cae5a420e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Anything,1TarHeYwe8PrbHgS0K9ZA9,Guv'ner,0nt4Tol65jI2HFfFtuofg1,Spectral Worship,7B3uNy4QQTWQosUqOFpDAh,0,https://p.scdn.co/mp3-preview/3563c732d4545c7a8a68281c038a65643a56f5fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Hairstyle Of A Smug Bastard,05OvmfWHpkWIEuisX42FEl,Beatnik Filmstars,6gwKOw4WCScGGqTkw2bf8d,Boss Disque,19eoOX9CC0VH5Nz1x5JSh9,1,https://p.scdn.co/mp3-preview/7c17f860572de0232fd4ba5bf7f8e231284f7df3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Less Than One In Ten,0ct1M446kWEM3P0FzOw2kD,Beatnik Filmstars,6gwKOw4WCScGGqTkw2bf8d,Boss Disque,19eoOX9CC0VH5Nz1x5JSh9,0,https://p.scdn.co/mp3-preview/e9607e1b043b9a0891592fa7157e8cd9261de34a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,I Can Tame Lions,6LbF0sSFM40aPI4j1prwdL,Beatnik Filmstars,6gwKOw4WCScGGqTkw2bf8d,Boss Disque,19eoOX9CC0VH5Nz1x5JSh9,0,https://p.scdn.co/mp3-preview/2a6877e3c7e0a268fca28fba7c4d13421e226040?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Saturday Option,4kkFc2ohLaShgUKujVIX1L,Lambchop,2Lhs0asnFQiLuntn3s8p78,What Another Man Spills,7vZ64RCvITaHsTtWGcj3KC,14,https://p.scdn.co/mp3-preview/59e8acd07e1a0b7ccd70bf1d8c893ea3c46729c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Give Me Your Love (Love Song),0sPIRmokBOkDb6yWMGU9Il,Lambchop,2Lhs0asnFQiLuntn3s8p78,What Another Man Spills,7vZ64RCvITaHsTtWGcj3KC,30,https://p.scdn.co/mp3-preview/5ed026070b968e3f38fa70f56cfcacdb13b6eea8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,I've Been Lonely For So Long,6Qv03mbjmV1pZc6L03aM1O,Lambchop,2Lhs0asnFQiLuntn3s8p78,What Another Man Spills,7vZ64RCvITaHsTtWGcj3KC,8,https://p.scdn.co/mp3-preview/0d7e9b034ce90969b20c798baf8d8a6b2a103500?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,"Cats, Dogs and Babies Jaws",73vn6KzDAHNKzJ6PV0HO02,Ganger,3DmOr9e8d9mOVtcui8t8L6,Hammock Style,0Oh7ULgy0SEHb8d1QvcqYh,0,not available
28,Lid of the Stars,72Rnw7U15ZlGN2fJPN2QHO,Ganger,3DmOr9e8d9mOVtcui8t8L6,Hammock Style,0Oh7ULgy0SEHb8d1QvcqYh,0,not available
29,In Bristol with a Pistol,77FZPirHgqlOg4SrRiDp52,The Third Eye Foundation,1C4Ix8pbUGqzAP79elcpcm,You Guys Kill Me,1gsZL7kI08AreHE7I7eUNI,0,not available
30,A Galaxy of Scars,1Du1ruxnx3x26C6pyDknB7,The Third Eye Foundation,1C4Ix8pbUGqzAP79elcpcm,You Guys Kill Me,1gsZL7kI08AreHE7I7eUNI,0,not available
