Merge 1999,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6,mergerecordsofficial
1,Antilyrical,5JlgyTu88rhen7jfcwrWK4,Seaweed,4jzHHEC3qk1j4hnIWPUnsu,Actions and Indications,5aZPQSVzX5hZQ3oAMfwG8C,18,https://p.scdn.co/mp3-preview/18e80bab97eb034f92b2385af7114df803363a3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Thru The Window,2K0IWlUSsz6dhez5K4ZvHC,Seaweed,4jzHHEC3qk1j4hnIWPUnsu,Actions and Indications,5aZPQSVzX5hZQ3oAMfwG8C,15,https://p.scdn.co/mp3-preview/242d1fbe1530ae2833ae5c6f2755c3d4a604fb95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Red Tape Parade,660AbLGVCNOkxMAs8ngIei,Seaweed,4jzHHEC3qk1j4hnIWPUnsu,Actions and Indications,5aZPQSVzX5hZQ3oAMfwG8C,9,https://p.scdn.co/mp3-preview/81e5cfeb3395adbe862148a1a68c60696213b705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Strange Powers,7ywp9MWERblgkSMoMBugC0,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Holiday,7EHpguu9kylNKjC1EcS1fR,50,https://p.scdn.co/mp3-preview/d16d70a314e2651c589db6577a12b6103e4ff0a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Take Ecstasy With Me,52PiHSidvRdSupgHN6SpUa,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Holiday,7EHpguu9kylNKjC1EcS1fR,33,https://p.scdn.co/mp3-preview/4e61b98e219efc7ca2546eefebf73fa9e1a66757?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sad Little Moon,5ljcMDx1PGhlY88nqy3apD,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Holiday,7EHpguu9kylNKjC1EcS1fR,21,https://p.scdn.co/mp3-preview/f58cfad5db8cf222f999435ec076bdc739556045?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Love Goes Home to Paris in the Spring,3v3wMFE6g9Zr5I1IFejoWx,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The House of Tomorrow,6yc4iTn4StN8EhdbkHWhHW,15,https://p.scdn.co/mp3-preview/e57eb15ef9a9102cd89bb12696c1b7643322f0ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Either You Don't Love Me or I Don't Love You,1PWxXDxIAmU1DkjAfyPlMZ,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The House of Tomorrow,6yc4iTn4StN8EhdbkHWhHW,13,https://p.scdn.co/mp3-preview/287d47194984b57bc93c7e82afe70837789cee7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dancing Music,7dBTCfY8weqU1RgSs9d9RV,Ashley Stove,7dFxymMRto8S04RLP7yiD2,New Scars,48yuSrXwmwN4bSvPcfrXWc,1,https://p.scdn.co/mp3-preview/8f4510cd6803c89baaf94732f1c675560ce77921?cid=fa83a2fec7c440b7a2795d600d6b2c7e
