Our Cookout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,29,mergerecordsofficial
1,Angel Fire,5hOpKPvdm6WmKz0f8UtTVE,Hollie Cook,1fwuUuFbqXJx3B17PUhFCE,Vessel of Love,5GdBwp9XyC9EBC0f4x2ee1,36,https://p.scdn.co/mp3-preview/e21fd1a0eb9071cefbb9f8ababdb1db94dc5a623?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Magic Summertime,0CJpoKYIgPFPSRizfrSzLu,Benji Hughes,1w4UUVXVsk63VT2vTwx1e1,Songs in the Key of Animals,3w841jP37vE3JTb8eM7g0n,14,https://p.scdn.co/mp3-preview/cc46e690f4aa7fd8009755ec741582d7d0b66dcc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sloane Ranger,60vgEpbcqrsWof29DdRqJg,The Essex Green,2hLQppESVnOV9ntMD3uA4G,Sloane Ranger,75SQo4ru2fYmOuNPEDp9Zn,8,https://p.scdn.co/mp3-preview/22d0f8f1ea138c984f7a80dc3e31b0197a5b3b24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"Me, Myself & I",3SdOP61TT2l8YQpSaUtsWR,De La Soul,1Z8ODXyhEBi3WynYw0Rya6,Classic Hip-Hop,4lOTwpdctMu37l0c3HxRCf,1,not available
5,PBNJ,5O0N12tvzW1lWmSIQhmWJ8,Sneaks,40iUcsx6LWJ0DEPryPmU30,It's a Myth,6dfVH3U3qwJ7Cd8LgGL9wb,32,https://p.scdn.co/mp3-preview/d151ce62877bd67407500937c5422c2457d2daa1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Family Reunion,1ECFqMRNA6NFbRXgbHl87e,The O'Jays,38h03gA85YYPeDPd9ER9rT,Family Reunion,2Q3cf5aSlA9Da2269Ai8fD,24,https://p.scdn.co/mp3-preview/0d3aa0cf7603efd6bf6e6636f1ec8cd7bc43c3f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Saturday’s Song,7tQcDZh1RVtBsRoqBa1ngF,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Lateness of Dancers,5K7VYgm2UUdIdis8H3zMhA,36,https://p.scdn.co/mp3-preview/ff0f6d5473cdc1012943d4049bfe3a416612c45c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Life's Greatest Fool,5vaCmKjItq2Da5BKNFHlEb,Gene Clark,040Bv6cZTRh30LyyYVXgJX,No Other,5pCs9qZgw8VCzahyfAgiio,38,https://p.scdn.co/mp3-preview/ffd0d8d5969678411b960a69cefab69cc99a8ad4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Expecting to Fly,3uVmR6oQq0NluVZXkipKHV,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Buffalo Springfield Again,7hez8jibf36E66GHpFkWz7,43,https://p.scdn.co/mp3-preview/d0f51df3958e0068fb5bb39c47b47017b543bf02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
