Merge 1996,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5,mergerecordsofficial
1,The Man Who Loved Beer,66MnP8AcvYXBR38ycPqKlm,Lambchop,2Lhs0asnFQiLuntn3s8p78,How I Quit Smoking,2OhSe7hNJZwXf3I79K44co,14,https://p.scdn.co/mp3-preview/879a08f4b05c0c8c365792c282cbce19de0a328c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Militant,4hKgm2tfhxofPnozsVkkum,Lambchop,2Lhs0asnFQiLuntn3s8p78,How I Quit Smoking,2OhSe7hNJZwXf3I79K44co,7,https://p.scdn.co/mp3-preview/3d3425c0c042e6d9a89f61a3a415e8bc5a43c908?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,For Which We Are Truly Thankful,52V9GNEg4FEGjofUHJi9JH,Lambchop,2Lhs0asnFQiLuntn3s8p78,How I Quit Smoking,2OhSe7hNJZwXf3I79K44co,8,https://p.scdn.co/mp3-preview/76d7feea3b5cf759edce25d36d6a1577649fd1fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,She's Got The Akshun!,4LAhiz3BcUxPQXeyA1NtZb,Butterglory,1IoLoJPjCK2vxADHfu5OmG,She's Got the Akshun!,3bg7cUh5TaqplgKIQXAVEr,0,https://p.scdn.co/mp3-preview/9aea38446535665fa5c87121f283c5ae6620c4a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,She Clicks the Sticks,2wAUsO16XZbW91qLozcxnj,Butterglory,1IoLoJPjCK2vxADHfu5OmG,Are You Building a Temple in Heaven?,1ldeymaYAYSjLqsIEnNojb,2,https://p.scdn.co/mp3-preview/9c97461179f00f8e46dc72550927c5b605540d65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,You'll Never Be (As Good As That),6pKnUq7Stv1fwrUnFkqKhH,Butterglory,1IoLoJPjCK2vxADHfu5OmG,Are You Building a Temple in Heaven?,1ldeymaYAYSjLqsIEnNojb,2,https://p.scdn.co/mp3-preview/c93ed45a212cdf525e39484f3941c1caa55a97b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Me and My Big Mouth,4PohjRBsX0SMRffeJ8JJlj,Odes,3mj70IOsNn4hTuTVRm3FZU,Me and My Big Mouth,3agAzrhiNWD0KUjrnx17AO,0,https://p.scdn.co/mp3-preview/0aa08985e3f4c833936630fb7362538bc07e4dc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Inkblot,32AXImFGkkqnG3RfQPq09T,Odes,3mj70IOsNn4hTuTVRm3FZU,Me and My Big Mouth,3agAzrhiNWD0KUjrnx17AO,0,https://p.scdn.co/mp3-preview/4244476a83c66c8c8ae0ba37e8ae8c1a2a5991d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Sleeper,70lyTwi4D44tefn6hWCuWs,Odes,3mj70IOsNn4hTuTVRm3FZU,Me and My Big Mouth,3agAzrhiNWD0KUjrnx17AO,0,https://p.scdn.co/mp3-preview/d2c2fb32a637025244d72eb88a3a7a5c39f7907d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Song Against Sex,7ssaUVHbfPV4XX7k8idurx,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,On Avery Island,61JMheCQqO6UsoR8H3QZDK,41,https://p.scdn.co/mp3-preview/ab62ca7c8ce1993314df79c4d24a1fc7fa0ba877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Naomi,64uuKDv6dm6PuUOA3PBQaS,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,On Avery Island,61JMheCQqO6UsoR8H3QZDK,43,https://p.scdn.co/mp3-preview/4b2f7a6becf4ebdbc7cd422f5e64d58c99af5a24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Gardenhead / Leave Me Alone,3Mr3ZUFtC1DKFmFeD5mF8P,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,On Avery Island,61JMheCQqO6UsoR8H3QZDK,43,https://p.scdn.co/mp3-preview/6a7f568facb3d3cab85c6642bb69a7925d0ee094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,You've Passed,1e465gS7eaVepmzyeILU1H,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,On Avery Island,61JMheCQqO6UsoR8H3QZDK,35,https://p.scdn.co/mp3-preview/395c3d1b7dafd88c19491848063d3a1c18db0b99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
