Merge 2012,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5,mergerecordsofficial
1,Friends of Friends,6kaPNiBCzWGzY2QoZl4PtR,Hospitality,6xgfDCWKp5rIIO7sllJ6us,Hospitality,0CcRg0EwFcCKw99gLIcOCQ,45,https://p.scdn.co/mp3-preview/5006247f79b5ec6e6887a81979d2d9af64c55fd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Betty Wang,4EdMbxTJkJz9l1l0zdlCZa,Hospitality,6xgfDCWKp5rIIO7sllJ6us,Hospitality,0CcRg0EwFcCKw99gLIcOCQ,19,https://p.scdn.co/mp3-preview/3cd1284a7fff67f4cf50035cc1ef8177036474c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Eighth Avenue,6o4BHkingUBBPIasGAGaYR,Hospitality,6xgfDCWKp5rIIO7sllJ6us,Hospitality,0CcRg0EwFcCKw99gLIcOCQ,23,https://p.scdn.co/mp3-preview/566f85264cec319ad7f1fdd07e7111d6637dd949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Runaway,7n71f2W7JIwlorYRDD8bs8,Imperial Teen,17VzpmwXT0Rd7EKaJB841P,Feel the Sound,1VODw8g3HqeBIsyEa2kybl,18,https://p.scdn.co/mp3-preview/41bfcbdefad7afe55393eca2111b2824b920bbec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,No Matter What You Say,0dUAthvEZfEXS5YVhIIr7S,Imperial Teen,17VzpmwXT0Rd7EKaJB841P,Feel the Sound,1VODw8g3HqeBIsyEa2kybl,10,https://p.scdn.co/mp3-preview/3efe628d0622e3e7744eaf667047dffd1375a4fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Out From Inside,4EDl8arQ3lXdme9xUolTdH,Imperial Teen,17VzpmwXT0Rd7EKaJB841P,Feel the Sound,1VODw8g3HqeBIsyEa2kybl,16,https://p.scdn.co/mp3-preview/f97a7f55c60acf0b302fa79c99c01f6b50526273?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,My Love Is Real (Kingdom Remix),5G0Th8Pyy2v3032dNMdpS0,Divine Fits,4uuUGaQKEYJW2b78K0HD6X,My Love Is Real (Kingdom Remix),0McvhMxemWlTxJfvzso2Mg,4,https://p.scdn.co/mp3-preview/71c43f95e1a9249f96b41e258daa23d29952540b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Gone Tomorrow,0YRZkuFvBzVsAYYirDsQMR,Lambchop,2Lhs0asnFQiLuntn3s8p78,Mr. M,5jIMNS1NP5sFkagCXvFiak,21,https://p.scdn.co/mp3-preview/6666d8b264d6dbab62511f42eac192b140662178?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,If Not I'll Just Die,6YhmvBoPX4l1WnpxymStsI,Lambchop,2Lhs0asnFQiLuntn3s8p78,Mr. M,5jIMNS1NP5sFkagCXvFiak,14,https://p.scdn.co/mp3-preview/4465d40fbdc4f1660a6f6f0f6871f8eb20d6fd45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,2B2,4w4eqWcd35o8oZDD6Yh5ck,Lambchop,2Lhs0asnFQiLuntn3s8p78,Mr. M,5jIMNS1NP5sFkagCXvFiak,13,https://p.scdn.co/mp3-preview/a673bdd331115729ce63792dab8ce56d2fab1a8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Harnessed in Slums,2M9Sl3mxm6KsryO9hAKzkd,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Vee Vee (Deluxe Remaster),3lq3NzWj52QmGM9k6hvCTS,22,https://p.scdn.co/mp3-preview/e46520c304a7b50beb2f2a9fc042c6c29d2d570f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Underdogs of Nipomo,0PXbHlUSE0o0zYKsFuztT0,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Vee Vee (Deluxe Remaster),3lq3NzWj52QmGM9k6hvCTS,10,https://p.scdn.co/mp3-preview/ce3b027a02369e9578164974e0090cc6f1840237?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Fabricoh,1HvNBrKWBbLr5Sr59iQfYu,Archers Of Loaf,0pNaVvqSvldpJl7pHpNoM9,Vee Vee (Deluxe Remaster),3lq3NzWj52QmGM9k6hvCTS,8,https://p.scdn.co/mp3-preview/03a375038940491a36e9113e26f850cc5ce73cb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Andrew in Drag,5mZrhh1eP7YJpdMyOogroU,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Love at the Bottom of the Sea,0iQKTZccXbbY3eLyYbK2YF,39,https://p.scdn.co/mp3-preview/4cf1bf5799c0dbfe5973ac028e8b7b6c0769817a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,God Wants Us to Wait,0dmnkbp85fhccyp5SMxzSe,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Love at the Bottom of the Sea,0iQKTZccXbbY3eLyYbK2YF,18,https://p.scdn.co/mp3-preview/12d1b1fed1e89407dad8d931029db4ed3b07f58d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Quick!,0QXkAGZVHNTPgLgHB9OZu0,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Love at the Bottom of the Sea,0iQKTZccXbbY3eLyYbK2YF,22,https://p.scdn.co/mp3-preview/fc6598024429dcb0622a74547165dd069cdf0c9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,I Get Ideas,5WTQDQhVJhS3OCk7TwZmyG,M. Ward,6nXSnNEdLuKTzAQozRtqiI,A Wasteland Companion,6FKmm5bDYOF6tRqcVn5TS5,26,https://p.scdn.co/mp3-preview/3618ab534dec9951c69948e959a5386ce723a813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,The First Time I Ran Away,5zvTwEKCQOZLfZMb86nTCb,M. Ward,6nXSnNEdLuKTzAQozRtqiI,A Wasteland Companion,6FKmm5bDYOF6tRqcVn5TS5,29,https://p.scdn.co/mp3-preview/7b0811ba55e73469f83226031d300743b963524e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Primitive Girl,4iCq0s7fjpMOCtaVwXHAfL,M. Ward,6nXSnNEdLuKTzAQozRtqiI,A Wasteland Companion,6FKmm5bDYOF6tRqcVn5TS5,21,https://p.scdn.co/mp3-preview/5ca3c804866d436a0def00465b6ca800f6d095b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Sprawl II (Mountains Beyond Mountains) [Remixed by Damian Taylor & Arcade Fire],4Y0styTzbAROQcJBQ0nb7s,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Sprawl II & Ready to Start (Remixed by Damian Taylor & Arcade Fire),7psUK6DUyd8URA3ayVCjtr,0,not available
21,Ready to Start (Remixed by Damian Taylor & Arcade Fire),0q8oCYrqejcV4tIaDKI0tF,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Sprawl II & Ready to Start (Remixed by Damian Taylor & Arcade Fire),7psUK6DUyd8URA3ayVCjtr,0,not available
22,The Twist,38gI3mol2qheChmOgKQcyN,M. Ward,6nXSnNEdLuKTzAQozRtqiI,"""Primitive Girl"" BW ""The Twist"" & ""Roll Over Beethoven""",7q7xDorsuYsgbOOWxEnzqd,8,https://p.scdn.co/mp3-preview/84da2da8ce6bebb7734eb8714a77f68780601e60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Roll Over Beethoven,5HJzKSTTRZyofUjBW7gglG,M. Ward,6nXSnNEdLuKTzAQozRtqiI,"""Primitive Girl"" BW ""The Twist"" & ""Roll Over Beethoven""",7q7xDorsuYsgbOOWxEnzqd,5,https://p.scdn.co/mp3-preview/7ee2eefd5bb6e0915ac44f2d104ff5eaf1a2a23b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Willow,41WI4khuCCnK5AtCp31Hzj,Richard Buckner,6vrwcJbfs2QyRtApdx1hXX,Willow B/W Lost,48ZnqjIU3hX2O4YYwafI3N,4,https://p.scdn.co/mp3-preview/1d5b5fd7644603fb3f149ff40f77432e43b2f13f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Lost,2hqOQttBWGHV8ZNDN51qUQ,Richard Buckner,6vrwcJbfs2QyRtApdx1hXX,Willow B/W Lost,48ZnqjIU3hX2O4YYwafI3N,0,https://p.scdn.co/mp3-preview/d1b70b158b80d655b9ca15d2014d330929f2fc77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,This Summer,5seLpQSes91bp8Tm00BhPm,Superchunk,7lmde7T1WJPFwv1eR6melP,"""This Summer"" B/W ""Cruel Summer""",2QDF1e1678GgUhjDEQFVkI,24,https://p.scdn.co/mp3-preview/924405de2147975e2d45782f7e92ce33e0250940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Cruel Summer (Bananarama Cover),4jz9ju8mdBDhoYQRxSd72W,Superchunk,7lmde7T1WJPFwv1eR6melP,"""This Summer"" B/W ""Cruel Summer""",2QDF1e1678GgUhjDEQFVkI,12,https://p.scdn.co/mp3-preview/9d806abdd6a66228a3e1694b9cf5772a5e9d4fd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
