Merge 2008,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4,mergerecordsofficial
1,When Cold Air Goes to Sleep,1nDC8KM1p7Vfa5hxd1jUGl,Radar Brothers,4MB4RJ1LO8j2aWmUZyUV1u,Auditorium,60UUCjDbdT87VXhOW6ntw4,1,https://p.scdn.co/mp3-preview/c1077f72f82996a8d11f29d915c136f96790f8be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Warm Rising Sun,5VUyCpBiAQLOyC5Ze8zHFR,Radar Brothers,4MB4RJ1LO8j2aWmUZyUV1u,Auditorium,60UUCjDbdT87VXhOW6ntw4,2,https://p.scdn.co/mp3-preview/7f3162f40442726114f3109d0d17eec49f783ddd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,On Nautilus,7cxOK0cMHD2I5fs4JVxXw8,Radar Brothers,4MB4RJ1LO8j2aWmUZyUV1u,Auditorium,60UUCjDbdT87VXhOW6ntw4,1,https://p.scdn.co/mp3-preview/ce3004ec1389c5ff92b28368c125ead6ca9c85c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,All My Love,3kVYe1DFHuNV9tDlYK259X,American Music Club,6uHjKRsYGaElOrKWlSEji3,The Golden Age,5uG9Jojqovia6Vj3inYwCk,5,https://p.scdn.co/mp3-preview/a83c2c1a0b3d0b4790fd40a3b96572e050028818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Decibels and the Little Pills,3ly4G7nJlPXpLJ2SQjaX70,American Music Club,6uHjKRsYGaElOrKWlSEji3,The Golden Age,5uG9Jojqovia6Vj3inYwCk,4,https://p.scdn.co/mp3-preview/18619bae2f6b59ebb87ca4bb665334cde9ca5def?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,All the Lost Souls Welcome You to San Francisco,6fSI0Pu9BdNObRmlzPXyQi,American Music Club,6uHjKRsYGaElOrKWlSEji3,The Golden Age,5uG9Jojqovia6Vj3inYwCk,7,https://p.scdn.co/mp3-preview/6386e4b8a963c07cc6476500aea4e2a01e26941f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ron Klaus Wrecked His House,6DzqOpeOtBfcH8VgiVhXWM,Big Dipper,4QxHfzS2ylZwKX11fohqcq,Supercluster: The Big Dipper Anthology,1Z4rhFWwb9SkX5bs4mb0Lq,18,https://p.scdn.co/mp3-preview/33c1577660f75c61e4efb08716dfd9dfb1e4b1bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Faith Healer,4QPQV30lpmgsY0g9oT1UFf,Big Dipper,4QxHfzS2ylZwKX11fohqcq,Supercluster: The Big Dipper Anthology,1Z4rhFWwb9SkX5bs4mb0Lq,10,https://p.scdn.co/mp3-preview/1cac9105e4a9d7ef14de3595f96ef9804ad8cd32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,She’s Fetching,61XIBGvEXb1o3puTpHkunw,Big Dipper,4QxHfzS2ylZwKX11fohqcq,Supercluster: The Big Dipper Anthology,1Z4rhFWwb9SkX5bs4mb0Lq,9,https://p.scdn.co/mp3-preview/8bd8c0a68cc21c2afed33d7e8e2a2e9cb55bda5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,You Really Got a Hold on Me,3U7fJ0VfFR1Msntjgd3DPB,She & Him,3CIRif6ZAedT7kZSPvj2A4,Volume One,5FHgJlXkHfMP4vwK0hDN0i,46,https://p.scdn.co/mp3-preview/3e03e8c80446aa5d75de37d06dc64b454d35675a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Why Do You Let Me Stay Here?,6e7TwT8TUE3BHN7aokBKfq,She & Him,3CIRif6ZAedT7kZSPvj2A4,Volume One,5FHgJlXkHfMP4vwK0hDN0i,43,https://p.scdn.co/mp3-preview/edd7ebd8623e2b2fe3a05557e6ccd4dd3c02da5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Sentimental Heart,2DMBNPulPIjZOvQak7saAz,She & Him,3CIRif6ZAedT7kZSPvj2A4,Volume One,5FHgJlXkHfMP4vwK0hDN0i,34,https://p.scdn.co/mp3-preview/576ba65baa42ab933ecd407ac036d2ecc7928ee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Blue Flower/Blue Flame,5bPDET41N8PkfpE2EThhC4,Destroyer,22ojy4H4ZVpowC4lRRC8In,Trouble in Dreams,7fgWbCbYcQ09XlzQFzyU8k,23,https://p.scdn.co/mp3-preview/cd5cc308849c2ffda805ba777a5889227a13c1b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Foam Hands,2mGVwstXnu47SkDzaAIYUW,Destroyer,22ojy4H4ZVpowC4lRRC8In,Trouble in Dreams,7fgWbCbYcQ09XlzQFzyU8k,19,https://p.scdn.co/mp3-preview/ef1bcaed11b74159a6ad6384fcb4c02d4889048c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Introducing Angels,74kgBsNqzuTthhFLp3xsRd,Destroyer,22ojy4H4ZVpowC4lRRC8In,Trouble in Dreams,7fgWbCbYcQ09XlzQFzyU8k,13,https://p.scdn.co/mp3-preview/ab6533e8b0391ecea1007731926d9a270aa58cff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,She's the One (Hot Chip Remix),2ydmrvxKpdFGrx88zQzsLb,Caribou,4aEnNH9PuU1HF3TsZTru54,She's the One,01kFb7WLK0uHrZ8ymfRvmf,0,not available
17,She's the One (Kelley Polar's Hughes Wilson Prom),6fwme0Ubg7BVh8ETeuuhZs,Caribou,4aEnNH9PuU1HF3TsZTru54,She's the One,01kFb7WLK0uHrZ8ymfRvmf,0,not available
18,Don't You Evah (Ted Leo's I Want It Hotter Remix),3rDT4D8rvrsyhRb2Gtdv3a,Spoon,0K1q0nXQ8is36PzOKAMbNe,Don't You Evah,0xdbGcqdKlTs9rMKP62M0B,12,https://p.scdn.co/mp3-preview/ba164a830848a6c70977beb1c69b09fc09d4dd35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Don't You Evah (Diplo Mix),7yzjm0xR7DvZ6rBmdI1DAd,Spoon,0K1q0nXQ8is36PzOKAMbNe,Don't You Evah,0xdbGcqdKlTs9rMKP62M0B,9,https://p.scdn.co/mp3-preview/4197e42480ca638f012e3278beb76ebabc93537c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
