Merge 2016,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,23,mergerecordsofficial
1,Peacockin' Party,0sShrbGs5nONtbMO2iSxJc,Benji Hughes,1w4UUVXVsk63VT2vTwx1e1,Songs in the Key of Animals,3w841jP37vE3JTb8eM7g0n,14,https://p.scdn.co/mp3-preview/59daccad7dddf893e4513df0dc290bdd55cfe3cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Freaky Feedback Blues,0x5xE0docLPy68TYjj3xSc,Benji Hughes,1w4UUVXVsk63VT2vTwx1e1,Songs in the Key of Animals,3w841jP37vE3JTb8eM7g0n,43,https://p.scdn.co/mp3-preview/f39184568df0cfb9acf82501b8679abc8933eb28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Longshot,4WPQ9Nsy2i8ZCF4EKdX44l,Benji Hughes,1w4UUVXVsk63VT2vTwx1e1,Songs in the Key of Animals,3w841jP37vE3JTb8eM7g0n,19,https://p.scdn.co/mp3-preview/29d850ec45f6bdbeba8d23794ab55fb93a9aa902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Calvander,0JmSQwdNvW68354bPhUtOx,Mount Moriah,0NIClyUOoNPl2GQouxBYH7,How to Dance,0OVBAGVtrEmAQMlqOgHFZe,22,https://p.scdn.co/mp3-preview/d6e5479ae0b52c4443d0a2ea6a187678565bdcd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Precita,2ODxTvt85nHNEixwCF4gLw,Mount Moriah,0NIClyUOoNPl2GQouxBYH7,How to Dance,0OVBAGVtrEmAQMlqOgHFZe,18,https://p.scdn.co/mp3-preview/8232f96a3f627161e6827f10884748368d40f73c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,How to Dance,2T8CKEvInvm9J1UN4cYcXI,Mount Moriah,0NIClyUOoNPl2GQouxBYH7,How to Dance,0OVBAGVtrEmAQMlqOgHFZe,6,https://p.scdn.co/mp3-preview/669f77d32d67bccd1b0ec92b465e2d8ec4b66401?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Pirate Dial,0Bopt0UhI7qMRwyELUe26z,M. Ward,6nXSnNEdLuKTzAQozRtqiI,More Rain,1GBV6c27Ru1Y6Lw2xfPyMA,26,https://p.scdn.co/mp3-preview/1a368cf93d9523ce735b23549e031cad0bde9671?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Confession,1q96c35mfHPQbD6x0aGQqy,M. Ward,6nXSnNEdLuKTzAQozRtqiI,More Rain,1GBV6c27Ru1Y6Lw2xfPyMA,20,https://p.scdn.co/mp3-preview/b6df0cc30886203c5c1f0a2a3ac9905bdeff10cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Girl From Conejo Valley,4x7Jaaep1CvR6sTX4lQZ07,M. Ward,6nXSnNEdLuKTzAQozRtqiI,More Rain,1GBV6c27Ru1Y6Lw2xfPyMA,25,https://p.scdn.co/mp3-preview/52a749ae61635a12c317ec3810d9a692e16d8aae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Mercy,32Wqig5TwLDMhpJEuGVqNs,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,14,https://p.scdn.co/mp3-preview/a49e0ba1992425992b0c043c76eee7fd18bf045a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Modern Drugs,0MQM5Z5T2wzT6tFPit9iOA,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,8,https://p.scdn.co/mp3-preview/308c6361e5a93f9182ab364cfd0937fb1bd7dff4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Carolina,0dsZRGplXjcph28vuiLv7p,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Eric Bachmann,6WKrYrckgyk7AaRfQJc1kj,10,https://p.scdn.co/mp3-preview/471a686dc3e7eacc3ebde692a5db68be79098c68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Voices in My Head,3iQQB8TvX5a1yrDsJ5hawa,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,Patch The Sky,7g9g9pBaW9SqF2FvH795Xu,23,https://p.scdn.co/mp3-preview/61b6e6b8bd61b29e0389c3204d7804b41b0ee2ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,The End of Things,6MXdmkdFWHc1fVZPlHnszE,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,Patch The Sky,7g9g9pBaW9SqF2FvH795Xu,19,https://p.scdn.co/mp3-preview/13b3ab24211c3b5c7b1b76cd2bf179b59c8afe34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Hold On,4TukYESeszwXiPVCHTlL33,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,Patch The Sky,7g9g9pBaW9SqF2FvH795Xu,19,https://p.scdn.co/mp3-preview/fa4bffcfbaba76831cfaf7521626c932d9e1b00e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Love as a Weapon,7uHtD5G3aIieivnXxUBRXl,Little Scream,2U7njwghtRR6ofLobG32Lk,Cult Following,1MAYaMpmxwTyqWrnCSsacs,31,https://p.scdn.co/mp3-preview/8d07e71e1990544f784edb28f61056d653934cc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Dark Dance,1vHFh3E0sELI50SZPMqjM9,Little Scream,2U7njwghtRR6ofLobG32Lk,Cult Following,1MAYaMpmxwTyqWrnCSsacs,8,https://p.scdn.co/mp3-preview/8e3e9a846eb7be9641d838b7c011867449ef5098?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Wreckage,0ouUUpqLyA7lgCBeVWoTbL,Little Scream,2U7njwghtRR6ofLobG32Lk,Cult Following,1MAYaMpmxwTyqWrnCSsacs,3,https://p.scdn.co/mp3-preview/459b0b55ddf5a966667be4ddbe1dc973af95f2ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Creep,26PYiANmsLgmJ30N3bhiXS,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Pile,0RuBiChaXeAReNE4ZO0zY8,22,https://p.scdn.co/mp3-preview/0fa1e142cf163e3ed2de408935da793325a1ff64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Sleep When Dead,3iCY6oF78GTcbTeajmqYR6,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Pile,0RuBiChaXeAReNE4ZO0zY8,29,https://p.scdn.co/mp3-preview/92f2a60c62b6f99bb223431c34c8ce4f5b64d001?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Sex & Drugs,1ofGAxWDltNxAyfDweH7xR,A Giant Dog,0PL9vFj7i7uKg74WpLohnG,Pile,0RuBiChaXeAReNE4ZO0zY8,29,https://p.scdn.co/mp3-preview/afd5003ee5c6f7a8ac945e07e5b3363d87baaea4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Highway Anxiety,0vIUMmvi3XuWUJxNpbu5L7,William Tyler,3iexGtoBAyCUbxOKeru5py,Modern Country,0AlKGJjZriUhapXB3hyW6h,39,https://p.scdn.co/mp3-preview/acee5970e84049e08ef850a1c4d8ddafbfdc192c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Kingdom of Jones,5LVCkaTDTSNKATiOMdXNFJ,William Tyler,3iexGtoBAyCUbxOKeru5py,Modern Country,0AlKGJjZriUhapXB3hyW6h,42,https://p.scdn.co/mp3-preview/a5543b1ab219cc9bfd83f944705acf0043d906ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Gone Clear,2XNs7mkQhDYy0ESmfJ5Rut,William Tyler,3iexGtoBAyCUbxOKeru5py,Modern Country,0AlKGJjZriUhapXB3hyW6h,28,https://p.scdn.co/mp3-preview/449739489e81437e4076483116c9dab2e5e0b35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Out of Nowhere,49hPkb8a38gJgRJGhoLkwG,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Tween,6WO7Hd1JazBqaWd9mcmQso,17,https://p.scdn.co/mp3-preview/8de32402e17b26810b5d5d9b146b9134dfbf09cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,If You Should See,1xLGfLaW34d0q0cLvVfQXy,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Tween,6WO7Hd1JazBqaWd9mcmQso,22,https://p.scdn.co/mp3-preview/a637e1c5d649a6e0d2b80c4b770dfda79ee298bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Watching the Waiting,2aAwkiPJwzHrj2Uendg521,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Tween,6WO7Hd1JazBqaWd9mcmQso,27,https://p.scdn.co/mp3-preview/9aa828c152f0319493a51c6c11129511345c94cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Sun Comes Up,6uOqDnw3fBPPOYhO67i5iy,Will Butler,1POwuKLQ9xhMZzIYElNtWp,Friday Night,64qj4DunSjDv2IbE3Iks23,15,https://p.scdn.co/mp3-preview/7aebb7d95ddef97d3c0a59393b58ad0d8aaadd4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Anna,7dOWNH6TiVCOnvE7v7C4n5,Will Butler,1POwuKLQ9xhMZzIYElNtWp,Friday Night,64qj4DunSjDv2IbE3Iks23,14,https://p.scdn.co/mp3-preview/06605e32449cfb21fe6bc583f926d63533306ed5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Encore – Friday Night,0j01TzPGLjZQkXeJYvV9hZ,Will Butler,1POwuKLQ9xhMZzIYElNtWp,Friday Night,64qj4DunSjDv2IbE3Iks23,9,https://p.scdn.co/mp3-preview/d937e4c00026478e4a8d02b6d82c00b9c420366e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Dimed Out,68C5Zcq1QsMRzBKR4WuWXR,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,S+@dium Rock : Five Nights at the Opera,1HEQ4svrZgFrBjmL65UY9a,10,https://p.scdn.co/mp3-preview/39186d8c5c7267e0f7b06e187655d05a8b673415?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Fatal Flaw,1UEZTgaFb8qeiDWJMLJQre,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,S+@dium Rock : Five Nights at the Opera,1HEQ4svrZgFrBjmL65UY9a,8,https://p.scdn.co/mp3-preview/ecb498e6d81db03ec34541b6aa537a6b4ddd8646?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,69 Stones,1siQ1HdpsBtgckaeEDdMYZ,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,S+@dium Rock : Five Nights at the Opera,1HEQ4svrZgFrBjmL65UY9a,6,https://p.scdn.co/mp3-preview/1da0e83e4fb13d8aa4d3a1f28b8a5792e7de32f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,I’m in Love,46DlsiGwO6H8MKqyXQMMq2,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Here,6QxQpqPKhGr3hUJ1BwhH1m,20,https://p.scdn.co/mp3-preview/e8f510554a3392cf2ca43172495b6581560d0995?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Thin Air,49dCMMOMeRS73UGc5kG63X,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Here,6QxQpqPKhGr3hUJ1BwhH1m,13,https://p.scdn.co/mp3-preview/ca04a8be8a69a521c5461d0111a1f152a2a69420?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,I Was Beautiful When I Was Alive,5tCFolHkcL3y1MA1Spag7d,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Here,6QxQpqPKhGr3hUJ1BwhH1m,8,https://p.scdn.co/mp3-preview/444b485f85e1e824239ecda4a28bf68cb394c390?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Tough Luck,2EJYazMxLdgLSiGTnSGUCI,Sneaks,40iUcsx6LWJ0DEPryPmU30,Gymnastics,1fHozeTsMeD2qq3ivDY8tA,28,https://p.scdn.co/mp3-preview/d7bf83d790539d357c0d6c842d8e35979bfc564e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,True Killer,7eSfIu95cqJGrDH5Nyr0fR,Sneaks,40iUcsx6LWJ0DEPryPmU30,Gymnastics,1fHozeTsMeD2qq3ivDY8tA,31,https://p.scdn.co/mp3-preview/51328833d7b645999f3bd1d0aa6864d995280726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,This Is,2egnh8hPE3P6jay3OOi2J2,Sneaks,40iUcsx6LWJ0DEPryPmU30,Gymnastics,1fHozeTsMeD2qq3ivDY8tA,17,https://p.scdn.co/mp3-preview/78847520e2a73a47168ae031b3939a50d00e6a26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Heart Like a Levee,0Agedpg0Xhtztvn8MWlStT,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Heart Like a Levee (Deluxe Version),1GedbzrnJWEdLnySwqEAzr,21,https://p.scdn.co/mp3-preview/9fb728e8e90ffeed965f4d1012afbdef7296cb20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Biloxi,2wGEpcBhfOWpGgFuPIRiNF,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Heart Like a Levee (Deluxe Version),1GedbzrnJWEdLnySwqEAzr,21,https://p.scdn.co/mp3-preview/86f319645eda62baba08e172ad8c2b7c511cd39d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Tell Her I’m Just Dancing,0qK1aB9cMc2wznC4ZReOie,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Heart Like a Levee (Deluxe Version),1GedbzrnJWEdLnySwqEAzr,19,https://p.scdn.co/mp3-preview/4edf7451ff1c710260155f2d4a792ddfa1439d2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Old Masters,5Usbid0aYgmVLTYBl0sVOz,Lambchop,2Lhs0asnFQiLuntn3s8p78,FLOTUS,2GTyiEEz6e1sJojdhbRcXC,15,https://p.scdn.co/mp3-preview/557327e8fd10d5899d6eb0e93cd26659bfd4e4cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Relatives #2,5LmZBPKjvG10He9heLITg6,Lambchop,2Lhs0asnFQiLuntn3s8p78,FLOTUS,2GTyiEEz6e1sJojdhbRcXC,14,https://p.scdn.co/mp3-preview/f3b2b7cd0fc7895ce5bf7390fa91a25c9e3bb4d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,NIV,5P8kMCshjsxmxd8zloaE1z,Lambchop,2Lhs0asnFQiLuntn3s8p78,FLOTUS,2GTyiEEz6e1sJojdhbRcXC,24,https://p.scdn.co/mp3-preview/7bceae95752dad9d6e0ddee94840c04b28d06c6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
